ueid_base,nativestatus2,vegetationmaintenance,recordedname3,latinname4,environmentaldisturbance3,ecologicalclassification,nativestatus6,historicalindicators1,currentuse1,latinname2,topography,nativestatus4,dominantwoodyplants,height2,historicalindicators2,vegetationunder15ft
Q001_1987_80,,,Pin oak,Betula lenta,,IB2a(6),,Picnic site,Foot traffic,Quercus velutina,Slope,,Deciduous,>30',,Lianas
X268_2007_27,Native,,"Ash, green",Toxicodendron radicans ssp. radicans,,IB2a(1),,,Vagabond,Cornus amomum,Level,Native,Deciduous,<5' & 5-30',,Phanerophytes
Q021_1988_64,,,,,Soil compaction,IB2a(3),,,Foot traffic,Cornus florida,Level,,Deciduous,5'-30',,Hemicryptophytes
Q024_1986_97,,,,,,IVC1e,,,Foot traffic,Phragmites australis,Level,,,<5' & 5-30',,Hemicryptophytes
Q001_1987_30,,,Virginia creeper,Toxicodendron radicans ssp. radicans,,IB2a(6),,,Foot traffic,Prunus serotina,Slope,,Deciduous,All,,Lianas
Q024_1986_117,,,Phragmites,,,IVB1,,Landfill,Foot traffic,Trifolium sp.,Undulating,,,<5',,Hemicryptophytes
Q001_1987_174,,,,,,VIIICO,,,Foot traffic,,Level,,Deciduous,,,Lianas
Q001_1987_102,,,Black cherry,Celastrus orbiculatus,,IB2a(6),,Landscaped,Foot traffic,Quercus palustris,Level,Exotic,Deciduous,>30',,Lianas
Q001_1987_264,Exotic,,Japanese honeysuckle,Parthenocissus quinquefolia,,IIIA1,,Exotic planting,Garden,Reynoutria japonica,Slope,,Deciduous,5'-30',,Chamaephytes
X007_2006_11,,,,,Trash,,,,,Carex sp.,Slope,,Deciduous,<5',,Hemicryptophytes
X092_2010_707,,No,,,,VD,,Landfill,Sports,,Level,,,,Planting,
Q001_1987_262,Exotic,,Cool season grass,,,IVA2c,,,Foot traffic,Melilotus alba,Level,,,<5',,Hemicryptophytes
Q001_1987_358,,,Bittersweet,Artemisia vulgaris,,IB2a(6),,Phone pole,,Prunus serotina,Slope,Exotic,Deciduous,<5' & 5-30',Drain pipe,Lianas
Q021_1988_46,,,,,,IIB2a(1),,,Foot traffic,,Depression,,Deciduous,,,Phanerophytes
X005_2007_9,Native,,,,,VIIIA,,,,Toxicodendron radicans ssp. radicans,Slope,,Deciduous,<5',,Lianas
Q001_1987_265,,,,,,IB2a(1),,,,,Slope,,Deciduous,,,Phanerophytes
Q021_1988_2,,,,,,IVA2g,,,Vehicle access,,Slope,,,,,Hemicryptophytes
Q020_2005_11,Exotic,,"Cottonwood, Eastern",Populus tremuloides,Trash,IB2a3,Exotic,,Campfire/ party,Artemisia vulgaris,Level,,Deciduous,<5',,Hemicryptophytes
X039_1986_574,,Not mowed/not pruned/not removed,Jewelweed,Rubus sp.,,IB3a(5),,,,Prunus serotina,Undulating,,Deciduous,<5m,,Therophytes
Q021_1988_94,Exotic,,Austrian pine,,,IIB1b,,Landfill,,Robinia pseudoacacia,Slope,,Mixed,<5' & >30',Exotics,Chamaephytes
X007_2006_15,,,,,,,,,,,Level,,Deciduous,,,Hemicryptophytes
Q001_1987_14,,,Mugwort,,,IB2a(1),,Road,Foot traffic,Prunus serotina,Slope,,Deciduous,All,Picnic site,Phanerophytes
Q024_1986_58,,,Cool season grass,Rhus glabra,,IVC1e,,Landfill,Foot traffic,Solidago sp.,Undulating,,,<5',,Hemicryptophytes
Q001_1987_117,,,Black locust,Acer rubrum var. rubrum,,IB2a(1),,,,Quercus velutina,Level,,Deciduous,>30' & 5-30',,Phanerophytes
Q001_1987_83,,,Black oak,,,IVA2e,,Fullcrown,Vehicle,Quercus palustris,Slope,,,>30',,Hemicryptophytes
Q020_2005_13,,,European pasturegras,,,IVB3b,,,,Betula populifolia,Level,,Deciduous,5'-30',,Thallophytes
