nycha_manhattan,private_market_rental,cases_served,clients_served_last_12_months,female_adults,scatter_site_bronx,female_children,scatter_site_manhattan,permanent_congregate_queens,transitional_congregate_3
486,419,33672,38774,11479,1046,30,206,1,97
455,374,34064,37653,11301,1085,22,211,0,71
299,387,32371,37171,10782,998,16,215,0,102
496,441,33794,37917,11601,1034,32,210,0,102
457,389,33975,37815,11291,1096,27,213,0,85
234,380,32855,38000,10623,977,14,227,0,99
460,400,33881,38516,11350,1110,26,207,0,98
239,355,34743,38007,11072,979,13,246,0,98
457,367,34035,37616,11303,1086,22,210,0,66
490,411,33843,38728,11396,1081,31,205,0,102
504,437,33938,38608,11568,1037,35,206,0,102
290,385,32855,37480,10830,983,15,216,0,101
416,353,33227,38010,11011,1055,19,209,0,100
458,402,33804,38169,11282,1102,25,209,0,94
230,386,32721,37778,10624,987,13,220,0,101
432,362,33727,37888,11163,1059,23,212,0,93
