date,department_of_consumer_affairs,department_of_social_services,independent_budget_office,district_attorney_richmond,department_of_citywide,office_of_administrative,department_of_education,department_of_sanitation,office_of_administrative_1,department_of_environmental,fire_department,district_attorney_new_york
2020-12-02T00:00:00.000,0,0,$0,0,0,0,187458,0,0,43934,0,0
2021-04-02T00:00:00.000,0,0,$0,0,0,0,0,0,0,9717,0,0
2021-03-03T00:00:00.000,0,0,$0,0,0,0,1106344,0,0,0,0,0
2020-04-04T00:00:00.000,0,0,$0,0,0,0,133,0,0,0,1522600,0
2020-06-17T00:00:00.000,1999,0,$0,0,64000,0,115125,0,0,0,0,33427
2021-05-21T00:00:00.000,0,0,$0,0,0,0,70034,100000,0,0,0,0
2020-12-31T00:00:00.000,0,0,$0,0,0,0,0,0,0,3328,0,0
2021-05-14T00:00:00.000,0,0,$0,0,0,0,111393,0,0,0,0,0
2020-09-15T00:00:00.000,0,0,$0,0,0,0,0,0,0,2850,1552727,0
2021-04-28T00:00:00.000,0,0,$0,0,5807090,0,53652,0,0,0,0,0
2020-05-06T00:00:00.000,0,0,$0,0,17520,0,7094,0,4750,100000,0,0
2020-04-19T00:00:00.000,0,0,$0,0,523250,0,0,0,0,0,0,0
2020-04-27T00:00:00.000,0,0,$0,0,15829,0,11555,0,0,19938,0,0
2020-10-05T00:00:00.000,0,133163,$0,0,0,0,0,0,0,0,0,0
2021-01-28T00:00:00.000,0,0,$0,0,0,0,1284775,200000,0,20000,0,0
2021-06-08T00:00:00.000,0,4538154,$0,0,0,0,147629,0,16195,0,0,0
2020-04-23T00:00:00.000,0,0,$0,0,35173700,0,38914,484,3750,56975,0,0
2021-03-23T00:00:00.000,0,0,$0,0,9980700,0,14115,0,0,0,0,0
2020-09-01T00:00:00.000,0,0,$0,0,1777353,0,0,0,0,397,16171,0
2020-05-22T00:00:00.000,0,0,$0,0,0,0,459408,0,0,2406,0,334
2020-12-21T00:00:00.000,0,0,$0,0,0,0,140630,0,0,0,0,0
2021-06-10T00:00:00.000,0,0,$0,0,0,0,168887,317621271,0,0,0,0
2020-07-28T00:00:00.000,0,0,$0,0,0,0,1010,0,0,0,0,0
2021-06-01T00:00:00.000,0,20400,$0,0,0,0,267030,0,0,0,0,0
2020-08-14T00:00:00.000,0,0,$0,0,0,0,21072,0,0,0,0,0
2020-07-13T00:00:00.000,391,0,$0,380,0,0,8442733,0,0,25795,0,0
2021-03-08T00:00:00.000,0,0,$0,0,0,0,4279,0,0,0,0,0
2020-08-10T00:00:00.000,0,0,$0,0,66344,0,0,0,0,0,0,0
2020-09-25T00:00:00.000,1223,0,$0,0,0,0,0,0,0,0,0,0
2020-03-23T00:00:00.000,0,0,$0,0,0,0,94880,7781,0,0,0,0
2020-03-28T00:00:00.000,0,0,$0,0,0,0,9493,0,0,0,0,0
2020-12-30T00:00:00.000,0,0,$0,0,0,0,80387,2000000,0,0,0,0
2020-04-14T00:00:00.000,0,0,$0,0,257548,0,111044,39336,0,33245,0,760
2021-05-18T00:00:00.000,6760,0,$0,0,140240,0,163231,0,0,0,6402347,0
2020-07-06T00:00:00.000,0,0,$0,0,0,0,59,0,0,0,0,0
2020-04-02T00:00:00.000,0,0,$0,0,0,0,34161,0,0,8742,9491,0
2020-04-20T00:00:00.000,0,0,$0,0,1375000,0,28864,0,0,24959,0,0
2021-05-29T00:00:00.000,0,0,$0,0,0,0,38,0,0,0,0,0
2020-03-10T00:00:00.000,0,0,$0,0,0,0,0,0,0,0,0,0
2020-05-28T00:00:00.000,0,0,$0,4102,18507000,0,40529,0,0,1042,0,6863
2020-04-28T00:00:00.000,0,20000,$0,0,2752385,0,47091,0,0,23700,112794,0
2020-04-07T00:00:00.000,0,39980,$0,0,174797,0,44082,18880,0,23978,31840,780
