unique_id,latitude,longitude,address,phone_status_date,cross_street_2,active_date
2023-04-17.06:00:00.629.qu-01-108373,40.76272,-73.926808,29-01 BROADWAY,2023-04-17 06:00:00.629,29 AVENUE,2017-05-22 20:00:00.000
2023-04-17.06:00:00.629.qu-01-146037,40.762073,-73.918518,37-01 31 AVENUE,2023-04-17 06:00:00.629,38 STREET,2018-02-07 19:00:00.000
2023-04-17.06:00:00.629.mn-12-120755,40.84475573,-73.93684737,565 WEST 174 STREET,2023-04-17 06:00:00.629,AUDUBON AVENUE,2020-11-30 19:00:00.000
2023-04-17.06:00:00.629.qu-01-145980,40.75195044,-73.93337963,39-27 31 STREET,2023-04-17 06:00:00.629,40 AVENUE,2018-01-08 19:00:00.000
2023-04-17.06:00:00.629.mn-06-138165,40.747672,-73.976965,164 EAST 37 STREET,2023-04-17 06:00:00.629,LEXINGTON AVENUE,2016-06-23 20:00:00.000
2023-04-17.06:00:00.629.qu-12-141537,40.7043551,-73.79786531,161-21 JAMAICA AVENUE,2023-04-17 06:00:00.629,UNION HALL STREET,2016-09-29 20:00:00.000
2023-04-17.06:00:00.629.qu-12-123720,40.7136082,-73.7559382,204-01 JAMAICA AVENUE,2023-04-17 06:00:00.629,205th Street,2022-07-28 20:00:00.000
2023-04-17.06:00:00.629.si-01-150744,40.612231,-74.1301262,1970 VICTORY BOULEVARD,2023-04-17 06:00:00.629,PURDY AVENUE,2023-03-01 19:00:00.000
2023-04-17.06:00:00.629.qu-01-125118,40.76266328,-73.91254129,43-02 30 AVENUE,2023-04-17 06:00:00.629,44 STREET,2018-02-27 19:00:00.000
2023-04-17.06:00:00.629.mn-08-120942,40.768093,-73.968364,21 EAST 66 STREET,2023-04-17 06:00:00.629,5 AVENUE,2017-04-16 20:00:00.000
2023-04-17.06:00:00.629.mn-07-134640,40.78769783,-73.97141311,574 COLUMBUS AVENUE,2023-04-17 06:00:00.629,WEST 87 STREET,2018-04-29 20:00:00.000
2023-04-17.06:00:00.629.si-02-125476,40.590983,-74.100732,19 SEAVIEW AVENUE,,RICHMOND ROAD,2017-02-27 19:00:00.000
2023-04-17.06:00:00.629.mn-07-120277,40.800681,-73.96826,251 WEST 105 STREET,2023-04-17 06:00:00.629,WEST END AVENUE,2020-11-09 19:00:00.000
2023-04-17.06:00:00.629.mn-08-134750,40.762896,-73.965443,1031 3 AVENUE,2023-04-17 06:00:00.629,EAST 62 STREET,2016-03-28 20:00:00.000
2023-04-17.06:00:00.629.mn-07-133415,40.78622273,-73.97799347,2298 BROADWAY,2023-04-17 06:00:00.629,WEST 82 STREET,2016-04-26 20:00:00.000
2023-04-17.06:00:00.629.qu-12-153718,40.7069302,-73.8022297,87-89 PARSONS BOULEVARD,2023-04-17 06:00:00.629,HILLSIDE AVENUE,2023-01-29 19:00:00.000
2023-04-17.06:00:00.629.mn-12-120451,40.83328532,-73.94509159,580 WEST 156 STREET,2023-04-17 06:00:00.629,AMSTERDAM AVENUE,2017-01-31 19:00:00.000
2023-04-17.06:00:00.629.qu-03-125399,40.755835,-73.881778,85-10 NORTHERN BOULEVARD,2023-04-17 06:00:00.629,85 STREET,2018-06-27 20:00:00.000
2023-04-17.06:00:00.629.qu-06-145846,40.726495,-73.853138,100-26 QUEENS BOULEVARD,2023-04-17 06:00:00.629,67 AVENUE,2017-08-15 20:00:00.000
2023-04-17.06:00:00.629.qu-04-136360,40.74679775,-73.89121486,74-04 ROOSEVELT AVENUE,2023-04-17 06:00:00.629,75 STREET,2017-08-24 20:00:00.000
2023-04-17.06:00:00.629.mn-08-119832,40.78276562,-73.95125729,1644 3 AVENUE,2023-04-17 06:00:00.629,EAST 93 STREET,2016-03-22 20:00:00.000
2023-04-17.06:00:00.629.qu-03-111054,40.74825267,-73.87871569,87-15 ROOSEVELT AVENUE,2023-04-17 06:00:00.629,87 STREET,2017-09-07 20:00:00.000
2023-04-17.06:00:00.629.qu-01-145452,40.75881765,-73.91849412,40-13 BROADWAY,2023-04-17 06:00:00.629,41 STREET,2017-12-18 19:00:00.000
2023-04-17.06:00:00.629.mn-11-120242,40.80383351,-73.93810707,133 EAST 124 STREET,2023-04-17 06:00:00.629,PARK AVENUE,2018-04-09 20:00:00.000
2023-04-17.06:00:00.629.mn-12-120347,40.834974,-73.945436,3 EDWARD MORGAN PLACE,2023-04-17 06:00:00.629,WEST 157 STREET,2016-12-19 19:00:00.000
2023-04-17.06:00:00.629.qu-09-128371,40.71316697,-73.82980897,80-55 KEW GARDENS ROAD,2023-04-17 06:00:00.629,80 ROAD,2016-07-28 20:00:00.000
2023-04-17.06:00:00.629.qu-02-145849,40.739922,-73.895296,69-02 QUEENS BOULEVARD,2023-04-17 06:00:00.629,70 STREET,2017-10-05 20:00:00.000
2023-04-17.06:00:00.629.mn-12-135041,40.84844385,-73.934241,1398 ST. NICHOLAS AVENUE,2023-04-17 06:00:00.629,WEST 179 STREET,2018-02-28 19:00:00.000
