activitydetailid,lotid,area,civilian_hrs,fivedayletterno,lotdupinspectionrequestid,streetaddress,lotcleaningtotal,crossstreettwo,used_house1,total_tonnage,activitystatusdate,firstname,old_status_rea_dd,isdeleted,segmentid,ccuno,coordinatex,operatorid_detail,lotno,zone,requestconversion_notes,dumpsiteid,l_tires
227807,130151,40.0,39,,,,,,,299.93,2010-11-02T14:55:59.000,,,0,,7797,,694,901,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
144233,79234,40.0,0,1.0,,,410.87,,,0.25,2010-11-02T14:55:56.000,,,0,,907338,,693,18,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
215089,122541,39.0,0,,,,,,,77.83,2010-11-02T14:55:57.000,,,0,,6177,,694,26,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
219963,126197,39.0,0,,,,,,,8.0,2010-11-02T14:55:57.000,,,0,,6687,,694,5,7.0,PB STATUS = ASSIGNED TO INTAKE,,0
130689,67726,39.0,0,1.0,,,870.08,,,0.5,2010-11-02T14:55:59.000,,,0,,808001,,693,30,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
195713,107635,39.0,0,,,,,,,25.0,2010-11-02T14:55:57.000,,,0,,9906702,,694,58,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
241677,106434,,58,,,,,,,45.5,2010-11-02T14:55:59.000,,,0,,9802343,,612,50,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
278729,185409,0.0,0,,,FULTON STREET,0.0,SOMERS STREET,2055,0.2,2012-08-09T10:29:07.000,,,0,43912.0,1208478,1008873.0,694,8,4.0,,0.0,0
200959,112453,39.0,0,,,,,,,16.2,2010-11-02T14:55:57.000,,,0,,9906332,,694,30,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
249732,148982,39.0,0,,,,,,,5.0,2010-11-02T14:55:57.000,,,0,,207664,,694,29,8.0,PB STATUS = ASSIGNED TO INTAKE,,0
83044,167219,,0,,,,,,,34.5,2010-11-02T14:55:59.000,,,0,,9708340,,623,6,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
29421,3501,39.0,0,,,,,,,17.32,2010-11-02T14:55:56.000,,,0,,313570,,694,11,9.0,PB STATUS = ASSIGNED TO INTAKE,,0
78913,36588,39.0,0,,,,,,,7.0,2010-11-02T14:55:57.000,,,0,,607514,,579,28,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
165328,94024,39.0,0,0.0,,,,,,0.0,2010-11-02T14:55:56.000,,,0,,1008530,,695,31,4.0,PB STATUS = ASSIGNED TO INTAKE,,0
327800,211158,0.0,0,,,164 STREET,1806.87,107 AVENUE,107-58,1.49,2016-01-19T10:31:12.000,,,0,60330.0,1510157,1042220.0,694,61,,,0.0,0
247345,101001,40.0,0,,,,,,,152.9,2010-11-02T14:55:56.000,,,0,,9707523,,618,48,2.0,PB STATUS = ASSIGNED TO INTAKE,,0
146183,80421,39.0,0,1.0,,,,,,2.0,2010-11-02T14:55:56.000,,,0,,908511,,694,14,1.0,PB STATUS = ASSIGNED TO INTAKE,,0
325774,210567,0.0,0,,,MYRTLE AVENUE,0.0,NOSTRAND AVENUE,774,0.03,2015-12-11T09:37:38.000,INSP RICHARDS,,0,9008424.0,1509850,997601.0,694,22,2.0,,0.0,0
201991,109674,39.0,14,,,,730.74,,,2.1,2010-11-02T14:55:57.000,,,0,,9904357,,664,34,12.0,PB STATUS = ASSIGNED TO INTAKE,,0
100351,49531,40.0,0,1.0,,,,,,3.2,2010-11-02T14:55:54.000,,,0,,706401,,694,15,11.0,PB STATUS = ASSIGNED TO INTAKE,,0
