fy_1987,fy_1991,fy_2011,fy_1982,fy_1998,fy_2006,fy_1992
14.0,13.0,10.0,13.0,14.0,11.0,12.0
45.0,60.0,45.0,34.0,38.0,36.0,45.0
1027.0,1123.0,1199.0,902.0,1172.0,1220.0,1079.0
562.0,706.0,588.0,627.0,666.0,848.0,746.0
1019.0,1200.0,1306.0,751.0,1281.0,1185.0,1222.0
1196.0,1152.0,5019.0,1088.0,4484.0,4430.0,1192.0
11.0,11.0,9.0,10.0,10.0,10.0,10.0
812.0,954.0,986.0,619.0,1026.0,932.0,1076.0
3.0,3.0,5.0,3.0,3.0,5.0,3.0
0.0,0.0,5580.0,0.0,7171.0,6616.0,0.0
88.0,83.0,41.0,70.0,75.0,48.0,79.0
458.0,558.0,570.0,336.0,593.0,539.0,577.0
0.0,70.0,50.0,0.0,44.0,49.0,56.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,35.0,0.0,0.0
55.0,59.0,58.0,49.0,47.0,56.0,54.0
0.0,0.0,33.0,0.0,30.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
27504.0,27397.0,33777.0,23961.0,38144.0,35773.0,27306.0
3184.0,2861.0,1975.0,2736.0,1577.0,1691.0,2597.0
294.0,443.0,196.0,92.0,324.0,244.0,355.0
0.0,42.0,35.0,0.0,35.0,41.0,41.0
325.0,314.0,298.0,258.0,356.0,378.0,318.0
2067.0,2240.0,1698.0,1770.0,2341.0,2103.0,2066.0
