program,federalized_development,location_street_c,number_of_non_residential_bldgs
FEDERAL,1995/07/13-PTA,RIEGELMANN BRDWK,1.0
FEDERAL,1995/07/13-PTA,WEBSTER AVE,1.0
FEDERAL,,A NEW ST,0.0
FEDERAL,,E HOUSTON ST,0.0
MIXED FINANCE/LLC2,,WYTHE AVE,0.0
FEDERAL,,JACKSON AVE,0.0
FEDERAL,,E 8TH ST,0.0
FEDERAL,,W 165TH ST,0.0
FEDERAL,,GATES AVE,0.0
FEDERAL,,DUMONT AVE,0.0
MHOP,,LENOX AVE,0.0
FEDERAL,,163RD ST,0.0
FEDERAL,,SECOND AVE,0.0
FEDERAL,,AMSTERDAM AVE,0.0
FEDERAL,,SEIGEL ST,0.0
FEDERAL,,E 170TH ST,0.0
FEDERAL,,W 9TH ST,2.0
FEDERAL,,,0.0
FEDERAL,,RANDALL AVE,0.0
FEDERAL,,WYCKOFF ST,0.0
FEDERAL,1980/07/01-ATP 5,W 35TH ST,4.0
FEDERAL,,CHERRY ST,0.0
FEDERAL,,HESTER ST,1.0
FEDERAL,,SUTTER AVE,0.0
FEDERAL,1978/07/01-ATP 3,TRINITY AVE,0.0
FEDERAL,,SENECA AVE,0.0
MIXED FINANCE/LLC2,,DIVISION AVE,0.0
FEDERAL,,SAINT ANN'S AVE,0.0
FEDERAL,,E 165TH ST,0.0
FEDERAL,,,0.0
FEDERAL,,GRAND AVE,0.0
FEDERAL,,EAST NEW YORK AVE,0.0
FEDERAL,,THIRD AVE,1.0
FEDERAL,1978/02/01-ATP 2,E 145TH ST,0.0
FEDERAL,,,0.0
FEDERAL,,TOMPKINS AVE,1.0
FEDERAL,1978/07/01-ATP 3,MANOR AVE,0.0
FEDERAL,,PARK AVE,0.0
FEDERAL,,BROADWAY,0.0
FEDERAL,,FULTON ST,1.0
FEDERAL,,THIRD AVE,0.0
FEDERAL,,41ST RD,2.0
FEDERAL,,E 165TH ST,0.0
MIXED FINANCE/LLC1,,POWELL BLVD,0.0
FEDERAL,,RUTGERS ST,0.0
FEDERAL,,ALEXANDER AVE,1.0
FEDERAL,,GATES AVE,1.0
FEDERAL,,BAILEY AVE,0.0
FEDERAL,,LENOX AVE,0.0
MHOP,,LENOX AVE,0.0
FEDERAL,,E 7TH ST,0.0
FEDERAL,,W 91ST ST,0.0
FEDERAL,1978/02/01-ATP 2,BEACH CHANNEL DR,6.0
FEDERAL,1977/07/01-ATP 1,W 115TH ST,0.0
FEDERAL,,WEBSTER AVE,0.0
FEDERAL,,,0.0
FEDERAL,,SURF AVE,0.0
MIXED FINANCE/NON-NYCHA DEVELOPMENT,,,
FEDERAL,,DUMONT AVE,0.0
FEDERAL,,DEAN ST,0.0
FEDERAL,,SUTTER AVE,1.0
FEDERAL,1980/07/01-ATP 5,GUN HILL RD,0.0
FEDERAL,,LAFAYETTE AVE,1.0
FEDERAL,1979/08/01-ATP 4,W 100TH ST,0.0
