neighborhoods,perc_asian,ind6outcome,ind7rank,ind8outcome
"Bedford Park, Fordham North & Norwood",0.061,0.913,18.0,0.684615385
"Riverdale, Fieldston & Kingsbridge",0.052,0.388888889,23.0,
Forest Hills & Rego Park,0.272,0.214229249,28.0,
Crown Heights North & Prospect Heights,0.037,0.662,36.0,0.825418674
Flatbush & Midwood,0.105,0.657142857,39.0,
"Hamilton Heights, Manhattanville & West Harlem",0.083,0.272727273,13.0,
Upper East Side,0.093,0.239992355,21.0,
Upper West Side & West Side,0.092,0.225889047,10.0,
Bay Ridge & Dyker Heights,0.24,0.631578947,18.0,
"Morris Heights, Fordham South & Mount Hope",0.015,0.555555556,54.0,
"Queens Village, Cambria Heights & Rosedale",0.15,,,
"Bayside, Douglaston & Little Neck",0.427,42.3,,
Bedford Stuyvesant,0.032,0.927,47.0,0.786991506
"Crown Heights South, Prospect Lefferts & Wingate",0.018,0.318760757,19.0,
"Battery Park City, Greenwich Village & Soho",0.159,0.136592145,33.0,
Brooklyn Heights & Fort Greene,0.092,0.431818182,7.0,
Upper West Side & West Side,0.092,31.1,,
"Chelsea, Clinton & Midtown Business District",0.162,,,
"Tottenville, Great Kills & Annadale",0.047,,,
Howard Beach & Ozone Park,0.21,0.526315789,16.0,
"Tottenville, Great Kills & Annadale",0.047,0.552,55.0,0.913521714
"Port Richmond, Stapleton & Mariners Harbor",0.075,0.283830445,35.0,
Bushwick,0.048,0.321480182,38.0,
Forest Hills & Rego Park,0.272,0.595238095,11.0,
"Queens Village, Cambria Heights & Rosedale",0.15,,,
Chinatown & Lower East Side,0.311,,,
Crown Heights North & Prospect Heights,0.037,,,
Bedford Stuyvesant,0.032,,,
"Concourse, Highbridge & Mount Eden",0.017,0.244742008,32.0,
Brownsville & Ocean Hill,0.015,,,
Richmond Hill & Woodhaven,0.263,,,
Central Harlem,0.032,35.3,33.0,
Bensonhurst & Bath Beach,0.391,,,
Greenpoint & Williamsburg,0.073,17.7,28.0,
Greenpoint & Williamsburg,0.073,,,
"Flushing, Murray Hill & Whitestone",0.521,,,
East New York & Starrett City,0.045,,,
East Harlem,0.075,,,
Brighton Beach & Coney Island,0.145,0.625,48.0,
"Sheepshead Bay, Gerritsen Beach & Homecrest",0.159,27.1,20.0,
Sunset Park & Windsor Terrace,0.324,0.497,4.0,0.647192716
Flatbush & Midwood,0.105,,,
"Concourse, Highbridge & Mount Eden",0.017,,,
New Springville & South Beach,0.125,0.234671672,43.0,
Canarsie & Flatlands,0.044,0.409090909,33.0,
Jackson Heights & North Corona,0.169,,,
"Bayside, Douglaston & Little Neck",0.427,24.5,27.0,
"Concourse, Highbridge & Mount Eden",0.017,0.4,53.0,
"Flushing, Murray Hill & Whitestone",0.521,0.405,3.0,0.78985429
"Castle Hill, Clason Point & Parkchester",0.071,,,
Howard Beach & Ozone Park,0.21,0.333768196,43.0,
Central Harlem,0.032,,,
Crown Heights North & Prospect Heights,0.037,0.222222222,22.0,
Bedford Stuyvesant,0.032,60.0,1.0,
"Bedford Park, Fordham North & Norwood",0.061,0.25,51.0,
"Queens Village, Cambria Heights & Rosedale",0.15,0.6,21.0,
"Borough Park, Kensington & Ocean Parkway",0.14,29.2,6.0,
"East Flatbush, Farragut & Rugby",0.014,,,
Chinatown & Lower East Side,0.311,19.5,11.0,
"Briarwood, Fresh Meadows & Hillcrest",0.339,0.5,20.0,
Jackson Heights & North Corona,0.169,0.262628649,34.0,
Bensonhurst & Bath Beach,0.391,0.714,22.0,0.757568207
Howard Beach & Ozone Park,0.21,,,
Sunset Park & Windsor Terrace,0.324,24.4,34.0,
