nta,x_sp,inf_lights,vert_tgrd,boroname,st_senate,zipcode,cen_year,trunk_dmg,horz_blck,borocode
BK45,1011733,No,No,Brooklyn,19,11234,2005,,No,3
MN12,991940,No,No,Manhattan,30,10024,2005,Cavity,Yes,1
MN34,1002946,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN34,1003105,No,No,Manhattan,29,10035,2005,Trunk Wound,Yes,1
MN12,992983,No,No,Manhattan,30,10024,2005,,No,1
MN33,1000108,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN33,1001315,No,No,Manhattan,30,10029,2005,Trunk Wound,Yes,1
MN28,988494,No,No,Manhattan,26,10002,2005,Torn Bark,No,1
MN28,988003,No,No,Manhattan,26,10002,2005,,No,1
MN15,985885,No,No,Manhattan,27,10019,2005,,Yes,1
MN34,1002476,No,No,Manhattan,29,10035,2005,Cavity,Yes,1
MN33,1001001,No,No,Manhattan,29,10029,2005,,Yes,1
MN12,991344,No,No,Manhattan,31,10024,2005,Trunk Wound,Yes,1
MN34,1002235,No,No,Manhattan,29,10029,2005,Cavity,Yes,1
MN24,981137,No,No,Manhattan,26,10007,2006,Trunk Wound,Yes,1
MN34,1002645,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN33,1001151,No,No,Manhattan,30,10029,2005,,No,1
MN11,996808,No,No,Manhattan,30,10027,2005,Trunk Wound,Yes,1
MN12,993205,No,No,Manhattan,30,10025,2005,Cavity,No,1
MN25,980540,No,No,Manhattan,26,10004,2005,Trunk Wound,Yes,1
MN04,999048,No,No,Manhattan,31,10032,2005,,Yes,1
MN12,993205,No,No,Manhattan,30,10025,2005,,No,1
MN33,1000108,No,No,Manhattan,29,10029,2005,Trunk Wound,Yes,1
MN12,992968,No,No,Manhattan,30,10024,2005,,No,1
MN12,988888,No,No,Manhattan,29,10023,2005,,No,1
MN12,991682,No,No,Manhattan,29,10024,2005,,No,1
MN11,995736,No,No,Manhattan,30,10026,2005,Cavity,No,1
MN28,988027,No,No,Manhattan,26,10002,2005,,Yes,1
MN34,1002976,Yes,No,Manhattan,29,10035,2005,,Yes,1
MN11,995922,No,No,Manhattan,30,10026,2005,,Yes,1
MN12,988838,No,No,Manhattan,29,10023,2005,,No,1
MN33,1000948,No,No,Manhattan,30,10029,2005,,Yes,1
MN36,999354,No,No,Manhattan,31,10032,2005,,Yes,1
MN12,990965,No,No,Manhattan,29,10024,2005,Trunk Wound,No,1
MN12,993092,No,No,Manhattan,30,10025,2005,,No,1
MN23,981755,No,No,Manhattan,27,10014,2006,,Yes,1
MN24,981690,No,No,Manhattan,26,10013,2006,,Yes,1
MN34,1002645,No,No,Manhattan,29,10029,2005,,No,1
MN12,992357,No,No,Manhattan,30,10024,2005,,Yes,1
MN12,993301,No,No,Manhattan,30,10024,2005,,No,1
MN24,981191,No,No,Manhattan,26,10007,2006,,No,1
MN22,986800,No,Yes,Manhattan,27,10003,2005,,No,1
MN12,989123,No,No,Manhattan,29,10024,2005,,Yes,1
MN12,990689,No,Yes,Manhattan,31,10024,2005,,Yes,1
MN12,993002,No,No,Manhattan,30,10024,2005,,No,1
MN12,991806,No,No,Manhattan,29,10024,2005,,No,1
MN23,981946,No,No,Manhattan,27,10014,2006,,Yes,1
MN15,986805,No,No,Manhattan,27,10019,2005,,Yes,1
MN11,996138,No,No,Manhattan,30,10026,2005,,No,1
MN28,988585,No,No,Manhattan,26,10002,2005,Torn Bark,Yes,1
MN14,986775,No,No,Manhattan,27,10019,2005,,No,1
MN33,1001315,No,No,Manhattan,30,10029,2005,Cavity,Yes,1
MN12,990251,No,No,Manhattan,31,10024,2005,,No,1
MN12,993034,No,No,Manhattan,30,10024,2005,Trunk Wound,No,1
MN33,1000135,No,Yes,Manhattan,29,10029,2005,Trunk Wound,Yes,1
