ticket_number,respondent_address_street_name,charge_1_code,charge_5_code,violation_location_city,violation_time,charge_10_code_section,decision_date,charge_5_code_section,violation_location_block_no,total_violation_amount,charge_9_infraction_amount,issuing_agency,charge_4_code_section,respondent_address_state_name,charge_6_code,charge_1_code_section,charge_1_code_description,violation_location_lot_no,charge_8_code
1533225F0,BROADWAY,,,New York,,,,,,,,,,,,,,,
039171118P,27 AVENUE,B127,,BROOKLYN,11:00:00,,,,5292.0,1250.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC1020,FAILURE TO PROVIDE UNOBSTRUCTED EXIT PASSAGEWAY,23.0,
039171125N,GUY R BREWER BOULEVARD,B2A7,,BROOKLYN,10:35:00,,,,1837.0,2500.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-116,PERMIT HOLDER FAIL TO PROVIDE ACCESS AND OR EXPOSE WORK ON ACTIVE SITE,63.0,
049533470M,VIRGINIA AVENUE,AFY6,,BRONX,13:37:00,,,,3929.0,50.0,,SANITATION VENDOR ENFORCEMENT,,NEW YORK,,ADMIN.,"VENDING ON SIDEWALK LESS THAN 12 FT., OR NOT AT CURB",7501.0,
049576218K,CARROLL STREET,AS14,,MASPETH,18:40:00,,,,2573.0,4000.0,,SANITATION POLICE,,NEW YORK,,16-119,ILLEGAL DUMPING OWNER OF VEHICLE 1ST OFFENSE,1.0,
KH0001011,,19-5,,FLORAL PARK,,,,,,0.0,,TAXI_TLC,,,,19-504(g),,,
25N03064,EVERGREEN AVE,,,BROOKLYN,,,,,,,,,,,,,,,
039548292H,MARCY AVENUE,B1N4,,BROOKLYN,10:35:00,,,,3270.0,2500.0,,DEPT. OF BUILDINGS,,NEW YORK,,BC3301,FAIL TO COMPLY WITH SPECS,24.0,
80083413A,,58-3,,BROOKLYN,,,,,,0.0,,TAXI_TLC,,,,58-39(e)(3)(i),,,
25Q03744,88TH AVE,,,JAMAICA,,,,,,,,,,,,,,,
1529525N0,EAST 193 STREET,,,BROOKLYN,,,,,,,,,,,,,,,
73071382A,,80-1,,NEW HYDE PARK,,,,,,0.0,,TAXI_TLC,,,,80-11(d),,,
039171175L,CROTONA AVENUE,B2C4,,BRONX,13:40:00,,,,3103.0,800.0,,DEPT. OF BUILDINGS,,NEW YORK,,27-,ELECTRICAL WORK WITHOUT A PERMIT,61.0,
0137931934,,,,,08:16:00,,,,886.0,2500.0,,,,,,,,39.0,
039171128Z,518 FT WASHINGTN AVE,B2C9,,NEW YORK,11:25:00,,,,2180.0,800.0,,DEPT. OF BUILDINGS,,NEW YORK,,EC,UNAPPROVED UNSAFE UNSUITABLE ELECTRICAL EQUIPMENT OR WIRING IN USE,25.0,
049469731H,124 STREET,AS2P,,ASTORIA,07:57:00,,,,882.0,75.0,,SANITATION OTHERS,,NEW YORK,,A.C.,IMPROPER DISPOSAL - 1ST OFFENSE,12.0,
74460864A,,80-1,,JACKSON HEIGHTS,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(3)(viii),,,
039171104Y,45 STREET,B102,,BROOKLYN,09:25:00,,,,1760.0,6250.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-301,FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER,72.0,
039548285J,MARCY AVENUE,B1C6,,BRONX,10:15:00,,,,,2500.0,,DEPT. OF BUILDINGS,,NEW YORK,,28-105,WORK AFTER HOURS W O VARIANCE PERMIT CONTRARY TO 28-105.12.5,,
1531825F0,NEWELL STREET,,,Brooklyn,,,,,,,,,,,,,,,
73071386A,,80-1,,CORONA,,,,,,0.0,,TAXI_TLC,,,,80-13(a)(3)(vii),,,
039171217K,PARSONS BOULEVARD,B302,,QUEENS,14:15:00,,,,6831.0,500.0,,DEPT. OF BUILDINGS,,NEW YORK,,AC,FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER,7501.0,
0704088074,METROTECH CENTER,ADQ5,,BROOKLYN,00:38:00,,,,,1200.0,,DEPT OF TRANSPORTATION,,NEW YORK,,34RCNY,FAILURE TO PROPERLY FASTEN PLATING AND DECKING,,
