permitid,fullapplicationno,axle10weight,axle11weight,permitservicecompany,axle8space,axle6space,axle2space,startstreetaddress,steeringweight,overalllength,axle3weight,axle4weight
632339,HAR-2023921-31753,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,14850.0,14850.0
531347,Cen1-202182-21917,,,Patrick McGuinness 817,,,16.08,26-01 Ulmer St,6000,70.0,4050.0,4050.0
598978,HAR-20221213-49423,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,19800.0,19800.0
587475,New-2022928-37920,,,"New York Truck Escorts & Permits, Inc.",5.05,5.05,5.05,150 55 ST,17787,65.07,17529.0,17738.0
639110,HAR-2023125-38524,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,16.06,110-00 ROCKAWAY BLVD (AQUEDUCT RACETRACK},10000,79.0,6500.0,6000.0
559742,Jac-2022322-10187,,,Ryan Cooke 817 DD,,,16.0,63 FLUSHING AVE,6689,73.0,8478.0,9477.0
610170,Eli-2023228-9584,,,"Elite Motor Carrier Escort, LLC.",,,18.04,,12000,77.0,6125.0,6125.0
633024,New-2023929-32438,13807.0,13807.0,"New York Truck Escorts & Permits, Inc.",5.0,5.0,12.09,,12500,113.03,13807.0,13807.0
546958,Joh2-2021122-37528,,,John M Hicks 817 DD,,,18.0,12-01 ULMER ST,8700,73.0,11620.0,12447.0
596349,JAM-20221129-46794,,,JAMIE J HILL  DBA GATOR PERMITS,,,14.06,100 FLATBUSH AV,8000,77.0,9000.0,3000.0
591179,Con3-20221020-41624,,,Con Edison Of New York,,,13.0,4300 BOSTON ROAD,7000,64.0,16000.0,16000.0
564117,Com2-2022419-14562,,,edwindiaz817,,,15.0,26-01 Ulmer st,6000,70.0,5080.0,5080.0
605995,NJ-202322-5409,,,NJ Routing and Logistics,,4.05,16.08,,10000,73.1,6000.0,5000.0
574150,New-2022624-24595,,,"New York Truck Escorts & Permits, Inc.",,5.0,17.08,RT-440 SOUTHBOUND @ EXIT 5 JOBSITE,11000,74.04,8000.0,5000.0
532832,New-2021812-23402,,,"New York Truck Escorts & Permits, Inc.",4.05,4.05,15.0,,15000,75.0,18332.0,18332.0
602827,Wes-2023117-2241,,,West Chester Permit LLc,,,16.0,,12000,78.0,16750.0,16750.0
593541,Pla-2022114-43986,,,"Planned Parenthood of New York City, Inc.",,,21.01,3763 83rd street,10000,40.0,,
567289,HAR-2022510-17734,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,17.06,,14000,79.0,19600.0,19200.0
540053,THE1-2021106-30623,,,THE PERMIT COMPANY,,4.0,15.07,,12000,79.11,5600.0,5600.0
575778,Edw-202278-26223,,,Edward Terriaca 817,,,14.06,26-01 ULMER STREET,21000,62.0,10500.0,5000.0
550268,SP-2022110-713,,,Shieed P Jones 817 Films,,,10.1,63 Flushing Ave,12000,67.09,17500.0,10000.0
587563,HAR-2022929-38008,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,4.06,4.06,15.06,,14000,78.0,14850.0,14850.0
619273,Mut-2023428-18687,,,Muthers Pilot Car Services,,,16.02,1640 White Plains Rd,12000,75.0,9250.0,9250.0
558993,Ans-2022317-9438,,,Anslem King 817         DD,,,16.1,63 Flushing Ave,7500,65.03,9000.0,9000.0
588261,New-2022103-38706,,,"New York Truck Escorts & Permits, Inc.",,2.06,12.0,174 ST & 64 AVE,12000,68.0,7400.0,7400.0
613175,Blu-2023320-12589,,,Blue Bloods,,,11.06,37-30 Review Ave,8660,63.09,12470.0,12470.0
619099,THE1-2023427-18513,,,THE PERMIT COMPANY,,4.08,17.06,,13000,79.11,17667.0,17667.0
536660,Amb-2021913-27230,,,Ambika DOT Service   -  DD,,,12.0,364 Maspeth Ave,10000,70.0,12666.0,12666.0
598111,NJ-2022127-48556,,,NJ Routing and Logistics,,4.05,14.03,,10000,72.04,11000.0,11000.0
603997,209-2023124-3411,,,John McMorrow 817,,,16.0,26-01 ULMER STREET,15000,72.0,15000.0,15000.0
612607,HAR-2023315-12021,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,5.0,5.0,17.06,47TH ST & MADISON AVE,10000,78.0,6000.0,6000.0
536390,NYC3-2021910-26960,,,NYC Dept of Sanitation,,4.06,12.08,803 Forbell St,13300,68.09,5625.0,5625.0
561838,HAR-202245-12283,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,12.06,10TH AVE & 34TH STREET,12000,73.0,16630.0,16630.0
618459,All1-2023424-17873,,,All Mobile Video,,,17.06,,11000,73.0,14000.0,13050.0
559593,Cus-2022321-10038,,,Custom Permit Service Company,,,11.09,,6000,59.0,8000.0,8000.0
612487,HAR-2023314-11901,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,,17.06,,12000,82.0,16500.0,16500.0
566672,New-202254-17117,,,"New York Truck Escorts & Permits, Inc.",,,17.0,12 AVE & W46 ST,12000,72.06,5250.0,5250.0
569954,Hig-2022531-20399,,,High Wide & Heavy Oversize Escorts LLC,,5.05,5.05,,26400,58.0,26400.0,26400.0
621448,New-2023517-20862,,,"New York Truck Escorts & Permits, Inc.",,5.05,8.01,,26400,57.09,26400.0,26400.0
631370,HAR-2023912-30784,,,HARRIS CAMDEN  TERMINAL EQUIPMENT CO,,4.06,17.06,,14000,79.0,19600.0,19200.0
559257,Hig-2022318-9702,,,High Wide & Heavy Oversize Escorts LLC,,,16.0,4340 THIRD AVE,12000,65.0,7000.0,7000.0
529812,BAR-2021719-20382,,,BARKINGDOG ESCORTS AND PERMITS,,5.0,16.06,,8000,76.0,10000.0,10000.0
538674,Blu-2021927-29244,,,Blue Bloods,,,11.06,37-30 Review Ave,8660,63.09,12470.0,12470.0
