building_location,community_district,census_tract,street_name,address_number,other_required,public_space_type,permitted_amenities,principal_public_space
North side of East 48th Street between Third and Lexington Avenues,6,92.0,EAST 48 STREET,141,,Pedestrian Circulation Space; Urban Plaza,Open Air Cafe,"Thomas Balsley Associates, Skordas Design Studio (Cafe cert 2015)"
Northwest corner of First Avenue and East 83rd Street,8,138.0,EAST 83 STREET,353,,Plaza,,Philip Birnbaum
"Entire block bounded by FDR Drive, First Avenue, East 34th Street, and East 35th Street",6,86.01,EAST 34 STREET,401,"Childrens play area, game tables and associated seating provided.",Residential Plaza,,"2015 Modification: Matthews Nielsen Landscape Architects, PC and LightTime Design [2000 Sources: Philip Birnbaum & Associates; Thomas Balsley Associates; Landgarden Landscape Architects (for alteration)]"
South side of East 39th Street between Second and Third Avenues,6,78.0,EAST 39 STREET,222,,Plaza,,"Sidney Goldhammer; MUSHO Architecture and Design, LLC (for alteration in 2004)"
Southeast corner of Park Avenue and East 71st Street,8,128.0,PARK AVENUE,733,,Arcade; Plaza,,Kahn and Jacobs with Harry F. Green
Southeast corner of Second Avenue and East 62nd Street,8,110.0,EAST 62 STREET,300,,Residential Plaza,,Liebman Liebman Associates
South side of East 42nd Street between Second and Third Avenues,6,88.0,EAST 42 STREET,212,,Urban Plaza,,Emery Roth & Sons
Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,5,119.0,SIXTH AVENUE,1133,,Plaza,,Emery Roth & Sons; Gensler (2014 Cafe + Design Change)
Full blockfront on west side of Broadway between West 70th and 71st Streets,7,159.0,WEST 70 STREET,201,,Plaza,,S.J. Kessler & Sons
Southeast corner of East 24th Street and Third Avenue,6,64.0,EAST 24 STREET,200,,Plaza,,Clarence Lilien & Associates
West side of Broadway between West 50th and 51st Streets,5,131.0,BROADWAY,1633,"2 legitimate theaters (one of 1,600 to 1,800 seats and one of 350 to 650 seats)",Special Permit Arcade; Special Permit Plaza; Underground Concourse,Open Air Cafe,"Emery Roth & Sons; Thomas Balsley Associates (for alteration in 1989); Moed de Armas and Shannon, P.C. (for alteration in 2012); The Office of S. Steve Wygoda, Architects and Planners (for alteration in 2014)"
Northwest corner of Third Avenue and East 84th Street,8,148.01,EAST 84 STREET,171,,Residential Plaza,,Philip Birnbaum; Thomas Balsley Associates
"South side of East 72nd Street between First and York Avenues. Original BBL: 1466/29, 31, 1001-1208.",8,124.0,EAST 72 STREET,422,,Residential Plaza,,Thomas Balsley Associates
,11,242.0,EAST 126 STREET,225,,'Public Plaza',,
Southwest corner of West 16th Street Fifth Avenue,5,54.0,FIFTH AVENUE,108,,Residential Plaza,,Stamatios P. Lykos & Associates
West side of Sixth Avenue between West 47th and 48th Streets,5,125.0,SIXTH AVENUE,1211,,Plaza; Subway Concourse; Through Block Arcade,,Harrison and Abramovitz
Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,5,101.0,PENNSYLVANIA PLAZA,1,,Arcade; Plaza,,Kahn and Jacobs; Thomas Balsley Associates (for alteration in 2007); Zurita Architects (for alteration in 2010)
South side of East 47th Street between Second and Third Avenues,6,90.0,EAST 47 STREET,212,,Plaza,,Philip Birnbaum
Northwest corner of Third Avenue and East 96th Street,11,158.02,EAST 96 STREET,175,,Residential Plaza,,Costas Kondylis Architects
"Bounded by Front, Water, and Wall Streets",1,7.0,WALL STREET,100,,Arcade; Plaza,,Emery Roth & Sons
Northwest corner of West 53rd Street and Seventh Avenue,5,131.0,SEVENTH AVENUE,825,,Plaza,,Russell M. Boak Associates
Full blockfront on east side of Broadway between West 63rd and 64th Streets,7,149.0,LINCOLN PLAZA,1,,Arcade; Plaza,,Philip Birnbaum
Southeast corner of East 47th Street and Fifth Avenue,5,94.0,FIFTH AVENUE,575,,Covered Pedestrian Space,Other Permitted,Emery Roth & Sons; Gensler and Moed de Armas & Shannon Architects (for alteration in 2007)
"Full block bounded by South Street, Water Street, Vietnam Veterans Plaza, and Old Slip",1,9.0,WATER STREET,55,"Elevated Plaza: stairs connecting to street level on Water Street and South Street events platform, stair balconies, viewing platform, boardwalk, support space and illuminated beacon; rebuilding and maintenance of adjacent Jeannette Park (now Vietnam Veterans Plaza) to the west as an urban park with landscaping, seating, and lighting",Arcade; Elevated Plaza; Plaza,Other Permitted,"M. Paul Friedberg & Partners; Rogers Marvel Architects, PLLC and Ken Smith (for alteration in 2004)"
North side of West 48th Street between Broadway and Eighth Avenue,5,125.0,WEST 48 STREET,235,,Urban Plaza,,Schuman Lichtenstein Claman Efron; Thomas Balsley Associates (for alterations circa 2000 and 2009)
"The subject property spans multiple block/lots across a North and South parcel. The North parcel (North of West 52nd Street) is on Block 1081, lot 39 and part of lot 29. The South parcel (South of West 52nd Street) is block 1080, part of lot 25.",4,135.0,WEST 52 STREET,501,,Linear Open Space; Open Space,,
