attendance_09,school,attendance_04,register_07,classes
0,1,397,0,250
0,657,87,0,80
0,637,260,0,310
0,260,370,0,120
0,527,432,0,356
0,433,402,0,640
0,345,603,0,320
0,147,288,0,150
0,542,493,0,290
0,182,949,0,430
0,463,178,0,150
0,58,978,0,390
0,163,606,0,280
0,692,469,0,220
0,128,582,0,340
0,547,390,0,370
0,335,266,0,220
0,427,288,0,460
0,266,124,0,110
0,289,354,0,240
0,135,228,0,160
0,33,967,0,510
0,632,105,0,140
0,217,300,0,200
0,305,291,0,210
0,145,269,0,160
0,483,433,0,730
0,254,426,0,270
0,153,717,0,410
0,260,443,0,273
0,336,0,0,0
0,85,950,0,510
0,54,454,0,280
0,76,1016,0,450
0,39,413,0,180
0,92,432,0,220
0,20,382,0,190
0,102,265,0,177
0,9,805,0,365
0,66,667,0,350
0,429,190,0,140
0,684,429,0,230
0,92,453,0,220
0,684,597,0,330
0,536,412,0,220
0,1,1217,0,600
0,72,852,0,430
0,615,898,0,950
0,263,347,0,710
0,384,230,0,160
0,43,467,0,260
0,258,230,0,130
0,140,358,0,200
0,24,981,0,400
0,209,152,0,70
0,280,181,0,113
0,275,458,0,550
0,155,338,0,170
0,279,464,0,260
0,112,312,0,250
0,291,629,0,300
0,223,266,0,140
0,351,146,0,80
0,391,502,0,310
0,440,1464,0,1190
0,529,558,0,962
0,187,993,0,370
0,252,387,0,300
0,270,129,0,100
0,243,228,0,104
0,110,387,0,190
0,397,250,0,140
0,65,626,0,260
0,450,660,0,360
0,202,455,0,280
0,507,361,0,387
0,432,252,0,560
0,582,236,0,130
0,696,524,0,50
0,416,546,0,290
0,327,693,0,380
0,431,82,0,190
0,428,116,0,50
0,28,722,0,420
0,364,321,0,140
0,38,227,0,140
0,251,308,0,130
0,92,277,0,160
0,11,888,0,370
0,555,352,0,150
0,566,198,0,210
0,489,71,0,80
0,557,159,0,260
0,600,1738,0,1270
0,103,1092,0,550
0,550,337,0,450
0,11,663,0,398
0,361,371,0,169
0,161,395,0,200
0,329,264,0,190
0,434,403,0,280
0,394,552,0,270
0,214,917,0,490
0,415,332,0,440
0,510,215,0,210
0,655,535,0,495
0,83,1710,0,804
0,467,223,0,120
0,261,779,0,370
0,933,152,0,70
0,179,869,0,420
0,369,241,0,140
0,660,405,0,1480
0,136,472,0,235
0,379,129,0,158
0,31,581,0,270
0,223,574,0,250
0,558,489,0,190
0,633,398,0,200
0,500,505,0,310
0,567,253,0,120
0,110,450,0,200
0,392,390,0,480
0,346,585,0,370
0,290,379,0,390
0,404,544,0,370
0,30,701,0,320
0,543,278,0,220
0,543,382,0,460
0,594,162,0,471
0,544,158,0,50
0,12,224,0,180
0,492,506,0,210
0,180,577,0,280
0,98,183,0,125
0,357,223,0,90
0,396,345,0,215
0,225,585,0,260
0,382,266,0,120
0,685,229,0,160
0,287,242,0,260
0,300,352,0,254
0,424,294,0,179
0,125,220,0,180
0,167,1309,0,570
0,339,493,0,410
0,546,448,0,1235
0,503,161,0,590
0,86,1627,0,700
0,135,658,0,280
0,141,1359,0,710
0,499,325,0,390
0,225,323,0,260
0,93,290,0,170
0,211,560,0,290
0,316,348,0,160
0,52,401,0,170
0,507,459,0,320
0,484,133,0,90
0,458,119,0,60
0,282,856,0,471
0,19,253,0,220
0,37,621,0,314
0,143,340,0,160
0,767,202,0,140
0,154,311,0,160
0,16,424,0,260
0,366,94,0,100
0,241,531,0,280
0,279,1051,0,530
0,108,937,0,390
0,324,424,0,200
0,3,423,0,255
0,534,411,0,1060
0,447,517,0,180
0,676,179,0,138
0,318,1445,0,610
0,267,354,0,170
0,132,431,0,210
0,449,642,0,572
0,353,263,0,222
0,64,137,0,70
0,346,626,0,310
0,169,391,0,180
0,46,348,0,240
0,419,329,0,698
