latitude,longitude,parcel_name,coordinates,overlay_1,bsmt_code,census_tract,community_district,lot_type_code,residential_floor_area,police_prct,total_area,retail_floor_area,open_petroleum_spill,potential_urban_ag,health_ctr,lot,lot_front,exempt_land,proximity_code
40.764139,-73.9526919,,997355/217677,,0,116.0,108,2,0,19.0,1830,0,,,13.0,60,1830.0,872100,0
40.775342,-73.9924034,RIVERSIDE PARK SOUTH,986354/221755,,5,151.0,107,3,0,20.0,104600,0,,,15.0,4,200.0,44538300,0
40.768381,-73.996758,PIER 94 PROJECT,985148/219219,,5,135.0,104,2,0,18.0,31348,0,,,15.0,101,124.1,7222899,0
40.728205,-73.9843558,122 COMMUNITY CENTER,988586/204582,C1-5,2,34.0,103,3,0,9.0,13840,0,,,14.0,1,92.0,7527150,2
40.723816,-73.9806228,6BC BOTANICAL GARDEN,989621/202983,,5,26.01,103,5,0,9.0,4074,0,,,14.0,122,42.0,584550,0
40.714136,-73.9846729,HENRY STREET SETTLEMENT,988499/199456,,0,2.02,103,3,0,7.0,6410,0,,,14.0,76,61.83,429300,0
40.744186,-74.000747,PS 11,984043/210404,,2,89.0,104,4,0,10.0,27600,0,,,15.0,24,150.0,7018650,3
40.713319,-73.9964901,CHATHAM SQUARE LIBRARY,985223/199158,,2,8.0,103,5,0,5.0,3750,0,,,14.0,44,50.0,1430100,3
40.708409,-74.0042272,IND CLIFF STREET SUBSTATION,983078/197369,,0,15.01,101,5,0,1.0,4604,0,,,15.0,43,49.67,0,0
40.735326,-73.9870892,WASHINGTON IRVING HIGH SCHOOL,987828/207176,,2,50.0,106,3,0,13.0,44742,370000,,,14.0,57,184.0,14893650,2
40.716435,-73.9811299,WILLIAMSBURG BRIDGE,989481/200294,C2-5,0,12.0,103,3,0,7.0,21050,0,,,14.0,12,105.25,797850,0
40.807524,-73.9441108,,999722/233485,,2,200.0,110,4,0,28.0,19152,15800,,,11.0,10,175.0,2873880,3
40.752276,-73.9688952,HAMMARSKJOLD PLAZA PARK,992868/213353,,0,90.0,106,3,0,17.0,41985,0,,,13.0,27,73.0,17580600,1
40.81435,-73.9383789,,1001307/235973,,0,212.0,110,5,0,32.0,34562,0,,,11.0,2,172.96,2367000,1
40.802785,-73.9401632,UPPER PARK AVENUE URA,1000816/231759,,2,196.0,111,3,0,25.0,1350,12702,,,11.0,71,112.5,2640195,0
40.729894,-73.9727988,JOHN J MURPHY PARK,991789/205198,,5,44.0,106,5,0,13.0,10000,0,,Not Suitable,14.0,90,212.92,1045800,0
40.778377,-73.9883013,,987490/222861,,5,155.0,107,4,0,20.0,36798,0,,Not Suitable,15.0,128,323.0,450,0
40.785429,-73.9435443,MANHATTAN 11 GARAGE,999884/225435,C2-5,5,164.0,111,3,0,23.0,4092,0,,,12.0,23,40.92,563400,0
40.753817,-73.9837289,BRYANT PARK,988758/213913,,2,84.0,105,3,0,14.0,199290,0,,,15.0,2,455.0,149281650,0
40.72539,-74.0025832,THOMPSON STREET PLAYGROUND,983534/203556,,0,49.0,102,3,0,1.0,27687,0,,,15.0,30,250.25,3689550,0
40.72164,-73.9819401,PEACHTREE GARDEN,989256/202190,,5,22.02,103,5,0,9.0,2621,0,,,14.0,51,24.75,939150,0
40.782063,-73.9863074,RIVERSIDE PARK,988042/224204,,0,163.0,107,5,0,20.0,116700,0,,,16.0,4,1630.0,5634450,0
40.7923,-73.9514259,PS 171,997700/227937,,2,168.0,111,4,0,23.0,30274,0,,,12.0,7,150.0,7217100,2
40.79135,-73.9395271,HUMACAO COMMUNITY PLAYGROUND,1000995/227593,,5,170.0,111,5,0,23.0,5046,0,,,12.0,21,50.0,521550,0
