address,zip_code,fire_comp,date_created,zone_dist_2,irr_lot_code,zone_dist_1,exempt_tot,year_alter_1,bldg_depth,council_district,current_uses,storage_floor_area,land_use_category,health_area,num_floors,pluto_version,lot_depth,garage_floor_area,commercial_floor_area
150 WEST 56 STREET,10019.0,E023,2025-03-14T00:00:00.000,C6-6,Y,C6-6.5,3448586,,100.5,6.0,,0,4.0,4700.0,70.0,24v31,200.83,32890,352734
MARGINAL STREET,,,2025-03-14T00:00:00.000,,Y,PARK,688950,,0.0,4.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,,0.0,24v31,34.75,0,0
132 WEST 10 STREET,10014.0,Q018,2025-03-14T00:00:00.000,R6,Y,C1-6,445050,,90.0,3.0,FIREHOUSE,0,8.0,6100.0,3.0,24v31,97.58,5020,5020
331 EAST 10 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,997200,,85.0,2.0,BRANCH LIBRARY,0,8.0,6200.0,3.0,24v31,94.75,0,9042
42 BROADWAY,10004.0,L015,2025-03-14T00:00:00.000,,Y,C5-5,0,,197.0,1.0,AGCY EXECUTVE OFFICE;OFFICE,0,5.0,7700.0,21.0,24v31,197.33,0,389927
311 WEST 52 STREET,10019.0,E040,2025-03-14T00:00:00.000,,Y,R8,8284500,1988.0,164.0,3.0,SPECIAL EDUC SCHOOL,0,8.0,4700.0,4.0,24v31,200.83,0,57311
11 FULTON STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-2A,30223350,2015.0,160.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT,0,5.0,7700.0,3.0,24v31,160.33,0,128123
F D R DRIVE,10009.0,E005,2025-03-14T00:00:00.000,,N,M1-1,7970850,,0.0,4.0,NO USE;FINAL COMMITMNT-DISP;NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,6000.0,0.0,24v31,580.0,0,0
78 CATHERINE STREET,10038.0,E009,2025-03-14T00:00:00.000,,Y,R7-2,5983650,,191.0,1.0,TRANSL HSG - FAMILY,0,8.0,7800.0,4.0,24v31,201.25,0,115659
1740 YORK AVENUE,10128.0,L043,2025-03-14T00:00:00.000,,Y,M1-4,4474260,,205.0,5.0,SOLID WASTE TSFR STN,0,7.0,3300.0,2.0,24v31,20.0,0,42025
1781 MADISON AVENUE,10035.0,L026,2025-03-14T00:00:00.000,,N,R7-2,252000,,0.0,9.0,COMMUNITY GARDEN,0,9.0,2000.0,0.0,24v31,91.0,0,0
2 AVENUE,10128.0,L043,2025-03-14T00:00:00.000,,N,C2-8,5634000,,0.0,5.0,PARK,0,9.0,3300.0,0.0,24v31,216.0,0,0
220 LENOX AVENUE,10027.0,L014,2025-03-14T00:00:00.000,,N,R7-2,598950,,70.0,9.0,IN USE-RES STRUCTURE;FINAL COMMITMNT-DISP,0,2.0,1500.0,4.0,24v31,100.0,0,0
426 GRAND STREET,10002.0,L018,2025-03-14T00:00:00.000,,N,R8,1450800,,0.0,1.0,NO USE-VACANT LAND;FINAL COMMITMNT-DISP,0,10.0,7400.0,0.0,24v31,90.0,0,0
480 WEST 22 STREET,10011.0,E003,2025-03-14T00:00:00.000,,N,PARK,2181150,,0.0,3.0,PARK,0,9.0,5600.0,0.0,24v31,100.25,0,0
F D R DRIVE,,,2025-03-14T00:00:00.000,,Y,R7-2,685350,,0.0,8.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,11.0,,0.0,24v31,207.0,0,0
6 AVENUE,10014.0,L020,2025-03-14T00:00:00.000,,Y,PARK,640800,,0.0,1.0,PLAYGROUND,0,9.0,6800.0,0.0,24v31,52.67,0,0
MADISON STREET,10038.0,E009,2025-03-14T00:00:00.000,,Y,PARK,1690200,,0.0,1.0,PLAYGRND/SPORTS AREA;PLAYGROUND,0,9.0,7800.0,0.0,24v31,104.0,0,0
WEST 72 STREET,,,2025-03-14T00:00:00.000,,Y,PARK,3766950,,0.0,6.0,PARK,0,7.0,,0.0,24v31,608.75,0,0
GREENWICH STREET,10013.0,L010,2025-03-14T00:00:00.000,,N,C6-4,12922200,,0.0,1.0,PARK,0,9.0,7700.0,0.0,24v31,0.0,0,0
728 11 AVENUE,10019.0,E040,2025-03-14T00:00:00.000,,Y,R8A,5198850,,100.0,3.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT,0,8.0,4500.0,1.0,24v31,200.0,0,18019
3 AVENUE,10003.0,E033,2025-03-14T00:00:00.000,,Y,PARK,484200,,0.0,2.0,OTH WATER SUPPLY FAC;PARK,0,9.0,6200.0,0.0,24v31,65.0,0,0
1650 LEXINGTON AVENUE,10029.0,E053,2025-03-14T00:00:00.000,,N,R7D,1062450,,0.0,8.0,PLAYGRND/SPORTS AREA,0,11.0,2810.0,0.0,24v31,55.0,0,0
417 EAST 37 STREET,10016.0,E021,2025-03-14T00:00:00.000,,Y,C1-9,0,,115.0,4.0,INDOOR MAINT/STORAGE,0,10.0,5000.0,2.0,24v31,115.08,34000,34000
WEST 138 STREET,10037.0,E059,2025-03-14T00:00:00.000,,N,R7-2,41850,,0.0,9.0,PLAYGROUND,0,9.0,1300.0,0.0,24v31,97.25,0,0
80 MAIDEN LANE,10005.0,E004,2025-03-14T00:00:00.000,,Y,C5-5,0,,131.0,1.0,BOROUGH OFFICE;OFC LEASED BY EDUC;OFFICE,0,5.0,7700.0,26.0,24v31,103.75,0,527605
BROADWAY,10023.0,L035,2025-03-14T00:00:00.000,,Y,PARK,3840750,,0.0,6.0,PARK,0,9.0,4000.0,0.0,24v31,93.25,0,0
WEST 72 STREET,10069.0,L035,2025-03-14T00:00:00.000,,Y,R10,900,,0.0,6.0,ROAD/HIGHWAY,0,11.0,3900.0,0.0,24v31,453.0,0,0
1 PIER 6,10004.0,L015,2025-03-14T00:00:00.000,,Y,C4-6,17105400,,551.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT,0,7.0,7700.0,2.0,24v31,551.0,0,24346
MARGINAL STREET,,,2025-03-14T00:00:00.000,,N,C4-6,820800,,75.0,1.0,NO USE-NON RES STRC;TRANSIT SUBSTATION,0,7.0,,1.0,24v31,564.56,0,7500
153 EAST 67 STREET,10065.0,E039,2025-03-14T00:00:00.000,,N,R8B,5169150,,68.0,4.0,POLICE STATION,0,8.0,4100.0,5.0,24v31,100.42,0,24326
250 WEST 18 STREET,10011.0,L012,2025-03-14T00:00:00.000,,N,C6-2A,4528350,1987.0,91.0,3.0,ACADEMIC HIGH SCHOOL,0,8.0,5600.0,5.0,24v31,92.0,0,39990
12 AVENUE,,,2025-03-14T00:00:00.000,,Y,PARK,12273750,,0.0,6.0,PARK,0,7.0,,0.0,24v31,180.0,0,0
HENRY STREET,10002.0,E009,2025-03-14T00:00:00.000,,Y,C6-1G,1755,,0.0,1.0,ROAD/HIGHWAY,0,11.0,7800.0,0.0,24v31,3.37,0,0
77 WEST 124 STREET,10027.0,L014,2025-03-14T00:00:00.000,,N,C4-4A,436050,,0.0,9.0,COMMUNITY GARDEN,0,9.0,1500.0,0.0,24v31,100.92,0,0
278 SPRING STREET,10013.0,L008,2025-03-14T00:00:00.000,,N,M1-6,1255950,,75.0,1.0,MUSEUM/GALLERY,0,8.0,6800.0,3.0,24v31,87.5,14901,14901
356 EAST 4 STREET,10009.0,E028,2025-03-14T00:00:00.000,,N,R8A,256050,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6700.0,0.0,24v31,88.08,0,0
514 WEST 38 STREET,10018.0,E034,2025-03-14T00:00:00.000,C2-8,Y,PARK,2098350,,197.0,3.0,NO USE,0,7.0,4500.0,1.0,24v31,197.5,14200,14200
740 BROADWAY,10003.0,E033,2025-03-14T00:00:00.000,,Y,M1-5/R9A,0,1979.0,75.0,2.0,ACADEMIC HIGH SCHOOL,0,5.0,5700.0,12.0,24v31,274.0,0,316832
142 GRAND STREET,10013.0,E055,2025-03-14T00:00:00.000,,N,M1-5/R7X,1430100,,0.0,1.0,MISCELLANEOUS USE;OTH WATER SUPPLY FAC;PARK,0,,6800.0,0.0,24v31,125.17,0,0
1840 1 AVENUE,10128.0,L043,2025-03-14T00:00:00.000,,Y,PARK,3665700,,20.0,8.0,PARK,0,9.0,3300.0,1.0,24v31,155.0,0,400
WEST 43 STREET,10036.0,E054,2025-03-14T00:00:00.000,,N,M2-3,8284950,,0.0,3.0,PARK,0,7.0,4500.0,0.0,24v31,775.0,0,0
742 10 AVENUE,10019.0,E054,2025-03-14T00:00:00.000,,N,R8,1483200,1982.0,90.0,3.0,BRANCH LIBRARY,0,8.0,4700.0,3.0,24v31,100.0,0,13240
AVENUE C,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,290250,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6300.0,0.0,24v31,83.0,0,0
317 EAST 19 STREET,10003.0,E005,2025-03-14T00:00:00.000,R8B,N,R7B,9203400,2012.0,184.0,2.0,ELEMENTARY SCHOOL,0,8.0,5900.0,5.0,24v31,184.0,0,93967
66 LEROY STREET,10014.0,E024,2025-03-14T00:00:00.000,,Y,C2-6,1318950,1965.0,112.33,3.0,BRANCH LIBRARY,0,8.0,6400.0,2.0,24v31,108.0,0,11943
FDR DRIVE,10075.0,E022,2025-03-14T00:00:00.000,,Y,R10A,189900,,0.0,5.0,NO USE-WFT (ANY AGY);FINAL COMMITMNT-DISP,0,7.0,4300.0,0.0,24v31,20.0,0,0
150 WEST 16 STREET,10011.0,L012,2025-03-14T00:00:00.000,,N,R8A,0,,0.0,3.0,TRANSIT SUBSTATION,0,7.0,5600.0,0.0,24v31,103.0,0,0
106 EAST 119 STREET,10035.0,E035,2025-03-14T00:00:00.000,,Y,R10,296550,,0.0,9.0,OUTDOOR PARKING,0,10.0,2000.0,0.0,24v31,76.25,0,0
19 ELIZABETH STREET,10013.0,E009,2025-03-14T00:00:00.000,,Y,C6-1G,640800,,62.0,1.0,POLICE STATION,0,8.0,7700.0,4.0,24v31,94.25,0,13414
60 GOLD STREET,10038.0,E006,2025-03-14T00:00:00.000,R8,Y,PARK,694800,,0.0,1.0,PARK,0,9.0,7700.0,0.0,24v31,76.01,0,0
95 MARGINAL STREET,10038.0,E006,2025-03-14T00:00:00.000,,N,C4-6,15759450,2019.0,0.0,1.0,NO USE-NON RES STRC;FINAL COMMITMNT-DISP,0,5.0,7700.0,3.0,24v31,105.4,0,59020
AVENUE D,10009.0,E028,2025-03-14T00:00:00.000,,N,R7-2,0,,0.0,2.0,OTHER SCHOOL;PLAYGROUND,0,9.0,7600.0,0.0,24v31,213.75,0,0
110 EAST 107 STREET,10029.0,E091,2025-03-14T00:00:00.000,,N,C8-4,0,,100.0,8.0,OFFICE,0,5.0,2500.0,4.0,24v31,100.92,23000,115000
AVENUE C,10009.0,L011,2025-03-14T00:00:00.000,,N,R7A,184050,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6300.0,0.0,24v31,58.0,0,0
1576 LEXINGTON AVENUE,10029.0,E053,2025-03-14T00:00:00.000,,N,R7-2,243000,,0.0,8.0,COMMUNITY GARDEN,0,9.0,2810.0,0.0,24v31,100.0,0,0
305 EAST 82 STREET,10028.0,E022,2025-03-14T00:00:00.000,,N,R8B,7217100,,102.0,5.0,ELEMENTARY SCHOOL,0,8.0,3700.0,5.0,24v31,102.17,0,85066
273 AVENUE OF THE AMER,10014.0,E024,2025-03-14T00:00:00.000,,Y,PARK,1296450,1985.0,30.0,3.0,PLAYGROUND,0,9.0,6400.0,2.0,24v31,150.0,0,1500
304 WEST 47 STREET,10036.0,E054,2025-03-14T00:00:00.000,,Y,C6-4,567000,,75.0,3.0,THEATER,0,5.0,4700.0,4.0,24v31,82.5,0,5500
MILLER HIGHWAY,10069.0,L035,2025-03-14T00:00:00.000,,Y,PARK,33907500,,0.0,6.0,PARK,0,9.0,3900.0,0.0,24v31,193.0,0,0
60 LINCOLN CENTER PLAZA,10023.0,L035,2025-03-14T00:00:00.000,,N,PARK,43109550,,97.0,6.0,RECREATIONL FACILITY,0,9.0,4000.0,1.0,24v31,200.0,0,58219
194 EAST 3 STREET,10009.0,E028,2025-03-14T00:00:00.000,,N,R8B,920700,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6600.0,0.0,24v31,105.92,0,0
1912 FIRST AVENUE,10029.0,L043,2025-03-14T00:00:00.000,,Y,R7-2,15039450,,165.0,8.0,,0,4.0,2600.0,16.0,24v31,215.6,0,0
66 EAST 3 STREET,10003.0,E028,2025-03-14T00:00:00.000,,N,R8B,1850400,,86.0,2.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;SHORT-TERM AGREEMENT,0,4.0,6500.0,6.0,24v31,101.17,0,2453
787 1 AVENUE,10017.0,E021,2025-03-14T00:00:00.000,,Y,C5-2,38480400,,172.0,4.0,,0,5.0,5000.0,39.0,24v31,174.83,0,378202
294 AVENUE OF THE AMER,10014.0,L009,2025-03-14T00:00:00.000,,Y,R7-2,295536,,0.0,2.0,PARK,0,9.0,5700.0,0.0,24v31,25.75,0,0
455 EAST 102 STREET,10029.0,L043,2025-03-14T00:00:00.000,,N,R7-2,9808650,,160.0,8.0,IN USE-TENANTED;FINAL COMMITMNT-DISP,0,4.0,2600.0,13.0,24v31,0.0,31185,31185
213 EAST 75 STREET,10021.0,E044,2025-03-14T00:00:00.000,,Y,R8B,32111550,,180.0,5.0,INTERMEDIATE SCHOOL,0,8.0,4200.0,4.0,24v31,204.33,0,234499
WEST 48 STREET,10036.0,E054,2025-03-14T00:00:00.000,,N,M2-3,35577450,1982.0,980.0,3.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;IN USE-TENANTED;FINAL COMMITMNT-DISP;S/T &amp; L/T AGREEMENTS,0,7.0,4500.0,2.0,24v31,1075.42,0,403125
184 AVENUE D,10009.0,L011,2025-03-14T00:00:00.000,,N,R7-2,0,,0.0,2.0,WASTEWATER PUMPING,0,7.0,6300.0,0.0,24v31,200.0,0,0
13 HENRY STREET,10002.0,E015,2025-03-14T00:00:00.000,,N,PARK,367650,,0.0,1.0,PLAYGROUND,0,9.0,7800.0,0.0,24v31,75.17,0,0
522 EAST 13 STREET,10009.0,L011,2025-03-14T00:00:00.000,,N,R8B,852300,,0.0,2.0,COMMUNITY GARDEN,0,9.0,6200.0,0.0,24v31,103.25,0,0
MARGINAL STREET,10037.0,E059,2025-03-14T00:00:00.000,,Y,PARK,0,,0.0,9.0,PARK,0,7.0,1700.0,0.0,24v31,43.0,0,0
14 READE STREET,10007.0,L001,2025-03-14T00:00:00.000,,Y,C6-4,5787450,1961.0,76.33,1.0,AGCY OFFICE;OFFICE,0,5.0,7700.0,7.0,24v31,78.17,0,71732
458 WEST 37 STREET,10018.0,L021,2025-03-14T00:00:00.000,,Y,C2-8,3722850,1992.0,83.0,3.0,IN USE-RES STRUCTURE;FINAL COMMITMNT-DISP,0,4.0,5500.0,5.0,24v31,98.9,0,5625
FDR DRIVE,10021.0,E044,2025-03-14T00:00:00.000,,Y,M3-2,181350,,0.0,5.0,NO USE-WFT (ANY AGY),0,7.0,4300.0,0.0,24v31,20.0,0,0
755 12TH AVENUE,10019.0,E040,2025-03-14T00:00:00.000,,Y,M2-3,24321201,,0.0,3.0,LONG-TERM AGREEMENT;FINAL COMMITMNT-DISP;S/T &amp; L/T AGREEMENTS;NO USE,0,7.0,4500.0,0.0,24v31,262.61,0,75562
85 EAST BROADWAY,10002.0,E009,2025-03-14T00:00:00.000,,Y,C6-1G,1350,,0.0,1.0,ROAD/HIGHWAY,0,11.0,7800.0,0.0,24v31,18.42,0,0
220 WEST 37 STREET,10018.0,E026,2025-03-14T00:00:00.000,,Y,M1-6,599850,,109.67,3.0,FIREHOUSE,0,8.0,5200.0,3.0,24v31,109.67,0,8175
6 EAST 3 STREET,10003.0,E028,2025-03-14T00:00:00.000,,Y,R8B,2655000,,59.0,2.0,TRANSL HSG - ADULT,0,8.0,6500.0,7.0,24v31,66.83,0,55000
206 WATER STREET,10038.0,E006,2025-03-14T00:00:00.000,,Y,C6-2A,591300,,0.0,1.0,IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;PUBLIC PLACE/PLAZA;FINAL COMMITMNT-DISP;PUBLIC PLACE/PLAZA;LONG-TERM AGREEMENT,0,9.0,7700.0,0.0,24v31,65.0,0,0
