project_id,project_name,ulurp_numbers,primary_applicant,ceqr_type,completed_date,current_milestone,cc_district,mih_flag,dcp_visibility,current_envmilestone,noticed_date,community_district
P1985K0076,DISPOSITION OF CITY-OWNED PROPERTY,C850085PPK,DRP,,1985-01-10T00:00:00.000,,,,General Public,,,K05
P1977M0451,,,"SHAPIRO, SHAEL",,1978-02-17T00:00:00.000,,,,General Public,,,M01
P1977Q0310,,,HDA,,1979-03-19T00:00:00.000,,,,General Public,,,Q12
2021R0144,58 Buttonwood Road,N210464ZAR; N210465ZAR,Philip Rampulla,Type II,2022-04-19T00:00:00.000,ZA - Project Completed,,False,General Public,,,R02
2020K0368,1100 Myrtle Avenue FRESH,N210210ZCK; N210077LDK,SWDM Myrtle LLC,Type II,2021-12-01T00:00:00.000,ZC - Project Completed,36.0,False,General Public,,,K03
P1984Y1201,948E 92ND STREET,,ARNOLD LAZAROFF BY DOMINICK SALVATI,,,,,,General Public,,,
2021Q0106,Innovation QNS Rezoning and LSGD,C220364ZMQ; C220365ZSQ; C220366ZSQ; C220368ZSQ; C220369ZSQ; C220371ZSQ; C220373ZSQ; C220374ZSQ; N220375LDQ,Kaufman BedRock Astoria I LLC,Type I,,EIS - Final Letter Sent,,True,General Public,EIS - DEIS Public Hearing Held,2021-12-02T00:00:00.000,Q01
P1977R0033,"POILLON AVE,HYLAN BLVD",A760037ZLR,"DEL PESCE, PETER",,1978-11-24T00:00:00.000,,,,General Public,,,R03
2019M0460,817 Broadway Building,190530HIM,LPC,,2019-09-30T00:00:00.000,HI - Project Completed,,False,General Public,,,M02
P1977Q0342,HONEYWELL FARMS,C770212HDQ; C770213HLQ,OFFICE OF ECONOMIC DEVELOPMENT,,1977-10-06T00:00:00.000,,,,General Public,,,Q12
2020M0404,Tortaria,N200268ECM,Tortaria Tortaria,,2020-02-27T00:00:00.000,EC - Project Completed,,False,General Public,,,M02
2019M0466,836 Broadway Building,N190525HIM,NYC LPC,,2019-09-30T00:00:00.000,HK - Project Completed,,False,General Public,,,M02
P1985K1196,RICHARD KING FUNERAL ESTABLISHMENT,,SALVATI,,,,,,General Public,,,
P1985K1203,ELAINE POWERS FIGURE SALLON,,LOBL\BECKER & LOBEEL,,,,,,General Public,,,
P1985K0276,119 NORTH 5TH ST,C850293PPK,DRP,,1985-04-18T00:00:00.000,,,,General Public,,,K01
P1984Y1235,,,Unknown,,,,,,General Public,,,
2020R0110,SS 34 Woodvale Avenue,N200006RCR,Ronald D'Angelo,Type II,2019-08-20T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1985M0010,GORHAM MANUFACTURING CO BLDG,N850011HKM,LPC,,1984-08-16T00:00:00.000,,,,General Public,,,M05
2020M0305,712 Fifth Avenue,M860200EZSM; M210198LDM,Meenakshi Srinivasan,Type II,2021-04-30T00:00:00.000,ZS - Project Completed,4.0,False,General Public,,,M05
P1977M0026,THE GALLERIA,N760030ZSM,ROSENMAN ETC FOR MADISON CO,,1976-08-13T00:00:00.000,,,,General Public,,,M05
2020R0372,SD 243 Robinson Avenue,N200241RCR,SFI Group LLC,Type II,2020-10-07T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1977K0214,ALBEE SQ & FLEET ST,C770020HMK,MAYOR'S OFFICE OF DEVELOPMENT,,1977-04-21T00:00:00.000,,,,General Public,,,K02
P1977M0379,,N770274ZRM,DCP/MANHATTAN OFFICE,,1977-08-18T00:00:00.000,,,,General Public,,,M08
2020K0445,1430 Fulton Street FRESH 2,,1428 Fulton St LLC,Type II,2022-01-12T00:00:00.000,ZC - Project Completed,,False,General Public,,,K03
P1985K1234,TONY DABBAH RES,,WEINBERG,,,,,,General Public,,,
2022R0376,SS 436 Sinclair Avenue,N220348RCR,Mitchell Pacifico,Type II,2022-06-30T00:00:00.000,RC - Project Completed,,False,General Public,,,R03
P1977X0339,MOHEGAN-CROTONA APTS,C770229HDX,HDA,,1977-09-16T00:00:00.000,,,,General Public,,,X06
2020K0405,870 - 888 Atlantic Avenue Rezoning,C210335ZMK; N210336ZRK; C210260ZSK,Y & T Development LLC,Type I,2023-01-12T00:00:00.000,EAS - Project Completed,35.0,True,General Public,EAS - Review Filed EAS,2021-07-16T00:00:00.000,K08
2021R0146,91 & 95 Westentry Road,N240025ZAR,frank mcerlean,Type II,2024-04-10T00:00:00.000,ZA - Project Completed,,False,General Public,,,R02
