unique_squirrel_id,geocoded_column,tail_flags,eating,:@computed_region_sbqj_enih,highlight_fur_color,indifferent,x,chasing,approaches,location,y,date,above_ground_sighter,age,:@computed_region_92fq_4b7q,combination_of_primary_and,other_activities
22I-AM-1007-03,"{'type': 'Point', 'coordinates': [-73.9611696144784, 40.7816692895155]}",False,False,13,,True,-73.9611696144784,False,False,Above Ground,40.7816692895155,10072018,30,Adult,19,Gray+,
33E-AM-1014-12,"{'type': 'Point', 'coordinates': [-73.958317581802, 40.7916566683158]}",False,False,13,White,False,-73.958317581802,False,False,Above Ground,40.7916566683158,10142018,15,Adult,19,Gray+White,sleeping
6A-AM-1006-06,"{'type': 'Point', 'coordinates': [-73.978436117932, 40.7724769242403]}",False,False,13,"Cinnamon, White",False,-73.978436117932,False,False,Above Ground,40.7724769242403,10062018,15,Adult,19,"Gray+Cinnamon, White",
6F-PM-1008-04,"{'type': 'Point', 'coordinates': [-73.9734687538064, 40.7694308959222]}",False,False,13,White,False,-73.9734687538064,False,False,Ground Plane,40.7694308959222,10082018,FALSE,Adult,19,Cinnamon+White,
3D-PM-1010-10,"{'type': 'Point', 'coordinates': [-73.9777259022441, 40.7682059907903]}",False,False,13,White,False,-73.9777259022441,False,False,Ground Plane,40.7682059907903,10102018,FALSE,Adult,19,Gray+White,
9G-PM-1007-06,"{'type': 'Point', 'coordinates': [-73.971086588091, 40.7719703235178]}",False,True,13,,False,-73.971086588091,False,False,Ground Plane,40.7719703235178,10072018,FALSE,Adult,19,Gray+,
36I-PM-1007-13,"{'type': 'Point', 'coordinates': [-73.9528682507794, 40.7925807808307]}",False,True,13,Cinnamon,False,-73.9528682507794,False,True,Ground Plane,40.7925807808307,10072018,FALSE,Adult,19,Gray+Cinnamon,
22F-AM-1007-06,"{'type': 'Point', 'coordinates': [-73.9642288873015, 40.7820439983567]}",False,True,13,,False,-73.9642288873015,False,True,Ground Plane,40.7820439983567,10072018,FALSE,Adult,19,Cinnamon+,
36F-AM-1017-04,"{'type': 'Point', 'coordinates': [-73.9565035705619, 40.7937382705056]}",False,True,13,White,False,-73.9565035705619,False,True,Ground Plane,40.7937382705056,10172018,FALSE,Juvenile,19,Gray+White,
38E-AM-1010-09,"{'type': 'Point', 'coordinates': [-73.95621174551, 40.7951044378207]}",False,False,13,Cinnamon,True,-73.95621174551,False,False,Ground Plane,40.7951044378207,10102018,FALSE,Adult,19,Gray+Cinnamon,
37C-PM-1013-03,"{'type': 'Point', 'coordinates': [-73.9587401274261, 40.7960322222949]}",False,False,13,White,True,-73.9587401274261,False,False,,40.7960322222949,10132018,,Adult,19,Gray+White,
10A-AM-1006-04,"{'type': 'Point', 'coordinates': [-73.9761592532482, 40.7747213585387]}",False,False,13,,False,-73.9761592532482,False,False,Above Ground,40.7747213585387,10062018,10,Juvenile,19,Gray+,walking on branch
13H-PM-1010-05,"{'type': 'Point', 'coordinates': [-73.9677646187171, 40.7746492806333]}",False,False,13,,True,-73.9677646187171,False,False,Ground Plane,40.7746492806333,10102018,FALSE,Adult,19,Gray+,
