schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
12XAKQ,"785 Crotona Park North, Bronx NY 10460",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12XAKQFDPK
10XACM,"2465 Bathgate Avenue, Bronx NY 10458",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XACMFDPK
17K394,"188 Rochester Avenue, Brooklyn NY 11213",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17K394FDPK
10XAHM,"5401 Post Road, Bronx NY 10471",,,,Contact program for time,Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Bronx,10XAHMFDPK
24QBNS,"776 Fairview Avenue, Queens NY 11385",,,,,Contact program,,,,Queens,24QBNSFDPK
19K290,"135 Schenck Avenue, Brooklyn NY 11207",,,,,Outdoor (Onsite) Playspace,x,,,Brooklyn,19K290FDPK
15K676,"27 Huntington Street, Brooklyn NY 11231",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,15K676FDPK
17KBKY,"670 Parkside Avenue, Brooklyn NY 11226",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBKYFDPK
10XAPK,"2121 Washington Avenue, Bronx NY 10457",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XAPKFDPK
20K048,"6015 18th Avenue, Brooklyn NY 11204",,,,,Contact program,,,,Brooklyn,20K048FDPK
26QALM,"3803 Francis Lewis Boulevard, Queens NY 11358",,,,8am,Outdoor (Onsite) Playspace,,,,Queens,26QALMFDPK
07X001,"335 East 152nd Street, Bronx NY 10451",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X001FDPK
04MATB,"1724-26 Madison Avenue, Manhattan NY 10029",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,04MATBFDPK
21KBQH,"2170 McDonald Avenue, Brooklyn NY 11223",,,,,Contact program,,,,Brooklyn,Contact program to apply.
21KBBE,"2964 West 23rd Street, Brooklyn NY 11224",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,21KBBEFDPK
10X023,"2151 Washington Avenue, Bronx NY 10457",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10X023FDPK
15K261,"314 Pacific Street, Brooklyn NY 11201",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,15K261FDPK
20KCRV,"757 60th Street, Brooklyn NY 11220",,,,,Contact program,,Who Got Offers Last Year refers only to full-day applicants.,,Brooklyn,20KCRVFDPK
14KCII,"14 Hope Street, Brooklyn NY 11211",,May utilize flexible scheduling policy. Contact for more information.,,7:30am,Indoor/Outdoor (Offsite) Playspace,,,,Brooklyn,14KCIIFDPK
09XANU,"285 East 171st Street, Bronx NY 10457",,,,8am,Outdoor (Onsite) Playspace,,,,Bronx,09XANUFDPK
16KBNT,"2023 Pacific Street, Brooklyn NY 11233",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16KBNTFDPK
13KBLL,"44-60 Rockwell Place, Brooklyn NY 11201",,,,,Outdoor (Onsite) Playspace,,,,Brooklyn,13KBLLFDPK
17KAYS,"1950 Bedford Avenue, Brooklyn NY 11225",,,,,Outdoor (Offsite) Playspace,,,,Brooklyn,17KAYSFDPK
02M281,"425 East 35th Street, Manhattan NY 10016",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,02M281FDPK
09XAWX,"937 Teller Avenue, Bronx NY 10451",,,,,Outdoor (Offsite) Playspace,,,,Bronx,09XAWXFDPK
02MATL,"35 Division Street, Manhattan NY 10002",,,,8am,Outdoor (Onsite) Playspace,,,,Manhattan,02MATLFDPK
21KAOV,"1102 Avenue L, Brooklyn NY 11230",,,,,Contact program,,,,Brooklyn,Contact program to apply.
19KBJR,"370 New Lots Avenue, Brooklyn NY 11207",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBJRFDPK
15KBMQ,"55 Hanson Place, Brooklyn NY 11217",,,,7:30am,Outdoor (Offsite) Playspace,,,,Brooklyn,15KBMQFDPK
11XAZB,"1659 Zerega Avenue, Bronx NY 10462",,May utilize flexible scheduling policy. Contact for more information.,,Contact program for time,Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,11XAZBFDPK
21KALT,"129 Elmwood Avenue, Brooklyn NY 11230&",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21KALTFDPK
17K705,"443 Saint Marks Avenue, Brooklyn NY 11238",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,17K705FDPK
15KBMN,"298 Sixth Avenue, Brooklyn NY 11215",,,,8am,Indoor/Outdoor (Offsite) Playspace,,,x,Brooklyn,15KBMNFDPK
04MAGN,"314 East 110th Street, Manhattan NY 10029",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04MAGNFDPK
10X396,"1930 Andrews Avenue, Bronx NY 10453",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10X396FDPK
19K677,"605 Shepherd Avenue, Brooklyn NY 11208",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K677FDPK
21K238,"1633 East 8th Street, Brooklyn NY 11223",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K238FDPK
13K287,"50 Navy Street, Brooklyn NY 11201",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13K287FDPK
13KCEH,"50 monroe place, brooklyn ny 11201",,,,Contact program for time,Indoor/Outdoor (Offsite) Playspace,,,,Brooklyn,13KCEHFDPK
10XAUP,"695 East 182nd Street, Bronx NY 10457",,,,,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,10XAUPFDPK
14KBJI,"494 Marcy Avenue, Brooklyn NY 11206",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14KBJIFDPK
24QAFZ,"104-19 49th Avenue, Queens NY 11368",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Queens,24QAFZFDPK
18K135,"684 Linden Boulevard, Brooklyn NY 11203",,,x,,Outdoor (Onsite) Playspace,,,,Brooklyn,18K135FDPK
08X072,"2951 Dewey Avenue, Bronx NY 10465",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08X072FDPK
04MAWD,"345 East 101st Street, Manhattan NY 10029",,May utilize flexible scheduling policy. Contact for more information.,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAWDFDPK
09X199,"1449 Shakespeare Avenue, Bronx NY 10452",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X199FDPK
12XAKD,"1211 Croes Avenue, Bronx NY 10472#",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12XAKDFDPK
03M242,"134 West 122nd Street, Manhattan NY 10027",,,x,7:45am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03M242FDPK
13K003,"50 Jefferson Avenue, Brooklyn NY 11216",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13K003FDPK
08XASC,"575 Soundview Avenue, Bronx NY 10473",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08XASCFDPK
09X443,"1116 Sheridan Avenue, Bronx NY 10456",,,,,Contact program,x,,,Bronx,09X443FDPK
10XAYB,"75 West 190th Street, Bronx NY 10468",,,,7:30am,Outdoor (Offsite) Playspace,,,,Bronx,10XAYBFDPK
19KCJH,"2570 Pitkin Avenue, Brooklyn NY 11208",,,,7am,Outdoor (Onsite) Playspace,,,,Brooklyn,19KCJHFDPK
03MBBG,"15 Mt Morris Park West, Manhattan NY 10027",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,03MBBGFDPK
07XBBK,"565 Morris Avenue, Bronx NY 10451",,,,,Contact program,,,,Bronx,07XBBKFDPK
17KBVL,"1150 Carroll Street, Brooklyn NY 11225",,,,Contact program for time,Outdoor (Offsite) Playspace,,,,Brooklyn,17KBVLFDPK
07XAFP,"201 Saint Anns Avenue, Bronx NY 10454",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07XAFPFDPK
09X110,"580 Crotona Park South, Bronx NY 10456",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X110FDPK
21K209,"2609 East 7th Street, Brooklyn NY 11235",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K209FDPK
21KBAY,"2166 Coney Island Avenue, Brooklyn NY 11223",,,,Contact program,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,Contact program to apply.
07XATI,"416 Willis Avenue, Bronx NY 10454",,,,Contact program for time,Outdoor (Offsite) Playspace,,,,Bronx,07XATIFDPK
16K308,"616 Quincy Street, Brooklyn NY 11221",,,x,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K308FDPK
02M126,"80 Catherine Street, Manhattan NY 10038",,,x,,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,02M126FDPK
06M187,"349 Cabrini Boulevard, Manhattan NY 10040",,,,,Contact program,x,,,Manhattan,06M187FDPK
18K235,"525 Lenox Road, Brooklyn NY 11203",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,18K235FDPK
04M375,"141 East 111th Street, Manhattan NY 10029",,,x,7:40am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M375FDPK
14K084,2BSBN1,,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,14K084FDPK
16K026,"1014 Lafayette Avenue, Brooklyn NY 11221",,,x,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,16K026FDPK
10XATH,"2863 Webster Avenue, Bronx NY 10458",,,,,Contact program,,,,Bronx,10XATHFDPK
18KCJF,"8801 Glenwood Road, Brooklyn NY 11236",,,,7:05am,Outdoor (Offsite) Playspace,,,,Brooklyn,18KCJFFDPK
06MAXH,"612 West 187th Street, Manhattan NY 10033",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,06MAXHFDPK
02MAUU,"115 Chrystie Street, Manhattan NY 10002",,,,,Outdoor (Onsite) Playspace,,,x,Manhattan,02MAUUFDPK
15KBNA,"4616 4th Avenue, Brooklyn NY 11220",,,,7:30am,Outdoor (Offsite) Playspace,,,,Brooklyn,15KBNAFDPK
02MASL,"441 West 26th Street, Manhattan NY 10001",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,02MASLFDPK
20KCJK,"7524 14th Avenue, Brooklyn NY 11228",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,20KCJKFDPK
11X160,"4140 Hutchinson River Parkway East, Bronx NY 10475",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,11X160FDPK
15KBGI,"1257 38th Strdet, Brooklyn NY 11218",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,x,Brooklyn,15KBGIFDPK
17KBOI,"3316-18 Church Avenue, Brooklyn NY 11203",,,,7am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBOIFDPK
05MBFX,"300 W 145th Street, Manhattan NY 10039",,,,7am,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,05MBFXFDPK
02M042,"71 Hester Street, Manhattan NY 10002",x,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,02M042FDPK
09XARC,"1717 Fulton Avenue, Bronx NY 10457",,May utilize flexible scheduling policy. Contact for more information.,,,Outdoor (Offsite) Playspace,,,,Bronx,09XARCFDPK
10Z091,"3605 Sedgwick Avenue, Bronx NY 10463",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Bronx,10Z091FDPK
05MBCM,"23 West 124th Street, Manhattan NY 10027",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,05MBCMFDPK
21KAKI,"8401 23rd Avenue, Brooklyn NY 11214",,,,7:30am,Contact program,,,,Brooklyn,21KAKIFDPK
01MAZS,"100 Attorney Street, Manhattan NY 10002",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,01MAZSFDPK
15Z108,"219 25th Street, Brooklyn NY 11232",,,,7:40am,Indoor (Onsite) Playspace,,,,Brooklyn,15Z108FDPK
20Z013,"1668 46th Street, Brooklyn NY 11204",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,20Z013FDPK
03MASJ,"14-32 West 118th Street, Manhattan NY 10026",,May utilize flexible scheduling policy. Contact for more information.,,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,03MASJFDPK
03MACU,"535 West 121st Street, Manhattan NY 10027",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Manhattan,03MACUFDPK
10XAVS,"3220 Arlington Avenue, Bronx NY 10463",,,,7:30am,Outdoor (Onsite) Playspace,,,,Bronx,10XAVSFDPK
02MAUL,"199 Chambers Street, Manhattan NY 10013",,,,,Contact program,,,,Manhattan,Contact program to apply.
10XATD,"2010 Sedgwick, Bronx NY 10468",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,10XATDFDPK
09X042,"1537 Washington Avenue, Bronx NY 10457",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X042FDPK
04M057,"East 115th Street, Manhattan NY 10",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04M057FDPK
13KBNK,"262 Lexington Avenue, Brooklyn NY 11216",,,,,Contact program,,,,Brooklyn,Contact program to apply.
18KBOW,"141 East 40th Street, Brooklyn NY 11203",,,,7am,Outdoor (Onsite) Playspace,,,,Brooklyn,18KBOWFDPK
21KBCJ,"2901 Brighton 6th Street, Brooklyn NY 11235",,,,Contact program,Contact program,,,,Brooklyn,21KBCJFDPK
05MAZL,"2112 Madison Avenue, Manhattan NY 10037",,,,,Contact program,,,,Manhattan,05MAZLFDPK
15KCMN,"165 Prospect Park Southwest, Brooklyn NY 11218",,,,,Outdoor (Offsite) Playspace,,,,Brooklyn,15KCMNFDPK
20KBYQ,"5721 6th Avenue, Brooklyn NY 11220",,,,8am,Outdoor (Onsite) Playspace,,,,Brooklyn,20KBYQFDPK
