system_code,location_code,location_name,police_precinct,community_school_sup_name,grades_final_text,highschool_network_name,tier_2_support_location_name
20K609,K609,Urban Assembly School for Criminal Justice,66,,"06,07,08,09,10,11,12",HS Network 03 Superintendent Office,School Support Team 4- Affinity Group
17K316,K316,P.S. 316 Elijah Stroud,77,"ELLIS, CLARENCE","PK,0K,01,02,03,04,05",,School Support Team 2- Brooklyn South
02M234,M234,P.S. 234 Independence School,1,"CHUMNEY, DONALDA","0K,01,02,03,04,05",,School Support Team 4- Manhattan
01M188,M188,P.S. 188 The Island School,9,"CHAN, CARRY","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 3- Manhattan
84M358,M358,Success Academy Charter School - Hudson Yards,10,,"0K,01,02,03,04",,
16K498,K498,brooklyn high school for law and technology,81,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
15K821,K821,Sunset Park Prep,72,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
15K442,K442,M.S. 442 Carroll Gardens School for Innovation,72,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
13K605,K605,George Westinghouse Career and Technical Education,84,,"09,10,11,12",HS Network 05 Superintendent Office,School Support Team 1- Brooklyn North
75K371,K371,P.S. 371 - Lillian L. Rashkis,72,"LOUISSAINT, KETLER","09,10,11,12,SE",,Children First Network 754
02M041,M041,P.S. 041 Greenwich Village,6,"CHUMNEY, DONALDA","PK,0K,01,02,03,04,05",,School Support Team 3- Manhattan
17K334,K334,Middle School for Academic and Social Excellence,77,"ELLIS, CLARENCE","06,07,08",,
03M334,M334,The Anderson School,20,"LOUGHLIN, CHRISTINE","0K,01,02,03,04,05,06,07,08",,School Support Team 5- Manhattan
14K033,K033,JHS 033 Mark Hopkins,79,James Quail,"06,07,08",,
03M415,M415,Wadleigh Secondary School for the Performing & Vis#,28,,"06,07,08,09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
02M313,M313,"James Baldwin School, The: A School for Expedition",10,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 5- Affinity Group
18K598,K598,Middle School of Marketing and Legal Studies,67,"WILKINS, BEVERLY","06,07,08",,
23K298,K298,P.S. 298 Dr. Betty Shabazz,73,"PATE, MIATHERESA","0K,01,02,03,04,05",,School Support Team 7- Brooklyn North
02M217,M217,P.S./I.S. 217 Roosevelt Island,114,"CHUMNEY, DONALDA","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 4- Manhattan
19K174,K174,P.S. 174 Dumont,75,"STALLINGS-HARTE, JOYCE","PK,0K,01,02,03,04,05,06,07,08",,
06M132,M132,P.S. 132 Juan Pablo Duarte,34,"RAMIREZ, MANUEL","0K,01,02,03,04,05",,School Support Team 7- Manhattan
05M285,M285,Harlem Renaissance High School,25,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 2- Manhattan
84K386,K386,Invictus Preparatory Charter School,75,,"06,07,08",,
13K266,K266,M.S. K266 - Park Place Community Middle School,78,"SAMUELS, KAMAR","06,07,08",,School Support Team 3- Brooklyn North
16K898,K898,The Brooklyn Green School,77,"MARTIN, YOLANDA",,,School Support Team 4- Brooklyn North
23K518,K518,Kappa V (Knowledge and Power Preparatory Academy),73,"PATE, MIATHERESA","06,07,08",,School Support Team 7- Brooklyn North
16K636,K636,Young Scholars' Academy for Discovery and Explorat,79,"AMON, RAHESHA","0K,01,02,03,04,05",,
06M189,M189,P.S. 189,34,"RAMIREZ, MANUEL","PK,0K,01,02,03,04,05",,School Support Team 7- Manhattan
15K131,K131,P.S. 131 Brooklyn,66,"SKOP, ANITA","PK,0K,01,02,03,04,05",,School Support Team 5- Brooklyn North
20K186,K186,P.S. 186 Dr. Irving A Gladstone,62,"COSTANTINO, KARINA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn South
15K136,K136,I.S. 136 Charles O. Dewey,72,"SKOP, ANITA","06,07,08",,School Support Team 5- Brooklyn North
13K008,K008,P.S. 008 Robert Fulton,84,"SAMUELS, KAMAR","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn North
16K040,K040,P.S. 040 George W. Carver,81,"MARTIN, YOLANDA","PK,0K,01,02,03,04,05",,School Support Team 4- Brooklyn North
32K151,K151,P.S. 151 Lyndon B. Johnson,83,"GORSKI, SHEILA","PK,0K,01,02,03,04,05",,School Support Team 2- Brooklyn North
84K731,K731,Brooklyn Excelsior Charter School,81,,"0K,01,02,03,04,05,06,07,08",,
22K109,K109,P.S. 109,67,"BOVE, JULIA","0K,01,02,03,04,05,06,07,08",,School Support Team 6- Brooklyn South
13K439,K439,Brooklyn International High School,88,,"09,10,11,12",H.S. Network 12 Superintendent Office,School Support Team 4- Affinity Group
06M209,M209,Hamilton Grange Middle School,30,"RAMIREZ, MANUEL","06,07,08",,School Support Team 7- Manhattan
22K234,K234,J.H.S. 234 Arthur W. Cunningham,61,"BOVE, JULIA","06,07,08",,School Support Team 6- Brooklyn South
01M134,M134,@P.S. 134 Henrietta Szold,7,"CHAN, CARRY","PK,0K,01,02,03,04,05",,School Support Team 3- Manhattan
84K710,K710,Brownsville Collegiate Charter School,73,,"06,07,08",,
22K194,K194,P.S. 194 Raoul Wallenberg,61,"BOVE, JULIA","PK,0K,01,02,03,04,05",,School Support Team 6- Brooklyn South
