fax_number,program8,grade9swdapplicants9,eligibility6,code9,eligibility2,grade9swdfilledflag4,offer_rate10,grade9swdapplicantsperseat3,grade9gefilledflag10,offer_rate9,grade9swdfilledflag9,requirement1_6,program3,seats1specialized,grade9swdapplicantsperseat7,seats9ge3,admissionspriority35,requirement3_9,admissionspriority42,nta,requirement4_10,auditioninformation2,neighborhood,end_time,admissionspriority44,requirement2_9,addtl_info1,requirement2_10,auditioninformation5,geoeligibility,pct_stu_safe,offer_rate5,grade9swdapplicantsperseat2,requirement4_6,grade9gefilledflag1,requirement2_6,census_tract,state_code,admissionspriority31,seats1010,method3,boro,grade9swdapplicants10,method9,seats9swd1,requirement1_1,grade9swdapplicants8,prgdesc9,grade9swdapplicants7,primary_address_line_1,admissionspriority26,seats103,grade9swdapplicants1,eligibility1,eligibility7,appperseat5specialized,seats106,psal_sports_girls,auditioninformation3,auditioninformation1,offer_rate3
212-245-1291,,,,,,,,,,,,,,,,,,,,Lincoln Square                                                             ,,,Lincoln Square,3:20pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,0.94,,,,Y,,151,NY,,,,M,,,15.0,Attendance,,,,227-243 West 61st Street,,,157.0,,,,,,,,
212-586-4205,,,,,,,,,,,,,,,,,,,,Clinton                                                                    ,,,Clinton,2:50pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Uniform; Weekend Programs,,,,0.77,,,,Y,,135,NY,,,,M,,,18.0,,,,,525 West 50th Street,,,383.0,,,,,"Basketball, Volleyball",,,
212-694-6053,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,Central Harlem North-Polo Grounds                                          ,,,Central Harlem North,3:07pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships,,,,0.78,,N/A - continuing program,,N,,22102,NY,,,,M,,,22.0,Writing Exercise (on-site),,,,6 Edgecombe Avenue,,,102.0,Open only to Male-Identified students,,,,"Basketball, Volleyball",,,
917-326-6688,,,,,,,,,,,,,,,,,,,,Gramercy                                                                   ,,,Gramercy,2:30pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Orientation,,,,0.92,,,,N,,64,NY,,,,M,,,12.0,Attendance,,,,223 East 23rd Street,,,101.0,,,,,,,,
718-286-3501,,,,,,,-92% of offers went to this group,,,-92% of offers went to this group,,,,,,,,,,Forest Hills                                                               ,,,Forest Hills,3:20pm,,,College Trips; Dress Code; Extended Day Program; Online Grading System; Student Parent Orientation; Summer Bridge Program; Uniform,,,,0.9,-92% of offers went to this group,,,Y,,645,NY,Then to New York City residents,,,Q,,,18.0,,,,,91-30 Metropolitan Avenue,,,344.0,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,-92% of offers went to this group
718-563-7362,,,,,,,,,,,,,,,,,,,,Belmont                                                                    ,,,Belmont,3:15pm,,,LYFE program; Uniform,,,,0.75,,12,,Y,,387,NY,,,,X,,,,,,,,500 East Fordham Road,,,,Open only to continuing eighth graders,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,
718-739-5137,Zoned,,,,,N,,8,,,,,"The Academy of Media, Arts and Music",,8,57,,,,Briarwood-Jamaica Hills                                                    ,,,Briarwood-Jamaica Hills,3:30pm,,,LYFE program,,"Select, study, memorize and perform a 1-3 minute monologue of drama or comedy. Applicants will also be interviewed and asked for a writing sample.",,0.91,,6,,Y,,448,NY,,,Screened,Q,,,17.0,,N/A - zoned program,,93,160-05 Highland Avenue,,Yes-10,190.0,,,,Yes-10,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,
718-423-9566,,,Open only to Queens students or residents,,Open only to Queens students or residents,Y,,13,,,,,Environmental Engineering & Technology,,N/A - zoned program,57,,,,Bayside-Bayside Hills                                                      ,,"Students may audition for the program by playing ANY instrument and/or singing a prepared musical selection in any style. Instrumentalists should also prepare three scales of their choice. Beginning students are encouraged to attend the audition for a musical aptitude test, as well as an interview.",Bayside-Bayside Hills,3:40pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships,,,Open only to Queens students/residents,0.79,,5,,Y,,1097,NY,,,Screened,Q,,,12.0,Attendance,,,N/A - zoned program,32-24 Corporal Kennedy Street,,No,193.0,Open only to Queens students or residents,,,No,"Basketball, Bowling, Cross Country, Flag Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,Students will complete a still drawing and design exercise. All students will be interviewed and should bring a portfolio.,
718-922-2761,,,,,,,,,,,,,,,,,,,,Brownsville                                                                ,,,Brownsville,3:38pm,,,,,,,0.85,,,,N,,924,NY,,,,K,,,19.0,,,,,226 Bristol Street,,,69.0,,,,,"Basketball, Volleyball",,,
212-488-3335,,,,,,,,,,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,Chelsea-Union Sq,3:30pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Student Parent Orientation; Summer Internships,,,,0.83,,,,Y,,89,NY,,,,M,,,20.0,,,,,351 West 18th Street,,,263.0,,,,,"Basketball, Bowling, Softball, Tennis, Volleyball",,,
718-875-1947,,,,,,,,,,,,,,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,DUMBO-Downtown Brooklyn,2:40pm,,,College Trips; Community Service Expected; Dress Code; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,,,,Y,,13,NY,,,,K,,,19.0,,,,,105 Tech Place,,,332.0,,,,,"Basketball, Handball, Volleyball",,,
