schooldbn,telephone,admissionsmethod_prog2,priority6_prog4,extendedday,selectioncriteria1_prog4,eligibility_prog4,census_tract,selectioncriteria1_prog5,geapps_prog2,totalstudents,name_prog5,selectioncriteria1_prog1,gefilled_prog5,prefnote_prog1,gefilled_prog6,priority3_prog4,swdfilled_prog2,swdappsperseat_prog1,gefilled_prog2,swdfilled_prog3,priority7_prog5,sharedbuilding,code_prog2,communityservice,selectioncriteria10_prog3,lowestpriority_prog1,longitude,selectioncriteria7_prog6,swdfilled_prog5,eligibility_prog5,priority6_prog2,swdseats_prog6,priority2_prog6,champsgirls,selectioncriteria4_prog6,selectioncriteria11_prog2
12X129,718-933-5976,,.,Yes,.,,371.0,.,,517,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,"Yes-12X129, 12X300, 12X316",,Yes—Offered,.,"Last year, this program admitted students from all priority groups.",-73.886184,.,.,.,.,.,.,Basketball League,.,.
06M319,212-923-3827,Open,.,Yes–After-School,,,249.0,.,231,418,,"English Language Learners (ELLs), Heritage Language Speakers of the target language, participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",.,.,.,.,Yes,3.0,No,,.,"Yes-06M319, 06M324, 84M068",M319U,No,.,"Last year, this program admitted students from all priority groups.",-73.936159,.,.,,.,.,.,,.,.
03M258,212-678-5888,,.,Yes–After-School,.,.,177.0,.,,223,.,4th Grade New York State ELA and Math Exams,.,,.,.,,4.0,,,.,Yes,,Yes–Offered,.,,-73.970802,.,.,.,.,.,.,,.,.
05M148,212-694-6001,,.,Yes,.,,22102.0,.,,318,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,7.0,,,.,"Yes-05M148, 05M302, 05M304",,Yes—50+ hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.947712,.,.,.,.,.,.,,.,.
09X323,718-293-9048,,.,Yes–After-School,,,175.0,.,,438,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,3.0,,,.,Yes,,No,.,"Last year, this program admitted students from all priority groups.",-73.914027,.,,,.,.,.,Basketball League,.,.
10X,718-563-7139,,.,Yes,,,387.0,.,,607,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,6.0,,,.,Yes,,No,.,"Last year, this program only admitted students from priority groups 1, 2, and 3.",-73.888267,.,,,.,.,.,,.,.
01M184,212-602-9700,,.,Yes–After-School,.,.,201.0,.,,684,.,4th Grade New York State ELA and Math Exams,.,"English Language Learners (ELLs), Heritage Language Speakers of the target language, Participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",.,.,,2.0,,,.,No,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.986542,.,.,.,.,.,.,,.,.
10X095,718-796-9200,,.,Yes,,,281.0,.,,1288,,,,,.,.,,,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.891256,.,,,.,.,.,,.,.
03M415,212-749-5800,,.,Yes–After-School,.,.,218.0,.,,278,.,4th Grade New York State ELA and Math Exams,.,,.,.,,8.0,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.954142,.,.,.,.,.,.,,.,.
03M243,212-799-1477,,.,No,.,.,169.0,.,,174,.,,.,,.,.,,,,,.,"Yes—03M009, 03M243",,No,.,,-73.97343,.,.,.,.,.,.,,.,.
27Q043,718-327-5860,,.,Yes–After-School,,,99802.0,.,,901,,,.,.,.,.,,,,,.,"Yes-27Q043, 75Q256",,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.76174,.,.,,.,.,.,,.,.
19K678,718-257-4061,,.,No,.,.,1164.0,.,,253,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,,.,.,,4.0,,,.,Yes,,Yes–10-30 hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.879614,.,.,.,.,.,.,,.,.
03M333,212-222-1450,,.,Yes,.,.,177.0,.,,753,.,4th Grade New York State ELA and Math Exams,.,,.,.,,5.0,,,.,Yes,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.970802,.,.,.,.,.,.,,.,.
10X118,718-584-2330,Screened,.,Yes,,,37504.0,.,549,1174,,4th Grade New York State ELA and Math Exams,,,.,.,No,2.0,Yes,,.,No,X118N,No,.,,-73.89308,.,,,.,.,.,,.,.
11X532,718-547-1890,,.,No,,,484.0,.,,300,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,6.0,,,.,Yes,,Yes–Offered,.,"Last year, this program admitted students from all priority groups.",-73.840524,.,,,.,.,.,,.,.
06M311,212-544-8021,,.,Yes,,,291.0,.,,395,,"English Language Learners (ELLs), Heritage Language Speakers of the target language, participants of elementary school-level Dual Language and Transitional Bilingual Education programs in the target language.",.,.,.,.,,3.0,,,.,"Yes-06M311, 06M314",,Yes–31-50 hours expected by graduation,.,"Last year, this program admitted students from all priority groups.",-73.923948,.,.,,.,.,.,,.,.
02M297,212-524-4380,Zoned,.,,.,.,69.0,.,,193,.,4th Grade New York State ELA and Math Exams,.,,.,.,,4.0,,,.,Yes,M297Z,Yes–Offered,.,,-74.007191,.,.,.,.,.,.,,.,.
27Q183,718-634-9459,,.,Yes–Before-School,,,94202.0,.,,525,,,.,.,.,.,,,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.805361,.,.,,.,.,.,,.,.
11X355,718-652-2060,,.,Yes,,,484.0,.,,339,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,2.0,,,.,Yes,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.840524,.,,,.,.,.,,.,.
08X375,718-542-5063,,.,Yes,.,.,4.0,.,,240,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,5.0,,,.,Yes,,Yes–Expected,.,"Last year, this program admitted students from all priority groups.",-73.85658,.,.,.,.,.,.,,.,.
03M860,212-865-9260,,.,Yes,.,.,218.0,.,,354,.,Final 4th Grade Report Card,.,,.,.,,2.0,,,.,Yes,,Yes–Expected,.,,-73.954142,.,.,.,.,.,.,Basketball League,.,.
10X331,718-583-4146,,.,Yes,,,217.0,.,,409,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,.,.,,6.0,,,.,Yes,,Yes–Expected,.,"Last year, this program only admitted students from priority groups 1 and 2.",-73.91118,.,,,.,.,.,"Basketball League, Volleyball League",.,.
25Q194,718-746-0818,,.,Yes,.,.,1029.0,.,,1241,.,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,2.0,,,.,No,,No,.,"Last year, this program admitted students from all priority groups.",-73.807838,.,.,.,.,.,.,Basketball League,.,.
