grade_2,grade_10
58,0
0,113
120,162
0,77
0,0
126,0
40,0
41,0
0,110
106,0
0,155
0,112
50,0
0,74
0,484
97,0
0,108
0,135
0,0
32,0
0,114
0,147
0,55
0,100
0,69
55,0
0,51
0,127
0,0
0,119
0,103
0,0
105,0
0,136
49,0
0,1
133,0
43,0
0,98
0,0
0,72
99,0
80,0
49,0
33,0
71,0
0,80
0,106
0,124
47,0
0,847
50,0
56,0
0,355
0,156
120,0
0,91
50,0
0,67
0,126
0,483
24,0
0,110
0,95
0,118
69,0
51,0
42,0
25,0
27,0
0,0
0,212
0,60
64,0
93,0
0,148
0,116
0,120
0,107
48,0
15,38
0,0
0,77
0,0
0,124
139,0
72,0
74,0
95,0
0,369
0,66
45,0
89,0
0,83
0,119
94,0
0,124
0,96
0,0
15,41
0,62
63,0
0,0
0,89
84,0
96,0
0,47
0,39
0,129
68,0
0,97
0,0
0,124
48,0
0,0
56,0
0,391
0,98
0,379
75,0
0,105
41,0
92,0
0,0
58,0
0,0
0,95
0,0
0,118
55,0
37,0
96,0
74,0
0,104
0,104
0,74
101,0
0,60
0,39
64,0
0,0
58,0
35,0
0,113
0,100
0,0
0,159
0,0
60,0
73,0
0,105
0,82
0,82
0,104
0,98
0,118
0,117
92,0
0,130
118,0
50,0
71,0
0,101
54,0
82,0
72,0
29,0
105,0
0,186
38,0
59,0
0,95
0,40
64,0
0,76
80,0
0,93
52,0
0,101
0,329
0,120
86,0
0,121
100,0
47,0
0,71
0,56
0,0
0,155
0,104
0,431
0,172
0,0
0,105
59,0
52,0
0,111
0,0
0,286
55,0
20,0
45,0
0,0
0,165
0,0
48,0
0,160
0,178
0,103
89,0
0,0
0,112
0,58
29,0
35,0
0,0
0,114
0,64
0,116
0,99
0,296
0,0
93,0
49,0
37,0
27,0
0,109
0,96
0,21
102,0
73,0
162,0
0,0
0,113
0,33
0,754
0,86
131,0
134,0
0,276
