multiple_race_categories_1,grade_5,economic_need_index,grade_k,total_enrollment,grade_6,multiple_race_categories,grade_11,school_name,asian_1
0.067,57,11.1%,50,551,64,37,0,The Anderson School,0.265
0.027,0,58.3%,0,446,0,12,118,N.Y.C. Museum School,0.339
0.083,114,28.4%,100,1806,153,150,140,"New Explorations into Science, Technology and Math",0.341
0.009,0,85.0%,0,324,0,3,67,"Urban Assembly Academy of Government and Law, The",0.059
0.062,0,32.2%,0,403,134,25,0,M.S. M245 The Computer School,0.077
0.052,99,14.0%,129,789,0,41,0,P.S. 003 Charrette School,0.071
0.013,37,88.2%,31,375,48,5,0,P.S. 007 Samuel Stern,0.032
0.029,49,29.2%,89,376,0,11,0,P.S. 452,0.13
0.018,0,87.5%,0,394,0,7,88,Life Sciences Secondary School,0.079
0.049,97,21.1%,118,714,0,35,0,P.S. 003 Charrette School,0.087
0.048,0,79.0%,0,499,0,24,84,Richard R. Green High School of Teaching,0.072
0.139,0,61.7%,0,432,0,60,131,Manhattan Village Academy,0.072
0.069,48,36.9%,46,318,0,22,0,The East Village Community School,0.101
0.0,0,85.3%,0,187,0,0,55,Cascades High School,0.027
0.022,0,75.5%,0,1825,0,40,461,High School for Health Professions and Human Servi,0.216
0.04,80,23.9%,99,742,58,30,0,P.S. 333 Manhattan School for Children,0.066
0.054,0,49.9%,0,460,0,25,110,Urban Assembly New York Harbor School,0.048
0.088,0,33.8%,0,546,33,48,95,Professional Performing Arts High School,0.048
0.029,0,84.7%,0,204,47,6,0,School for Global Leaders,0.083
0.007,55,Above 95%,24,407,48,3,0,P.S. 188 The Island School,0.015
0.039,0,61.5%,0,458,0,18,120,Academy for Software Engineering,0.092
0.002,0,75.3%,0,501,0,1,99,"High School for Law, Advocacy and Community Justic",0.022
0.034,0,84.6%,0,263,0,9,71,Murray Hill Academy,0.061
0.022,0,87.0%,0,356,0,8,97,"Urban Assembly School of Design and Construction,",0.051
0.019,0,74.2%,0,309,20,6,46,Wadleigh Secondary School for the Performing & Vis,0.01
0.011,63,68.0%,50,356,0,4,0,P.S. 001 Alfred E. Smith,0.607
0.032,0,85.0%,0,278,34,9,43,Wadleigh Secondary School for the Performing & Vis,0.007
0.067,0,38.6%,0,465,0,31,119,NYC iSchool,0.086
0.054,0,28.9%,0,1379,464,75,0,J.H.S. 167 Robert F. Wagner,0.182
0.08,0,32.5%,0,763,111,61,111,School of the Future High School,0.156
0.01,0,79.0%,0,402,0,4,98,High School for Dual Language and Asian Studies,0.91
0.057,37,45.1%,0,141,19,8,0,"Ballet Tech, NYC Public School for Dance",0.319
0.063,86,10.6%,114,631,0,40,0,P.S. 290 Manhattan New School,0.108
0.088,0,55.0%,0,523,0,46,132,Urban Assembly New York Harbor School,0.078
0.02,55,91.2%,48,353,0,7,0,P.S. 142 Amalia Castro,0.037
0.01,0,84.3%,0,298,0,3,1,Satellite Academy High School,0.003
0.09,141,38.0%,144,900,0,81,0,P.S. 011 William T. Harris,0.159
0.036,51,51.9%,59,393,0,14,0,P.S. 111 Adolph S. Ochs,0.181
0.066,0,38.0%,0,558,31,37,117,Professional Performing Arts High School,0.07
0.029,0,56.9%,0,374,128,11,0,Tompkins Square Middle School,0.265
0.01,0,86.8%,0,302,0,3,80,"Urban Assembly School of Design and Construction,",0.056
0.007,133,54.0%,117,810,0,6,0,P.S. 124 Yung Wing,0.947
