closed_date,cross_street_2,address_type,agency,police_precinct,city,bbl,incident_zip,council_district,resolution_action_updated_date,resolution_description,location_type,road_ramp,facility_type,bridge_highway_direction,descriptor_2
2022-04-16T13:10:15.000,JOSE A PEREZ WAY,ADDRESS,DSNY,Precinct 78,BROOKLYN,3010810025.0,11215.0,39.0,2022-04-16T08:49:26.000,The Department of Sanitation investigated this complaint and found no condition at the location.,Street,,,,Street or Sidewalk
2022-04-14T14:40:49.000,BROADWAY,ADDRESS,NYPD,Precinct 33,NEW YORK,1021160001.0,10032.0,7.0,2022-04-14T14:40:41.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-14T23:07:29.000,LACOMBE AVENUE,ADDRESS,NYPD,Precinct 43,BRONX,2035070054.0,10473.0,18.0,2022-04-14T23:07:33.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-29T11:55:12.000,WEST CASWELL AVENUE,ADDRESS,DOT,Precinct 121,STATEN ISLAND,5014970007.0,10314.0,50.0,2022-04-29T11:54:36.000,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,Sidewalk,,,,Dismiss Violation Owner Fixed
2022-04-14T12:26:31.000,WEST   56 STREET,ADDRESS,TLC,Precinct 18,NEW YORK,1010080029.0,10019.0,4.0,2022-04-14T12:26:35.000,See notes for information.,Taxi,,,,Backpack
2022-04-14T15:10:03.000,BAYRIDGE AVENUE,INTERSECTION,DOT,Precinct 68,,,11220.0,43.0,2022-04-14T15:09:58.000,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,Street,,,,
2022-04-15T11:00:00.000,QUINCY AVE,ADDRESS,DEP,Precinct 45,BRONX,2055920062.0,10465.0,13.0,2022-04-15T11:00:00.000,The Department of Environmental Protection scheduled an inspection.,,,,,CIN
2022-04-14T21:46:03.000,74 STREET,ADDRESS,NYPD,Precinct 104,ELMHURST,4028030023.0,11373.0,30.0,2022-04-14T21:46:02.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2023-06-09T11:34:32.000,PRINCE STREET,UNRECOGNIZED,EDC,Precinct 1,NEW YORK,1005030030.0,10012.0,3.0,2023-06-09T11:34:38.000,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",Above Address,,,,Hovering
2022-04-15T13:17:03.000,TILLOTSON AVENUE,ADDRESS,NYPD,Precinct 47,BRONX,2052280010.0,10475.0,12.0,2022-04-15T13:17:12.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-15T22:57:37.000,43 AVENUE,ADDRESS,NYPD,Precinct 108,SUNNYSIDE,,11104.0,26.0,2022-04-15T22:57:43.000,The Police Department responded to the complaint and took action to fix the condition.,Street/Sidewalk,,,,
2022/04/15 14:24,224 STREET,BLOCKFACE,DOT,Precinct 105,QUEENS,,11413.0,,2022-04-15T14:24:34.000,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,,,,
2022-04-16T13:41:28.000,,ADDRESS,DSNY,Precinct 123,STATEN ISLAND,5078630203.0,10307.0,51.0,2022-04-16T13:00:09.000,The Department of Sanitation collected the requested items.,Street,,,,
2022-05-09T06:07:33.000,,ADDRESS,HPD,Precinct 24,NEW YORK,1018380021.0,10025.0,7.0,2022-05-09T00:00:00.000,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",RESIDENTIAL BUILDING,,,,TERMITES
2022-04-16T15:59:47.000,NEPTON STREET,ADDRESS,DSNY,Precinct 113,SPRINGFIELD GARDENS,4127230076.0,11413.0,27.0,2022-04-16T15:59:28.000,The Department of Sanitation investigated this complaint and found no violation at the location.,Sidewalk,,,,
2022-04-20T12:15:42.000,11 AVENUE,ADDRESS,DOT,Precinct 68,BROOKLYN,3060390067.0,11228.0,43.0,2022-04-20T12:15:40.000,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",Street,,,,
2022-04-22T14:35:28.000,31 AVENUE,BLOCKFACE,DOT,Precinct 114,,,11103.0,,2022-04-22T14:35:11.000,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,Street,,,,
2022-04-27T15:43:27.000,,ADDRESS,HPD,Precinct 52,BRONX,2033230001.0,10458.0,11.0,2022-04-27T00:00:00.000,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,RESIDENTIAL BUILDING,,,,HOLE OR CRACKED
2022-04-14T21:07:22.000,BOSTON ROAD,ADDRESS,NYPD,Precinct 48,BRONX,2031300100.0,10460.0,15.0,2022-04-14T21:07:27.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Street/Sidewalk,,,,
2022-04-21T11:32:16.000,23 AVENUE,ADDRESS,DSNY,Precinct 62,BROOKLYN,3062650025.0,11214.0,44.0,2022-04-16T12:27:30.000,The Department of Sanitation collected the requested items.,Street,,,,
2022-04-16T00:30:37.000,WEST  204 STREET,ADDRESS,NYPD,Precinct 34,NEW YORK,1022210011.0,10034.0,10.0,2022-04-16T00:30:41.000,The Police Department reviewed your complaint and provided additional information below.,Residential Building/House,,,,
2022-04-15T22:50:01.000,HIGHBRIDGE PARK STAIRWAY,ADDRESS,NYPD,Precinct 44,BRONX,2025320015.0,10452.0,16.0,2022-04-15T22:50:09.000,The Police Department issued a summons in response to the complaint.,Street/Sidewalk,,,,
2022-04-15T00:00:00.000,,ADDRESS,DOB,Precinct 103,JAMAICA,4100280013.0,11435.0,28.0,2022-04-15T00:00:00.000,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,
2022-04-20T21:08:44.000,,ADDRESS,HPD,Precinct 6,NEW YORK,1006430064.0,10014.0,3.0,2022-04-20T00:00:00.000,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,RESIDENTIAL BUILDING,,,,NO WATER
