unique_key,created_date,closed_date,intersection_street_2,y_coordinate_state_plane,community_board,vehicle_type,:@computed_region_yeji_bk3q,longitude
53924139,2022-04-15T18:57:00.000,2022-04-16T11:01:00.000,,165520.0,11 BROOKLYN,,2.0,-73.99014802951955
53920684,2022-04-15T21:58:51.000,2022-06-13T09:35:42.000,,258952.0,12 BRONX,,5.0,-73.84864204035725
53918391,2022-04-14T22:31:18.000,2022-04-14T23:05:42.000,ROEBLING STREET,199738.0,01 BROOKLYN,,2.0,-73.95747763614305
53918234,2022-04-14T17:16:00.000,2022-04-14T19:20:00.000,65 STREET,161321.0,11 BROOKLYN,,2.0,-73.97418401065089
53920117,2022-04-14T16:24:36.000,2022-04-14T17:51:38.000,KINGSLAND AVENUE,202406.0,01 BROOKLYN,,2.0,-73.94122769784971
53915985,2022-04-14T10:55:19.000,2022-08-04T00:00:00.000,,192932.0,09 QUEENS,,3.0,-73.81334088030233
53922282,2022-04-15T09:10:45.000,2022-04-15T09:10:45.000,,220367.0,01 QUEENS,,3.0,-73.9340682422669
53923667,2022-04-15T23:14:30.000,2022-04-16T01:39:45.000,QUEENS BOULEVARD,206775.0,04 QUEENS,,3.0,-73.87537646435369
53923992,2022-04-16T00:09:02.000,2022-04-18T12:59:01.000,ST NICHOLAS AVENUE,249225.0,12 MANHATTAN,,4.0,-73.9315607041388
53920559,2022-04-15T23:04:11.000,2022-04-16T01:37:33.000,ST ANNS AVENUE,237773.0,01 BRONX,,5.0,-73.91076096387084
53921763,2022-04-15T20:40:07.000,2022-04-16T19:04:30.000,,254798.0,12 MANHATTAN,,4.0,-73.9194006525354
53924638,2022-04-15T17:31:52.000,2022-04-15T17:48:47.000,89 AVENUE,192200.0,09 QUEENS,,3.0,-73.84291312830916
53918327,2022-04-14T15:49:51.000,2022-04-14T20:36:05.000,WHITE PLAINS ROAD LINE,264470.0,12 BRONX,,5.0,-73.85957034955099
53919194,2022-04-14T14:50:59.000,2022-04-14T15:25:35.000,EAST   87 STREET,223235.0,08 MANHATTAN,,4.0,-73.95358016851387
53917640,2022-04-14T07:25:03.000,2022-05-24T06:54:39.000,LEXINGTON AVENUE,212845.0,05 MANHATTAN,,4.0,-73.97681806463653
53918904,2022-04-14T13:55:48.000,2022-05-23T10:12:51.000,EAST   10 STREET,205124.0,03 MANHATTAN,,4.0,-73.98688470530028
53931742,2022-04-16T12:00:29.000,2022-04-20T13:31:16.000,WEST  238 STREET,261004.0,08 BRONX,,5.0,-73.8965642687675
53917042,2022-04-14T04:55:04.000,2024-05-14T00:00:00.000,,204202.0,01 BROOKLYN,,2.0,-73.94379218969976
53920579,2022-04-15T21:25:48.000,2022-04-15T21:42:55.000,EAST  171 STREET,244429.0,03 BRONX,,5.0,-73.90340745804488
53918227,2022-04-14T14:52:00.000,2022-06-07T12:49:00.000,MAJOR DEEGAN EXPRESSWAY,253290.0,07 BRONX,,5.0,-73.91273918816697
53919806,2022-04-14T06:26:32.000,2022-04-14T06:28:45.000,WEST  195 STREET,255679.0,07 BRONX,,5.0,-73.89669547038399
53917993,2022-04-14T23:36:55.000,2022-04-15T00:39:53.000,BOND STREET,189446.0,02 BROOKLYN,,2.0,-73.98617923457171
53922095,2022-04-15T13:52:00.000,2022-04-19T13:07:00.000,,168582.0,18 BROOKLYN,,2.0,-73.92118874222751
53921927,2022-04-15T11:30:24.000,2025-05-13T15:44:43.000,EAST   72 STREET,219901.0,08 MANHATTAN,,4.0,-73.96232336565818
53921252,2022-04-15T11:03:00.000,2022/04/26 11:57,,154765.0,14 QUEENS,,3.0,-73.786164950848
53919429,2022-04-14T14:47:17.000,2022-04-14T20:35:29.000,WHITE PLAINS ROAD LINE,264470.0,12 BRONX,,5.0,-73.85957034955099
53919754,2022-04-14T09:03:15.000,2022/04/25 14:17,,192872.0,09 QUEENS,,3.0,-73.82043838910468
53923518,2022-04-15T16:02:57.000,2022/04/15 16:56,LOUIS RISPOLI WAY,210535.0,02 QUEENS,,3.0,-73.91385645803105
