program_name,agency_name,program_city
Family Life Medical Dev Prev. Svcs-Brownsville,SCO Family of Services,Kings
Brooklyn Preventive Services - General Preventive,Jewish Child Care Association,Brooklyn
Special Medical Prevention Program,Cardinal McCloskey ,Bronx
Family Treatment /Rehabilitation Program - Queens,Episcopal Community Services,Queens Village
School Based Preventive - Beacon/General - Queens,Southern Queens P.A.,Jamaica
Manhattan Preventive Services - GP ,Childrens Aid Society,New York
PS 55 Beacon Bronx Prevention Program,Graham Windham,Bronx
Beacon Ties - General Preventive - Manhattan,Graham Windham,New York
Children and Family Svcs.- S.I. Preventive,Sauti Yetu Center for African Women and Families,Richmond
Family Treatment Rehabilitation Pgm. -Far Rockaway,Safe Space,Far Rockaway
Family Treatment Rehabilitation Program,Saint Dominics Home,Bronx
jamaica family center-ft/r - queens,The Child Center of NY ,Queens
East Harlem Family Treatment/Rehabilitation,Cardinal McCloskey ,New York
Family Center - General Preventive - Bklyn,Church Avenue Merchants Block Association,Brooklyn
Brooklyn Family Treatment/Rehabilitation Pgm.,Graham Windham,Kings
Truancy Prevention - G.P. - Manhattan,"Harlem Childrens Zone,Inc.",New York
General Preventive Program (Queens),"Community Mediation Services,Inc.",Jamaica
Neighborhood Family Services Ctr.- G.P. - Bronx,Graham Windham,Bronx
Family Link-GP,Mental Health Association of NYC (MHA of NYC),Bronx
General Preventive,Coalition for Hispanic Family Services,Kings
Family Treatment/Rehabilitation (FT/R) Program,Lutheran Social Services of New York,New York
Jamaica Family Center General Preventive Program,The Child Center of NY ,Jamaica
Family Life Program I - General Preventive - Bronx,Dominican Sisters,Bronx
Far Rockaway Prevention Program - G.P. - Queens,Harlem Dowling Westside,Far Rockaway
Liberty Family Treatment/Rehabilitation Program,Safe Space,Ozone Park
NAC - Prevention Services Program - Manhattan,New Alternatives for Children,New York
Beacon Family Place - General Preventive - Bklyn,Cypress Hills L.D.C,Brooklyn
