prog_contact_phone_no,office_fri_to_time,office_sat_from_time,prog_contact_extension,bin,office_fri_from_time,office_thurs_to_time,community_board
6465848701,5:00 PM,,,1058640.0,9:00 AM,5:00 PM,10.0
7185265151,5:00 PM,,,4299557.0,9:00 AM,5:00 PM,14.0
7188751167,5:00 PM,,208.0,1060443.0,9:00 AM,5:00 PM,10.0
2122817000,5:00 PM,,203.0,1087286.0,9:00 AM,5:00 PM,10.0
7184015072,5:00 PM,,,2000873.0,9:00 AM,5:00 PM,1.0
7188280300,5:00 PM,9:00 AM,,2025973.0,9:00 AM,5:00 PM,9.0
7182301379,5:00 PM,,211.0,3053936.0,9:00 AM,5:00 PM,3.0
7185236868,5:00 PM,,242.0,4216197.0,9:00 AM,5:00 PM,12.0
7185420255,5:00 PM,9:00 AM,,2005787.0,9:00 AM,7:00 PM,2.0
7185265151,5:00 PM,,,,9:00 AM,5:00 PM,
2129871806,5:00 PM,9:00 AM,,1054626.0,9:00 AM,7:00 PM,11.0
7188840700,5:00 PM,,,2016330.0,9:00 AM,5:00 PM,7.0
7188032000,9:00 AM,,,,9:00 AM,9:00 AM,
7184976090,,,450.0,3076376.0,,,4.0
718297800000.00%,,,,4208872.0,,,12.0
8882748546,5:00 PM,,4761.0,3000000.0,9:00 AM,5:00 PM,16.0
6465323540,5:00 PM,,862.0,,9:00 AM,5:00 PM,
2123681622,5:00 PM,,218.0,1060726.0,9:00 AM,5:00 PM,10.0
7182630740,12:00 AM,8:00 AM,,4441126.0,8:00 AM,12:00 AM,6.0
6465848701,5:00 PM,,,1058640.0,9:00 AM,5:00 PM,10.0
7185070700,5:00 PM,,,4030014.0,9:00 AM,5:00 PM,3.0
2129874873,5:00 PM,,,1053183.0,9:00 AM,5:00 PM,10.0
7184221900,6:00 PM,,310.0,3398190.0,9:00 AM,8:00 PM,6.0
6464596099,5:00 PM,,,1054495.0,9:00 AM,5:00 PM,11.0
7187880666,,,,3022246.0,,,6.0
7182941715,5:00 PM,,152.0,,9:00 AM,5:00 PM,
7185846268,5:00 PM,,,2001229.0,9:00 AM,5:00 PM,3.0
