omppropid,descriptio,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype,nan with global_id,DOT with global_id,Other with global_id
QZ65,Greenstreet,27,NYCPARKS,Type 1,,,11375,2547.44674683,,S,,{9D936A60-C586-4FF4-BC9B-A8B5FC8098CA},
QZ90,Nathaniel Schneider Triangle,28,NYCPARKS,Type 1,,,11374,10666.0926514,,S,,{21D612FE-4C93-4F4F-BC97-4B83E5E4B992},
BZ443,Hillside Park-Greenstreet,52,NYCPARKS,,,,11201,1123.93093872,,S,{F3DB6AD9-EF38-4455-9799-7416824765E9},,
QZ142B,Flushing Meadows Park-Greenstreet,35,NYCPARKS,Type 2,,,11368,1747.13276672,,S,{3FF1B029-D966-4E2E-B23A-768FDC201093},,
MZ405,12th Av & 135 St,70,NYCPARKS,,,,10027,1597.71382141,,S,{3693075E-C4A3-4033-80D1-F9B5F8C6DBBA},,
QZ793,Greenstreet,23,NYCPARKS,,,,11694,3598.76873779,,S,,{EDBEBBD2-2529-4098-8B92-D3AB338F1E25},
QZ126,Joseph Caminetti Greenstreet,39,NYCPARKS,Type 1,,,11368,1626.94256592,,S,,{A7E0BE84-282C-4B29-BF87-0F481FA61378},
QZ591,Greenstreet,26,NYCPARKS,Type 1,,,11040,1134.07876587,,S,,{3BCB4BE6-FC30-4A95-A5DB-029A9DB3B7E9},
QZ669,Greenstreet,23,NYCPARKS,Type 1,,,11691,2617.98213196,,S,,{E2E2753F-6367-4F85-8D3E-5499DBB8214C},
QZ865,Union Tpke bet. Myrtle Ave & Woodhaven Blvd. (1),28,NYCPARKS,,,,11385,2317.10432434,,S,,{60067ECA-8505-414F-B5E0-30E96C3FAF05},
MZ53,Riverside Park-Greenstreet,70,NYCPARKS,Type 2,,,10031,1476.04325867,,S,,,{8DD3FC4A-9375-4007-AB22-CACA94736233}
XZ407,Olmsted Triangle,87,NYCPARKS,Type 1 Greenstreet,,,10462,29836.6232605,,S,{B9CEAA50-AF40-47C5-AFF4-300D3FBF84CD},,
QZ897,Midland Malls-Greenstreet,24,NYCPARKS,Type 1 Greenstreet,,,11432,510.813690186,,S,{1103A80F-3ADA-4BE2-BC94-9B3A7D607D34},,
QZ741,Greenstreet,39,NYCPARKS,,,,11368,1871.49200439,,S,,{6FBDD0C2-D85B-4548-B294-69169BABBDB2},
BZ398,Elijah Stroud Playground-Greenstreet,57,NYCPARKS,,,,11238,284.11781311,,S,{AE3C2CD6-EA23-4F1B-8C0D-F8433980474A},,
MZ58,Greenstreet,70,NYCPARKS,Type 1,,,10024,3534.02180481,,S,{F1A1FCDF-7755-49DE-8B6C-E578CCD0B4FA},,
XZ80,GREENSTREET,84,NYCPARKS,Type 1,,,10452,73.2013244629,,S,,{7B3C084C-E7DE-4E07-BC7C-CD3C32E62C7E},
QZ227,Greenstreet,37,NYCPARKS,Type 1,,,11101,339.639419556,,S,,{09EC6DCC-14AB-4419-B53F-31156FA611C0},
QZ278,Greenstreet,35,NYCPARKS,Type 2,,,11369,3885.43109131,,S,,{01D2F003-46E4-473A-8961-0B2B25B5D786},
QZ590,Greenstreet,26,NYCPARKS,Type 1,,,11040,910.661331177,,S,,{19EC24BF-7195-4AE2-BBE9-E5C7B924CCCD},
QZ970,Vernon Blvd & River Park,37,NYCPARKS,,,,11101,179.081954956,,S,,{254B3C7A-83EE-486A-8E18-CA3198388CD0},
MZ104,Greenstreet,68,NYCPARKS,Type 1,,,10025,2739.8253479,,S,{B6DD36D9-FC0F-4870-A518-2881CE1F487C},,
XZ387,Bronx Park-Greenstreet,87,NYCPARKS,Type 1,,,10462,1339.2303009,,S,{A665FE42-768E-4CAD-9F17-EB3CADF0DCAD},,
QZ14,Invictus Triangle,24,NYCPARKS,Type 1,,,11432,1120.4087677,,S,,{9C423E40-D848-46EE-B112-3885F3EB0B03},
QZ285,Greenstreet,"35, 39",NYCPARKS,Type 1,,,11368,3334.82867432,,S,,{D96FD567-04D7-47CF-8693-4221C77D300D},
QZ351,Greenstreet,26,NYCPARKS,Type 1,,,11359,630.554168701,,S,{3497D25F-EFC6-480D-BAA2-F6695F929056},,
MZ254,Greenstreet,75,NYCPARKS,Type 2 Greenstreet,,,10010,1076.20361328,,S,,{D654A974-A842-4F14-9D74-521F601F3947},
QZ423,Greenstreet,27,NYCPARKS,Type 1,,,11367,196.871505737,,S,,{1F91EFF3-C7EE-40C9-9DAA-F5BA72B952E4},
QZ677,Greenstreet,23,NYCPARKS,Type 2,,,11694,8484.43235779,,S,,{94F0F1C5-5E1F-4B95-8A72-882136CD7193},
QZ585,Greenstreet,33,NYCPARKS,Type 2,,,11426,1564.03460693,,S,,{7344DD7E-0989-48A0-AF74-478CF4EE43BD},
QZ920,Greenstreet,31,NYCPARKS,,,,11692,2221.17453003,,S,,{F8ACA547-DF7E-49B9-884F-1418A8D1F517},
BZ541,Pedestrian Refuge,51,NYCPARKS,,,,11231,446.097763062,,S,,{A4D40A3F-9DF3-43CB-94C8-CBDE294D116C},
QZ879,Greenstreet,25,NYCPARKS,,,,11366,2087.37065125,,S,,{61F84304-A44E-4CC5-A390-1D93E82B1750},
BZ542,Pedestrian Refuge,51,NYCPARKS,,,,11231,396.703094482,,S,,{168B4C33-8D3F-4A4B-9935-B8D375EE54A5},
QZ411,Greenstreet,25,NYCPARKS,Type 1,,,11365,1425.30796814,,S,,{58702A50-6327-46E0-8847-F9C41740ED28},
QZ605,Greenstreet,29,NYCPARKS,Type 2,,,11413,3907.43579102,,S,,{A00120F3-34FF-4EC3-BB06-799818518B8F},
