project_id,_3_br_units,total_units,census_tract,_5_br_units,project_name,borough,reporting_construction_type,middle_income_units,building_completion_date,extended_affordability_status
75173,,8,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
77145,,63,51.0,,37-42 30TH STREET,Queens,New Construction,19.0,,No
76898,,1,,,CONFIDENTIAL,Queens,New Construction,,2025-05-09T00:00:00.000,No
76097,30.0,98,17702.0,,CLAREMONT PARK APARTMENTS.YR15.FY25,Bronx,Preservation,,,No
76302,,25,420.0,,633 EAST 230 STREET,Bronx,New Construction,14.0,2025-04-17T00:00:00.000,No
75173,,14,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76408,,8,211.0,,1305 SHAKESPEARE AVENUE,Bronx,New Construction,7.0,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
76710,,50,1144.0,,180 PENNSYLVANIA AVE APARTMENTS,Brooklyn,New Construction,50.0,,No
76431,,36,78602.0,,1644 NEW YORK AVENUE,Brooklyn,New Construction,11.0,,No
77185,,34,1901.0,,THE TRIO APARTMENTS,Queens,New Construction,11.0,2024-08-27T00:00:00.000,No
75173,4.0,10,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
76132,,1,,,CONFIDENTIAL,Queens,New Construction,,2024-11-25T00:00:00.000,No
76150,,1,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
75643,,2,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
75729,2.0,4,143.0,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),Brooklyn,Preservation,,,No
75421,,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
65412,,4,1134.0,,NEW PENN DEVELOPMENT,Brooklyn,New Construction,,,No
