section,borough,census_tract,cross_street_on,block
Apt 26 I,Manhattan,149.0,,1118.0
Exterior Window Frames,Brooklyn,162.0,,6123.0
Apt S Line,Brooklyn,326.0,,7057.0
Elevator B Lobby,Bronx,90.0,,3537.0
Parapet,Queens,31.0,,398.0
Main Roof,Brooklyn,1192.0,,4209.0
ROOM 121,Brooklyn,28502.0,,1749.0
Exterior Facade - Elevations #2,Bronx,14701.0,,2901.0
,Queens,553.0,,3545.0
,Manhattan,1502.0,,65.0
,Queens,71701.0,,2092.0
Elevator A Lobby,Manhattan,151.0,,1154.0
Room 359,Bronx,117.0,,2763.0
,Manhattan,211.0,,1980.0
Apt 4B,Manhattan,211.0,,1980.0
Unit 05G,Queens,87.0,,490.0
EXT. BACKYARD WINDOWS,Manhattan,40.0,,465.0
Northeast Façade,Manhattan,219.0,,1984.0
Exterior Facade - South,Staten Island,8.0,,2847.0
North Elevation West Return,Queens,469.0,,1561.0
Apt 13 C&F Kitchen,Manhattan,164.0,,1649.0
Closets in Hallway,Brooklyn,199.0,,1962.0
Apartment # 11H,Bronx,51.0,,2324.0
MER,Manhattan,96.0,,1264.0
Southwest Elevation,Manhattan,136.0,,1576.0
Room 407,Manhattan,173.0,,1219.0
Entrance Canopy - Roof,Bronx,42.0,,3637.0
Boiler Room,Brooklyn,830.0,,4949.0
Elevator 2 Lobby,Bronx,23.0,,2298.0
West Wall AC shaft,Manhattan,102.0,,1287.0
Main House Chimney,Queens,489.0,,2444.0
Exterior Facade - Elevations #5 - 12,Brooklyn,906.0,,3489.0
Office 221,Queens,1017.0,,5734.0
Room #205,Queens,33.0,,412.0
Exterior Façade  Elevation #1 - 36,Brooklyn,982.0,,8158.0
Pump & Tank Room,Brooklyn,342.0,,7047.0
110 Chauncey St. - Apt. #6S -  Bathrooms,Brooklyn,297.0,,1691.0
Main area,Brooklyn,504.0,,5329.0
Stair Hall #56 151 Ten Eyck Walk APT. #3B Exterior Windows,Brooklyn,505.0,,3025.0
Left side of driveway,Brooklyn,302.0,,6876.0
Exterior Bulkhead Roof # 1 @ Metal Seam Roof,Brooklyn,924.0,,3542.0
Perimeter Radiators,Manhattan,94.0,,1277.0
Apt. 8M,Manhattan,181.0,,1851.0
,Queens,938.0,,16188.0
Elevator #2,Manhattan,121.0,,1033.0
Exterior Façade Elefation # 7,Manhattan,189.0,,1836.0
Apt. #3B - kitchen,Brooklyn,493.0,,3027.0
Room 155 (Boys Bathroom),Queens,1483.0,,8082.0
Roof 'B',Brooklyn,21.0,,6.0
Kitchen,Brooklyn,224.0,,5603.0
20C,Bronx,14701.0,,2894.0
Storage Room F9-2,Queens,1017.0,,4758.0
All Gender Bathroom,Manhattan,142.0,,1495.0
Classroom 4,Staten Island,24401.0,,7898.0
oom 219,Brooklyn,924.0,,3520.0
2K,Queens,44601.0,,9761.0
Auditorium Blower Room,Brooklyn,485.0,,3046.0
"Upper Level of Duplex 1223C,1224c,1225C,1226C,1227C,1228C,1229C,1230C,1231C",Brooklyn,342.0,,7053.0
T#/WSR,Bronx,173.0,,2422.0
Stair A& B,Manhattan,102.0,,1287.0
APT. #3B - Interior Windows,Brooklyn,493.0,,3026.0
Unit A - Kitchen,Brooklyn,1208.0,,4271.0
,Manhattan,137.0,,1008.0
South,Staten Island,122.0,,3633.0
Main Lobby,Brooklyn,445.0,,3212.0
Main - Bulkhead,Brooklyn,36.0,,5916.0
Room 332,Queens,33402.0,,12495.0
P E Elev,Manhattan,5.0,,1.0
facade Elevation #12,Brooklyn,342.0,,7048.0
apt 4e foyer,Staten Island,173.0,,706.0
East Facade,Manhattan,16002.0,,1603.0
Apt 1D Kitchen,Manhattan,192.0,,1808.0
apt 2 kitchen,Brooklyn,220.0,,5632.0
Apt 2H - Bathroom,Staten Island,13301.0,,196.0
main center,Queens,723.0,,3229.0
Corridor by Room 001,Queens,33402.0,,12495.0
Perimeter,Manhattan,14602.0,,1534.0
On 5 Avenue b/t East 15 & East 16,Manhattan,,5 Avenue,
,Brooklyn,159.0,,1059.0
MER,Manhattan,98.0,,1325.0
Crawlspace,Bronx,185.0,,2632.0
East Facing Elevation- Exterior Facade,Manhattan,62.0,,962.0
Apt 18H - Bedroom,Manhattan,66.0,,907.0
unit 10B,Manhattan,179.0,,1240.0
Apt 19B Kitchen,Bronx,23.0,,2311.0
Unit 13D - Bathroom,Brooklyn,319.0,,1283.0
,Queens,71701.0,,2091.0
P1 - Apt 12K - Bedroom - Riser #37,Manhattan,136.0,,1576.0
2A,Manhattan,104.0,,1270.0
Apt. 'G'  Hallway,Bronx,348.0,,4581.0
Front Facade,Manhattan,2602.0,,376.0
Perimeter,Manhattan,104.0,,1268.0
Apt. 21A - Bathroom 1 - Pipe Chase,Brooklyn,127.0,,394.0
Drop 16,Manhattan,137.0,,1028.0
Hallway,Brooklyn,273.0,,1674.0
Stair B hall,Queens,861.0,,5199.0
Room #213,Brooklyn,232.0,,5600.0
Room #516,Brooklyn,196.0,,5774.0
North East side,Manhattan,71.0,,606.0
Room 310B,Manhattan,203.0,,1973.0
Room 811,Manhattan,163.0,,1184.0
Shaft By Telephone Closet,Manhattan,102.0,,1287.0
Main Roof - North Parapet Wall,Manhattan,15002.0,,1502.0
Interior - Medical/Guidance Offices,Queens,1347.0,,7117.0
office,Manhattan,138.0,,1542.0
Apt. 3B. Kitchen,Manhattan,122.0,,1384.0
2H,Manhattan,104.0,,1270.0
Apt. 15J - Bathroom,Manhattan,219.0,,1984.0
Room # 154,Brooklyn,680.0,,7849.0
#east side - south north side,Bronx,409.0,,3247.0
North Elevation - Facade,Manhattan,94.0,,1279.0
"Exterior Facade Elevations #8,10,11,12,16,24&28",Bronx,51.0,,2325.0
Across from Room 220,Brooklyn,75.0,,437.0
Kitchen / Pantry,Brooklyn,794.0,,5104.0
Apt B,Manhattan,3002.0,,430.0
room bathroom chases,Manhattan,137.0,,1010.0
ROOM LB 3913,Brooklyn,22.0,,828.0
Bedroom,Bronx,413.0,,3313.0
"Apts A,B,C,D,E,F,G,H",Manhattan,192.0,,1808.0
"Room L, L2, L3 & M",Manhattan,88.0,,1315.0
Unit P - Living Room,Brooklyn,1208.0,,4271.0
!Courtyard East Elevation,Brooklyn,377.0,,1490.0
West Elevation,Bronx,409.0,,3247.0
Apt C,Manhattan,48.0,,923.0
Apartment 30H,Manhattan,149.0,,1116.0
North parapet wall,Manhattan,91.0,,799.0
Unit M - Bathroom,Brooklyn,1208.0,,4271.0
"South Elevation Quad C & D, Drop #4",Manhattan,7.0,,47.0
Elevator B Lobby,Manhattan,299.0,,2216.0
Parapet Wall,Bronx,225.0,,2832.0
,Queens,512.0,,10966.0
Corridor,Brooklyn,196.0,,5774.0
1st and 2nd floors -Walls and Ceilings,Staten Island,21.0,,536.0
Apt 4C Kitchen,Brooklyn,326.0,,7056.0
Southwest Corner,Manhattan,74.0,,860.0
"North, West",Manhattan,100.0,,1308.0
APT. #1C  CHASE WALL,Brooklyn,505.0,,3024.0
Parapet Walls,Bronx,63.0,,2350.0
Apt 11 Walk In Closet,Manhattan,140.0,,1508.0
,Manhattan,82.0,,869.0
Women's Bathroom,Queens,455.0,,1918.0
,Bronx,,,5135.0
APT 16C Kitchen,Brooklyn,326.0,,7056.0
Exterior Facade - Elevations #18 - 24,Brooklyn,906.0,,3489.0
IT Closet,Brooklyn,193.0,,1905.0
Apt. 12A Kitchen,Manhattan,161.0,,1127.0
Exterior Terrace,Manhattan,61.0,,569.0
Storage Room O15-6,Queens,99701.0,,5784.0
Apt 3C Kitchen,Brooklyn,326.0,,7056.0
Apt. 1B,Brooklyn,982.0,,8174.0
APT 9B Dining Room,Manhattan,130.0,,1389.0
Apt. 6D - Kitchen,Manhattan,224.0,,1933.0
Room 545,Manhattan,203.0,,1975.0
"Exterior Facade Elevations# 13,14,16",Brooklyn,2901.0,,2040.0
South Side,Manhattan,104.0,,1271.0
Exterior Facade,Bronx,69.0,,2416.0
Exterior Façade,Manhattan,137.0,,1008.0
boiler room,Brooklyn,484.0,,5399.0
West Exterior Facade,Manhattan,14801.0,,1514.0
Room 1006,Manhattan,205.0,,1989.0
Throughout Exterior,Brooklyn,23.0,,111.0
East Elevation,Bronx,29302.0,,5723.0
Room # 128,Manhattan,201.0,,269.0
Unit D - Living Room,Brooklyn,1208.0,,4271.0
Stair E,Brooklyn,196.0,,5774.0
Corridor by room 101,Bronx,222.0,,3948.0
Apt. 1K,Bronx,86.0,,3534.0
Bulkhead,Queens,,,246.0
Bulkhead,Bronx,44.0,,3723.0
3F,Bronx,20.0,,3551.0
Dentist' Office Door,Manhattan,132.0,,1473.0
Unit L - Bedroom,Brooklyn,1208.0,,4271.0
Exterior Facade - Elevations #1 - 8,Brooklyn,906.0,,3489.0
120 ERDMAN A-G,Bronx,,,5135.0
STAIRWELL A,Manhattan,48.0,,923.0
"Apt.07FL, Bedroom #1",Manhattan,128.0,,1405.0
R1,Manhattan,96.0,,1259.0
Exterior Façade Elevation #13,Brooklyn,233.0,,1938.0
Apartment #03C,Brooklyn,906.0,,3526.0
storage room,Queens,65501.0,,3071.0
Room #325,Manhattan,62.0,,962.0
South Elevation,Manhattan,81.0,,767.0
Twnk Room,Brooklyn,342.0,,7049.0
Roof Fan,Brooklyn,28502.0,,1749.0
Faculty Residence - Perimeter Area,Brooklyn,9.0,,255.0
Exterior Facade - Elevations #4,Bronx,14701.0,,2910.0
Room B02,Brooklyn,445.0,,3212.0
Elevator B Lobby,Bronx,374.0,,4629.0
4H closet-5,Manhattan,14402.0,,1585.0
,Bronx,218.0,,3917.0
"Exterior Facade, Elevations 1-22",Manhattan,151.0,,1154.0
rear area,Manhattan,88.0,,1316.0
Exterior Facade - Elevations #9 - 14,Brooklyn,906.0,,3489.0
,Manhattan,137.0,,1008.0
Corridor,Brooklyn,1208.0,,4271.0
,Bronx,46201.0,,5141.0
"s A,B,C,D,E,F,G,J,K,L,M",Brooklyn,326.0,,7015.0
corridor at mail room,Manhattan,109.0,,785.0
4F,Manhattan,104.0,,1270.0
Elevator 2 Lobby,Brooklyn,342.0,,7048.0
Exterior Facade Elevation# 12,Manhattan,25.0,,111.0
7E,Bronx,144.0,,5567.0
Rear bulkhead roof 1,Brooklyn,66.0,,5918.0
Rear Connector Entrance,Bronx,397.0,,3273.0
Apt. 12H - Bathroom 1,Brooklyn,127.0,,394.0
Classroom 2-5,Bronx,372.0,,4631.0
15B,Manhattan,6.0,,256.0
"Exterior Façade Elevations #1-4,6,8-14,16,18-20",Bronx,69.0,,2416.0
