source_of_complaint_inquiry,unable_to_contact_complainant,account_city
WEB-MAIL,True,
PHONE - OTHER,False,JAMAICA
WEB-MAIL,False,ISELIN
PHONE - OTHER,False,BROOKLYN
MAIL,False,nyc
PHONE - 6300,False,LYNDHURST
311/PHONE - 9278,False,
MAIL,False,NYC
PHONE - 6300,True,
WEB-MAIL,False,BRONX
PHONE - 6300,False,WOODSIDE
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
WEB-MAIL,False,
WEB-MAIL,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
E-Mail,False,BROOKLYN
PHONE - 6300,False,
MAIL,False,
PHONE - 6300,False,BROOKLYN
WEB-MAIL,False,BROOKLYN
E-Mail,False,BRONX
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
311/PHONE - 9278,False,BROOKLYN
MAIL,True,MOUNT VERNON
311/PHONE - 9278,True,BERKELEY HEIGHTS
EMAIL,False,HOLLIS
311/PHONE - 9278,False,
311/PHONE - 9278,False,
E-Mail,False,ISELIN
311/PHONE - 9278,False,NEWARK
311/PHONE - 9278,False,
PHONE - 6300,False,HOLLIS
PHONE - 6300,False,ELIZABETH
WEB-MAIL,False,
PHONE - 6300,False,
PHONE - 6300,False,
311/PHONE - 9278,False,
PHONE - OTHER,False,NEWARK
311/PHONE - 9278,False,
E-Mail,False,LONG ISLAND CITY
PHONE - 6300,False,
PHONE - 6300,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - OTHER,False,
311/PHONE - 9278,False,
PHONE - 6300,False,BETHPAGE
PHONE - 6300,False,
311/PHONE - 9278,False,bronx
PHONE - 6300,False,
WEB-MAIL,True,LIVINGSTON
311/PHONE - 9278,False,
WEB-MAIL,False,
PHONE - 6300,False,BROOKLYN
PHONE - 6300,False,PLAINVIEW
PHONE - 6300,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,LYNDHURST
311/PHONE - 9278,False,JAMAICA
311/PHONE - 9278,False,
WEB-MAIL,False,GLENDALE
311/PHONE - 9278,False,
PHONE - 6300,False,
MAIL,False,
PHONE - 6300,False,Bronx
FAX,False,
PHONE - 6300,False,BRONX
SELF-INITIATED,False,PLAINVIEW
311/PHONE - 9278,False,BRONX
WEB-MAIL,False,
311/PHONE - 9278,False,STATEN ISLAND
PHONE - 6300,False,JAMAICA
WEB-MAIL,False,STATEN ISLAND
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
WEB-MAIL,False,HOLLIS
WEB-MAIL,False,JAMAICA
PHONE - 6300,True,
PHONE - 6300,False,PLAINVIEW
PHONE - OTHER,False,LONG ISLAND CITY
WEB-MAIL,False,LITTLE NECK
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
WEB-MAIL,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
311/PHONE - 9278,False,WHITESTONE
WEB-MAIL,False,
EMAIL,False,
PHONE - 6300,False,LYNDHURST
PHONE - 6300,False,
311/PHONE - 9278,False,
MAIL,False,
PHONE - 6300,False,
PHONE - 6300,True,
311/PHONE - 9278,False,TEANECK
EMAIL,False,
MAIL,False,
PHONE - 6300,False,FLUSHING
PHONE - 6300,False,
311/PHONE - 9278,False,
WEB-MAIL,False,
PHONE - 6300,False,
MAIL,False,
311/PHONE - 9278,False,
INVESTIGATION,False,NEW YORK
311/PHONE - 9278,False,STATEN ISLAND
311/PHONE - 9278,False,
PHONE - 6300,False,
PHONE - 6300,False,BRONX
E-Mail,False,
WEB-MAIL,True,
WEB-MAIL,False,MASPETH
311/PHONE - 9278,False,ORANGEBURY
PHONE - 6300,False,BRONX
PHONE - 6300,False,BRONX
PHONE - 6300,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6275,False,
PHONE - 6300,False,
311/PHONE - 9278,False,TEANECK
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6300,False,BAYONNE
311/PHONE - 9278,False,
WEB-MAIL,False,
311/PHONE - 9278,False,BRONX
EMAIL,False,FLUSHING
PHONE - 6300,False,
PHONE - 6300,False,NEWARK
WEB-MAIL,False,
PHONE - 6300,False,
311/PHONE - 9278,False,BRONX
PHONE - 6300,False,
E-Mail,False,PLAINVIEW
311/PHONE - 9278,False,
WEB-MAIL,False,
WEB-MAIL,False,
FAX,False,
PHONE - 6300,False,JAMAICA
311/PHONE - 9278,False,
MAIL,False,
PHONE - 6300,True,BETHPAGE
PHONE - 6300,False,BROOKLYN
WEB-MAIL,True,New York
311/PHONE - 9278,False,
PHONE - 6300,True,MASPETH
PHONE - 6300,False,
PHONE - 6300,False,EAST HARTFORD
MAIL,False,nyc
PHONE - 6300,False,BETHPAGE
E-Mail,False,MASPETH
PHONE - 6300,False,WEST BABYLON
311/PHONE - 9278,False,
PHONE - 6300,False,TEANECK
PHONE - 6300,False,
E-Mail,False,MASPETH
311/PHONE - 9278,False,
PHONE - 6300,True,
WEB-MAIL,False,
311/PHONE - 9278,False,NEWARK
E-Mail,False,MIDDLE VILLAGE
PHONE - 6300,False,
PHONE - 6300,False,BRONX
PHONE - 6300,False,
WEB-MAIL,False,
311/PHONE - 9278,False,
311/PHONE - 9278,False,
PHONE - 6300,False,
