qrent,qschooltravelcode17,qstudenttravelcode05,qpackagedeliver,qbiketype2,qschooltravelcode15,qcarreducea9,qlanguagepref,qstudenttravelcode17,qworktravelcode06,gchild1_qchild1_ma,qnoelectric2,qworktravelcode20,qridehail2,qpostalstore,qtransportnosubway09,qtimework3,qworktravelcode16,qschooltravelcode19,qridehail7,qstudenttravelcode11,qcarincreasea5,qshare8,qbikewhynot4,qdisability4,qautovehiclefam,gcitibk1_qcitibikeissues2,qschooltransitfrom7,qnoelectric6,qschooltransitfrom1,qziphome,qcarhybrid5,qschool,qtransportnobus11,qstudenttravelcode08,qridehail8,qchild2schooladdr,qbikeride,qtimehome2,qschooltravelcode02,qchild1schooladdr,qnocitibike09,qtransportnobus08,qcaraccess,qchild3schooladdr,qworktravelcode02,qsubwayservice,qcarreducea1,qbikewhy6,qwelfare4,qtransportnobus01,qbikeown,qbikewhy2,qfreight_cmb7,qsmartphone,qschooltravelcode10,qbikewhynot1,qstudenttravelcode18,qnoelectric7,qcarincreasea3,gcarpark1_qcarpark2_ma,qschooltravelcode14,qtransportnobus04,qstudenttravelcode16,qcarhybrid6,qschooltravelcode20,qstudenttravelcode07,qworktravelcode23
Rent,,No,My doorstep,No,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Somewhat familiar,,,,,10301.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,I do not have access to a car,,No,Staying the same,,,No,,Yes,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,My doorman,,,,English,No,,,,,,,No,,,,,No,,No,Yes,No,Not very familiar,,,,,11375.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,,No,No,No,Somewhat familiar,,,,,10314.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,No,,No,Yes,,No,No,,,In a single family home garage or driveway,,,No,,,No,No
Own,,No,My lobby,,,,English,No,,,,,,,,,,,,No,,No,Yes,No,Not very familiar,,,,,11106.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,English,No,,,,,No,,,,,,No,No,,No,Yes,No,Not at all familiar,,,,,11234.0,,"No, I do not attend school",,No,No,,Never,,,,No,,Other,,,,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,
Rent,No,No,My doorstep,,No,,English,No,No,Yes,,No,,,,,No,No,,No,,No,Yes,No,Somewhat familiar,,,,,11377.0,,"No, I do not attend school",,No,,,Never,,No,Queens,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,No,No,No,,,,No,,No,,No,No,No
Rent,No,No,An alternative address (i.e. a family member or friend's),,No,,English,No,No,Yes,,No,No,3-5 blocks,Yes,,No,No,No,No,,No,Yes,No,Not at all familiar,,,,,10454.0,,"No, I do not attend school",No,No,No,The Bronx,Never,,No,The Bronx,No,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",The Bronx,Yes,Getting worse,,,No,No,No,,No,Yes,No,No,No,,,,No,No,No,,No,No,No
Rent,,No,A postal store,,,No,Espa�ol,No,,,,,,3-5 blocks,,,,,,No,,No,No,No,Not at all familiar,,,,,10451.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,No,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Own,No,No,My doorstep,No,No,,English,No,No,Yes,,No,No,,,,No,No,No,No,,No,,No,Not at all familiar,,,,,10312.0,,"No, I do not attend school",,No,No,Staten Island,Once a week or more,,No,Staten Island,No,,I personally own or lease a car,,No,Staying the same,,No,No,,Yes,No,Yes,Yes,No,,No,,,In a single family home garage or driveway,No,,No,,No,No,No
Own,,No,My lobby,,,,,No,No,,,No,,,,I only work in one place,No,,,No,,No,No,No,Not at all familiar,,,,,11230.0,,"No, I do not attend school",,No,,,Never,I only work in 1 place,,,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,No,No,,No,No,,,,,,No,,,No,No
