oid,address_street,state,bbl,languages_offered,creative_expression_ex_making,assistive_technology,wed_open,wheelchair_access_notes,zipcode,wifi_up
BPL001,"9 Adams Street (bewtween John and Plymouth), 11201, Brooklyn, New York, USA",NY,3000180001.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,Side entrance located on Ashford St.,11201.0,300.0
PARKS026,"1251 Prospect Place, 11213, Brooklyn, New York, USA",NY,3013530001.0,Interpreters available upon request,Y,Y,11am-6pm,,11213.0,23.8
NYPL035,"452, Bronx, New York, USA",NY,2025100027.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10452.0,1000.0
DFTAPCCREG397,"305 Seventh Avenue 15th Floor, 10001, Manhattan, New York, USA",NY,1008037502.0,Spanish,Y,N,12:00 PM - 8:00 PM,,10001.0,0.0
BPL003,"7223 Ridge Blvd. at 73rd St. , 11209, Brooklyn, New York, USA",NY,3059070001.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11209.0,100.0
DFTAPCCCAT754,"55 Pierrepont Street, 11201, Brooklyn, New York, USA",NY,3002367502.0,Russian,N,N,9:00 AM - 5:00 PM,"The wheel accessible entrance is on Love Lane, Brooklyn Heights NY 11201.",11201.0,6.2
BPL055,"5108 Fourth Avenue , 11220, Brooklyn, New York, USA",NY,3007987501.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11220.0,300.0
BPL033,"4207 18th Avenue , 11218, Brooklyn, New York, USA",NY,3054160014.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11218.0,100.0
NYPL046,"910 Morris Avenue, 10451, Bronx, New York, USA",NY,2024220001.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10451.0,200.0
DFTAPCCTHE856,"55 East 102nd Street , 10029, Manhattan, New York, USA",NY,1016080023.0,Spanish,N,N,9:00 AM - 5:00 PM,,10029.0,80.0
NYPL087,"2085 Honeywell Avenue, 10460, Bronx, New York, USA",NY,2031230061.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10460.0,1000.0
DYCDPCCMO410,"5365 Broadway, 10463, Bronx, New York, USA",NY,1022150623.0,,N,N,6:00 PM - 10:00 PM,,10463.0,0.0
DFTAPCCKIP243,"141 West 73rd Street, 10023, Manhattan, New York, USA",NY,1011450012.0,,N,,9:00 AM - 5:00 PM,,10023.0,7.0
DYCDPCCCH871,"885 Columbus Avenue, 10025, Manhattan, New York, USA",NY,1018360001.0,,N,,8:00 AM - 7:00 PM,,10025.0,0.0
DYCDPCCJA789,"10-25 41st avenue, 11101, queens, new york, usa",NY,4004700100.0,,N,,5:00 PM - 1:00 AM,,11101.0,0.0
DFTAPCCSER221,"221 West 143rd Street, 10030, Manhattan, New York, USA",NY,,Spanish,N,N,10:00 AM - 6:00 PM,Ramp entrance and front door entrance,10030.0,548.9
QPL046,"121-23 14th Avenue, 11356, Queens, New York, USA",NY,4040420113.0,All languages through Language Line,N,Y,10am - 6pm,,11356.0,24.4
