gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
IB871-1AB,4095140001.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,188995.3425,GCJA03-2B,80.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GQJA03-02,Combined,46
1111e,4116290020.0,No Tree,2020-06-29T00:00:00.000,Constructed,ROW,187527.6976,GCJA03-3A,65.0,ROWB,13.0,Right of Way (ROW),GQJA03-03,Combined,46
6004d,3047420001.0,Quercus velutina,2024-12-23T00:00:00.000,Constructed,ROW,175121.85,GKCI05-2A,114.0,ROWB,19.0,Right of Way (ROW),GKCI05-02,Combined,26
IB676-1B,4095190001.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,189463.68,GCJA03-2B,45.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQJA03-02,Combined,46
GS1376B,4111190001.0,No Tree,2020-09-16T00:00:00.000,Constructed,ROW,197584.52,,45.5,ROWGS,13.0,Right of Way (ROW),CSO-PLANYC,Combined,6
IB21003A,4046540027.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,224044.9138,GQTI03-23,81.0,ROW Infiltration Basin with Grass Top,18.0,Right of Way (ROW),GQTI03-01,Combined,20
87A,2041030029.0,No Tree,2021-05-03T00:00:00.000,Constructed,ROW,248001.7119,GXHP33-01,52.0,ROWB,13.0,Right of Way (ROW),GXHP33-01,Combined,12
BREV-07PPa,3016880001.0,,2022-12-22T00:00:00.000,Constructed,Onsite,187385.291,,2250.0,Porous Asphalt,0.0,Public Onsite,GKNC15-02-OS1,Combined,17
IB1418D,4111510029.0,No Tree,2020-08-09T00:00:00.000,Constructed,ROW,197743.76,,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),CSO-PLANYC,Combined,6
IB156A,4013900037.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,216460.57894,BB05-02-A,80.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GQBB05-05,Combined,21
FMG-1,4020180500.0,,2018-01-01T00:00:00.000,Constructed,Onsite,213125.64996,,11000.0,Green Roof,0.0,External,OTHER-DPR-GR,Non-combined,21
516E,2042640057.0,No Tree,2021-05-30T00:00:00.000,Constructed,ROW,248676.8817,GXHP07-03,52.0,ROWRG,13.0,Right of Way (ROW),GXHP07-03,Combined,12
IB1703B,3041550075.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,186484.419,53320022-05,78.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-05,Combined,37
AEM_1,2042050002.0,,2015-05-16T00:00:00.000,Constructed,Onsite,249884.0,,3000.0,Green Roof,0.0,Incentivized,GXHP12-01,Combined,12
2069A,4090820039.0,Syringa reticulata,2021-05-14T00:00:00.000,Constructed,ROW,187339.209,53320022-05,49.5,ROWB,11.0,Right of Way (ROW),GK26W5-05,Combined,41
840b,4091340063.0,Gleditsia triacanthos var. inermis,2021-05-06T00:00:00.000,Constructed,ROW,186210.42,53320022-03,44.0,ROWB,11.0,Right of Way (ROW),GK26W5-06,Combined,41
286A,4051340008.0,Zelkova serrata,2017-11-17T00:00:00.000,Constructed,ROW,214911.0434,GCTI11-01,65.0,ROWB,13.0,Right of Way (ROW),GQTI22-02,Combined,3
1238b,4061490001.0,No Tree,2021-06-24T00:00:00.000,Constructed,ROW,218620.12909,GCTI10-1A,85.5,ROWB,19.0,Right of Way (ROW),GQTI10-01,Combined,20
IB1013c,3042340012.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,185342.44,53320022-03,60.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GK26W5-06,Combined,25
