latitude,longitude,block,owner_s_business_name,protection_mechanical_methods_work_type_,mechanical_systems_work_type_,structural_work_type_,antenna,applicant_license,commmunity_board,sign,total_construction_floor_area,proposed_dwelling_units,filing_representative_middle_initial,owner_s_street_name,built_1_information_value,job_type,sprinkler_work_type,applicants_middle_initial
40.75676,-73.988648,1014,TISHMAN REAL ESTATE MANAGEMENT,0,0,0,0,66709,105.0,0,1550.0,0.0,,116 WEST 32ND STREET,,Alteration,1,
40.700661,-73.92967,3173,PR,0,0,0,0,37267,304.0,1,15.0,,,24 STONYWOOD DR,,Alteration,0,
40.848224,-73.897088,3043,PR,0,0,0,0,88825,206.0,0,272307.0,251.0,,29 BROADWAY,,Alteration,0,
40.761914,-73.978966,1006,PR,0,0,0,1,86064,105.0,0,0.0,1693.0,,1800 ROUTE 34,,Alteration,0,A
40.692184,-73.985753,148,KECHEK REALTY,0,0,0,0,58324,302.0,0,5100.0,0.0,J,246 WOODMERE BLVD,,Alteration,1,
40.821409,-73.862976,3641,NYC SCA,0,0,0,0,71379,209.0,0,77621.0,0.0,,30-30 THOMSON AVENUE,,Alteration,0,
40.637854,-73.960867,5204,Not Applicable,0,0,0,0,89068,314.0,0,,,,124-15 Metropolitan Ave,,Alteration,0,
40.722904,-74.000061,485,PCGA US LLC,0,0,0,0,37080,102.0,0,6783.0,9.0,,518 PUTNAM AVENUE,,Alteration,0,
40.79606,-73.949791,1614,5541-1274 FIFTH AVENUE MANHATTAN LL,0,0,0,0,88728,111.0,0,4871.0,69.0,,1266 RAHWAY AVENUE,,Alteration,0,
40.724013,-73.997987,4.98e+02,PRINCE TOWER TENANTS CORP,0,0,0,0,15015,102.0,0,1000.0,10.0,,545 WEST 45TH STREET,,Alteration,0,B
40.756306,-73.979704,1.26e+03,,0,0,0,0,25619,105.0,0,3186.0,0.0,,7 Harbour Lane,,Alteration,1,B
40.750448,-73.770997,7416,PR,0,0,0,0,96200,411.0,0,3587.0,1.0,K,141-07 20 AVE #109,Yes,Alteration,0,
40.815325,-73.928674,2341,ROCK GROUP NY CORP,0,0,0,0,17617,201.0,0,600.0,1.0,,9 Thurlow Terrace,,Alteration,0,
40.690746,-73.990992,271,CONSOLIDATED SCAFFOLD & BRIDGE CORP,0,0,0,0,88950,302.0,0,500.0,0.0,,183 MADISON AVENUE,,Alteration,0,
40.670068,-73.885006,4046,PR,0,0,0,0,24556,305.0,0,3928.8,4.0,,1400 AVENUE Z SUITE 302,,New Building,0,C
40.710219,-73.968532,2128,SPITZER ENTERPRISES,0,0,0,0,28236,301.0,0,1000.0,252.0,,139 FULTON ST. 810,,Alteration,0,J
40.67348,-73.930665,1361,ALPHA SCAFFOLDING INC,0,0,0,0,101262,308.0,0,650.0,23.0,,7407 13TH AVE 1ST FL.,,Alteration,0,
40.73736,-73.987298,874,PR,0,0,0,0,88730,105.0,0,27585.0,10.0,,58 WEST 40 STREET,,Alteration,0,
