unique_id,work_id,floor_ac_receptacles,sign_total_aw_guage,from_floor,floor_detail,floor_transformers,item,sign_id,sign_lamp_wattage
00A30B1F-EC01-E811-8116-005056B627E6.0.0,00A30B1F-EC01-E811-8116-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
00683452-2EFE-E811-811B-005056B627E4.0.0,00683452-2EFE-E811-811B-005056B627E4,0,,,,0,Up to 100 amps,0,0
007F32E1-82C1-E811-811A-005056B627E6.0.0,007F32E1-82C1-E811-811A-005056B627E6,0,,,,0,101 to 200 amps,0,0
00080E73-398A-E811-811A-005056B627E4.0.0,00080E73-398A-E811-811A-005056B627E4$,0,,,,0,Up to #2 conductor,0,0
010745B3-030D-E911-811C-005056B627E4.0.0,030D-E911-811C-0050,0,,,,0,Up to #2 conductor,0,0
0038ECDA-6847-E811-8117-005056B627E4.0.0,0038ECDA-6847-E811-8117-005056B627E4,0,,,,0,101 to 200 amps,0,0
0087F811-2718-E911-811D-8CFAEDA547D3.FF86F811-2718-E911-811D-8CFAEDA547D3.0,0087F811-2718-E911-811D-8CFAEDA547D3,2,,,1219 first Avenue NY; NY,0,Floor Descriptions - Total Units,0,0
00F63F75-1201-E811-8116-005056B627E6.0.0,00F63F75-1201-E811-8116-005056B627E6,0,,,,0,Up to #2 conductor,0,0
00C,00C19EAC-F153-E911-8120-005056B627E4,10,,,BASEMENT-FIRST-SECOND FLOOR,0,Floor Descriptions - Total Units,0,0
01319467-AA50-E911-8120-005056B627E4.0.0,01319467-AA50-E911-8120-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
007C8BCB-1DEC-E811-811A-005056B627E6.0.0,007C8BCB-1DEC-E811-811A-005056B627E6,0,,,,0,Up to #2 conductor,0,0
010FB98E-61A2-E811-811B-005056B627E4.000FB98E-61A2-E811-811B-005056B627E4.0,010FB98E-61A2-E811-811B-005056B627E4,0,,,"Exterior Ground Level - Installation of 27 lighting outlets, 27 light fixtures & 1 switch",0,Floor Descriptions - Total Units,0,0
0010DA2B-5921-E811-8117-005056B627E4.690C9775-5721-E811-8117-005056B627E4.0,0010DA2B-5921-E811-8117-005056B627E4,0,,,2 FIXTURES,0,Floor Descriptions - Total Units,0,0
008CD395-6533-E811-8117-005056B627E4.49C8FB88-6533-E811-8117-005056B627E4.0,008CD395-6533-E811-8117-005056B627E4,0,,2.0,,0,Floor Descriptions - Total Units,0,0
012BC4C4-C0A0-E811-811B-005056B627E4.0.0,012BC4C4-C0A0-E811-811B-005056B627E4,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
005AB596-3934-E811-8117-005056B627E4.0.0,005AB596-3934-E811-8117-005056B627E4,0,,,,0,Up to #2 conductor,0,0
00432AA5-E75B-E911-8120-005056B627E6.5F72C689-E75B-E911-8120-005056B627E6.0,00432AA5-E75B-E911-8120-005056B627E6,0,,,BASEMENT,0,Floor Descriptions - Total Units,0,0
00A6347E-0D45-E911-8120-005056B627E4.0.0,00A6347E-0D45-E911-8120-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
0138476F-88DF-E811-811B-005056B627E4.0.0,0138476F-88DF-E811-811B-005056B627E4,0,,,,0,Up to #2 conductor,0,0
00E56E4C-BA95-E811-8119-005056B627E6.FAE46E4C-BA95-E811-8119-005056B627E6.0,00E56E4C-BA95-E811-8119-005056B627E6,0,,,Sidewalk Shed,0,Floor Descriptions - Total Units,0,0
00852EC2-F912-E911-811D-8CFAEDA547D3.0.0,00852EC2-F912-E911-811D-8CFAEDA547D3,0,,,,0,101 to 200 amps,0,0
00B1EBBE-3047-E911-8120-005056B627E4.0.0,00B1EBBE-3047-E911-8120-005056B627E4,0,,,,0,Up to 100 amps,0,0
010B9273-A462-E911-8120-005056B627E6.0.0,010B9273-A462-E911-8120-005056B627E6,0,,,,0,"Total no.of Elevators, etc",0,0
00D611FC-252A-E811-8117-005056B627E4.FFD511FC-252A-E811-8117-005056B627E4.0,00D611FC-252A-E811-8117-005056B627E4,0,,,2ND FLOOR,0,Floor Descriptions - Total Units,0,0
01048643-A391-E811-811A-005056B627E4.0.0,01048643-A391-E811-811A-005056B627E4,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
0005E1FD-20C5-E811-811A-005056B627E6.FF04E1FD-20C5-E811-811A-005056B627E6.0,0005E1FD-20C5-E811-811A-005056B627E6,16,,1.0,General wiring.,0,Floor Descriptions - Total Units,0,0
00279627-4FE7-E711-8116-005056B627E6.FF269627-4FE7-E711-8116-005056B627E6.0,00279627-4FE7-E711-8116-005056B627E6,0,,,,0,Floor Descriptions - Total Units,0,0
0000715E-4E3C-E911-811F-005056B627E6.0.0,0000715E-4E3C-E911-811F-005056B627E6,0,,,,0,1Ø up to 20-1 or 10-2 pole breakers,0,0
007820A2-0668-E811-8119-005056B627E6.DCD8C87F-0568-E811-8119-005056B627E6.0,007820A2-0668-E811-8119-005056B627E6,0,,24.0,TRAUNCH #3,0,Floor Descriptions - Total Units,0,0
0101759B-AC50-E911-8120-005056B627E4.0.0,0101759B-AC50-E911-8120-005056B627E4,0,,,,0,Over 1200 amps,0,0
007820A2-0668-E811-8119-005056B627E6.DE7F7D43-0568-E811-8119-005056B627E6.0,007820A2-0668-E811-811 9-005056B627E6,0,,14.0,TRAUNCH #4,0,Floor Descriptions - Total Units,0,0
004194FF-9B21-E811-8117-005056B627E4.26DA7CD1-9B21-E811-8117-005056B627E4.0,004194FF-9B21-E811-8117-005056B627E4,1,,,General wiring.,0,Floor Descriptions - Total Units,0,0
006215D7-50A1-E811-811B-005056B627E4.0.0,006215D7-50A1-E811-811B-005056B627E4,0,,,,0,3Ø up to 225 amps,0,0
00DC4410-6CDD-E811-811B-005056B627E4.FFDB4410-6CDD-E811-811B-005056B627E4.0,00DC4410-6CDD-E811-811B-005056B627E4,0,,2.0,The second floor Apartment was renovated to become part of the house.,0,Floor Descriptions - Total Units,0,0
00279735-345A-E911-8120-005056B627E6.0.0,00279735-345A-E911-8120-005056B627E6,0,,,,0,Over 1/0 to 250MCM,0,0
00B79976-3A5A-E911-8120-005056B627E6.0.0,00B79976-3A5A-E911-8120-005056B627E6,0,,,,0,Over 250 MCM,0,0
00B19FB8-2294-E811-8119-005056B627E6.0.0,00B19FB8-2294-E811-8119-005056B627E6,0,,,,0,3Ø over 225 amps,0,0
00512138-AAE6-E811-811A-005056B627E6.6DF22132-AAE6-E811-811A-005056B627E6.0,00512138-AAE6-E811-811A-005056B627E6,0,,1.0,,0,Floor Descriptions - Total Units,0,0
00C09DF4-D2F7-E811-811B-005056B627E4.0.0,00C09DF4-D2F7-E811-811B-005056B627E4,0,,,,0,1Ø over 20-1 or 10-2 pole breakers,0,0
