control_no,house_no,failure_to_correct_amt,exterior_wall_material_s_,field_inspection_completed_date,street_name,exterior_wall_material_other_description,exterior_wall_type_other_description
807945,1705,0.0,,,HOE AVENUE,,
809811,842,0.0,,,ASHFORD STREET,,
913422,155,9000.0,,,WEST 21 STREET,,
900210,56,0.0,,,FULTON STREET,,
807611,1105,0.0,,,JEROME AVENUE,,
809661,160,0.0,,,MENAHAN STREET,,
805072,164,0.0,,,EAST 72 STREET,,
802530,270,0.0,,,MADISON AVENUE,,
805099,175,0.0,,,EAST 74 STREET,,
809797,2525,0.0,,,LINDEN BOULEVARD,,
908087,2835,2000.0,,,WEBB AVENUE,,
805579,163,0.0,,,EAST 81 STREET,,
709737,10 9,0.0,OTHER; MASONRY,,CHRISTOPHER AVENUE,,CAVITY WALL
800405,93,0.0,,,HUDSON STREET,,
813012,871,0.0,,,7 AVENUE,,
918239,34-22,0.0,,,35 STREET,,
910142,1620,0.0,,,AVENUE I,,
814061,608,0.0,,,WEST 150 STREET,,
803784,117,0.0,,,WEST 79 STREET,,
810699,4-21,6000.0,,,27 AVENUE,,
916975,1268,0.0,,,OLMSTEAD AVENUE,,
807141,600,0.0,,,WEST 162 STREET,,
809632,29,187400.0,,,MOORE STREET,,
812385,280,0.0,,,PARK HILL AVENUE,,
805723,222@,0.0,,,EAST 82 STREET,,
917876,494,0.0,,,GEORGIA AVENUE,,
805077,755,7000.0,MASONRY; TERRA COTTA; OTHER,2017-02-08T00:00:00.000,PARK AVENUE,,WITH STONE TRIM
810020,207,0.0,,,PROSPECT PARK SOUTHWEST,,
912496,19,0.0,,,EAST   95 STREET,,
805112,123,0.0,MASONRY; NATURAL STONE,2018-02-07T00:00:00.000,EAST 75 STREET,,
801235,24,10000.0,MASONRY; TERRA COTTA,2018-10-26T00:00:00.000,FIFTH AVENUE,,
903090,146,0.0,,,WEST 55 STREET,,
908661,950,0.0,,,MACE AVENUE,,
903183,1648,0.0,,,BROADWAY,,
906639,600,1000.0,,,WEST 111 STREET,,
806361,840,0.0,,,COLUMBUS AVENUE,,
805131,120,0.0,,,EAST 78 STREET,,
907291,282,10000.0,,,CABRINI BOULEVARD,,
919494,2110,0.0,,,BARNES AVENUE,,
814771,2027,0.0,,,1 AVENUE,,
812685,33-26,47750.0,,,82 STREET,,
806286,201,0.0,,,WEST 112 STREET,,
803394,17,8000.0,,,WEST 64 STREET,,
815021,50-01,0.0,,,39TH AVENUE,,
805359,445,1000.0,,,EAST 77 STREET,,
907489,175,0.0,,,EAST 151 STREET,,
919386,4065,0.0,,,CARPENTER AVENUE,,
917971,96,3000.0,CONCRETE; MASONRY; METAL,2022-12-15T00:00:00.000,WYTHE AVENUE,,
910256,30,0.0,,,AVENUE V,,
917699,1802,0.0,,,CROTONA AVENUE,,
901597,232,1000.0,,,WEST 19 STREET,,
802415,38,0.0,MASONRY; OTHER,2017-02-08T00:00:00.000,EAST 30 STREET,,ornamental sheet metal
600021,18,0.0,METAL; MASONRY,2006-01-17T00:00:00.000,WEST STREET,,
909811,842,0.0,,,ASHFORD STREET,,
917686,250,0.0,,,CANAL PLACE,,
804123,10,0.0,,,WEST 46 STREET,,
809208,770,0.0,,,HENRY STREET,,
804208,73,2000.0,,,WEST 55 STREET,,
906155,3,0.0,,,WEST  122 STREET,,
800111,101,0.0,GLASS; METAL,2018-08-23T00:00:00.000,WATER STREET,,
912383,141,0.0,,,PARK HILL AVENUE,,
901536,330,0.0,,,WEST 34 STREET,,
814164,567,0.0,,,WARREN STREET,,
916664,789,0.0,,,CO OP CITY BOULEVARD,,
809361,50,0.0,,,STUYVESANT AVENUE,,
816676,801,76320.0,,,WEST 190 STREET,,
916870,64,12000.0,,,BRONX BOULEVARD,,
813344,3,0.0,,,EAST   95 STREET,,
808272,710,0.0,,,NOBLE AVENUE,,
702756,600,0.0,METAL; GLASS,2012-01-15T00:00:00.000,THIRD AVENUE,,
914263,61,0.0,,,VILLAGE ROAD NORTH,,
807897,264,38950.0,,,WEST TREMONT AVENUE,,
806311,415,20000.0,,,CENTRAL PARK WEST,,
906579,305,7000.0,,,WEST 99 STREET,,
701504,355,0.0,MASONRY; STUCCO/EIFS,2013-05-28T00:00:00.000,WEST 16 STREET,,
902293,17,0.0,,,EAST 17 STREET,,
801415,239,20000.0,,,11 AVENUE,,
809456,453,125200.0,,,DE KALB AVENUE,,
914265,2511,0.0,,,OCEAN AVENUE,,
903936,640,0.0,,,WEST END AVENUE,,
913694,225,0.0,,,WEST 60 STREET,,
802015,18,0.0,,,WEST 21 STREET,,
807235,1701,2000.0,,,FT GEORGE HILL,,
813040,2324,0.0,,,WALTON AVENUE,,
802195,990,0.0,,,AVENUE OF THE AMERICAS,,
811389,42-55,0.0,,,COLDEN STREET,,
912262,100,0.0,,,EAST 77 STREET,,
901706,252,7000.0,,,WEST 37 STREET,,
813925,950,0.0,,,WESTCHESTER AVENUE,,
811033,68-36,0.0,,,108 STREET,,
814311,_136-16,0.0,,,35 AVENUE,,
807192,260,3000.0,,,FT WASHINGTON AVENUE,,
814304,60-70,0.0,,,WOODHAVEN BOULEVARD,,
905859,1780,0.0,,,FIRST AVENUE,,
801653,214,0.0,,,WEST 30 STREET,,
910669,25-10,2000.0,,,31 AVENUE,,
814609,14,0.0,,,EAST 52 STREET,,
808265,635,0.0,MASONRY; CONCRETE,2019-04-02T00:00:00.000,CASTLE HILL AVENUE,,
812895,238,0.0,,,EAST 95 STREET,,
905961,60,0.0,,,EAST 102 STREET,,
910676,44-14,0.0,,,NEWTON ROAD,,
814253,20,0.0,,,OLIVER STREET,,
909067,122,0.0,,,COLUMBIA HEIGHTS,,
901895,108,4000.0,,,WEST 34 STREET,,
900376,346,7000.0,,,BROADWAY,,
809208,770,0.0,MASONRY; OTHER,2020-02-17T00:00:00.000,HENRY STREET,,SOLID MASONRY
905252,359,209000.0,,,EAST 68 STREET,,
807172,245,61200.0,,,FT WASHINGTON AVENUE,,
803358,555,0.0,,,WEST 57 STREET,,
900317,9,0.0,,,MURRAY STREET,,
904726,322,2000.0,MASONRY; NATURAL STONE,2025-11-13T00:00:00.000,EAST 57 STREET,,
707988,780,0.0,,,GARDEN STREET,,
917762,123,0.0,,,LINDEN BOULEVARD,,
909234,925,0.0,,,UNION STREET,,
913131,646,0.0,,,WEST 125 STREET,,
703475,411,0.0,,,WEST 59 STREET,,
802365,44,8000.0,,,EAST 23 STREET,,
913996,12 40,80000.0,,,WALTON AVENUE,,
813939,191,0.0,,,ST NICHOLAS AVENUE,,
805958,19,15000.0,,,EAST 98 STREET,,
803080,801,0.0,,,7 AVENUE,,
909056,275,0.0,,,ATLANTIC AVENUE,,
808654,2515,0.0,,,OLINVILLE AVENUE,,
805863,505,2000.0,,,EAST 79 STREET,,
918595,162,0.0,,,NORTH 12 STREET,,
919298,2121,0.0,,,Cedar Avenue,,
806053,210,0.0,,,EAST 102 STREET,,
903595,228,0.0,MASONRY; TERRA COTTA; NATURAL STONE,2023-11-14T00:00:00.000,WEST 71 STREET,,
908287,820,0.0,,,BOYNTON AVENUE,,
809855,17,0.0,,,VANDALIA AVENUE,,
917639,2985,0.0,,,WEBSTER AVENUE,,
914067,2461,0.0,,,AMSTERDAM AVENUE,,
808368,1435,0.0,,,HARROD AVENUE,,
918023,31,0.0,,,DEBEVOISE STREET,,
810447,1177,0.0,,,EAST   98 STREET,,
809289,2,0.0,,,STODDARD PLACE,,
911776,1925,0.0,,,SEAGIRT BOULEVARD,,
807722,760,0.0,,,EAST 166 STREET,,
919210,51-23,0.0,,,QUEENS BOULEVARD,,
914654,170-06,0.0,,,BAISLEY BOULEVARD,,
811193,83-85,20580.0,,,116 STREET,,
906828,3240,0.0,,,BROADWAY,,
900775,161,20040.0,TERRA COTTA; NATURAL STONE; MASONRY,2023-07-20T00:00:00.000,BOWERY,,"BRICK MASONRY, TERRACOTA, STONE MARBLE"
814380,180,0.0,TERRA COTTA; MASONRY,2018-09-11T00:00:00.000,REMSEN STREET,,
810227,2943,0.0,,,WEST 28 STREET,,
612190,301,,,,EAST  108 STREET,,
900716,340,2000.0,,,EAST 4 STREET,,
800253,47,0.0,,,ANN STREET,,
908104,2857,0.0,,,SEDGWICK AVENUE,,
809104,127,8000.0,,,PIERREPONT STREET,,
805681,118,0.0,,,EAST 93 STREET,,
807710,735,0.0,,,EAST 163 STREET,,
801781,132,0.0,,,WEST 21 STREET,,
806826,556,0.0,MASONRY; TERRA COTTA,2018-10-17T00:00:00.000,WEST 126 STREET,,
814294,25-25,0.0,,,NEWTOWN AVENUE,,
800297,1,0.0,,,CENTRE STREET,,
807957,1,0.0,,,FORDHAM PLAZA,,
805470,1049,15600.0,,,FIFTH AVENUE,,
808096,3980,10000.0,,,ORLOFF AVENUE,,
917332,109,0.0,,,EAST 115 STREET,,
814639,890,0.0,,,PROSPECT AVENUE,,
800975,149,0.0,,,SULLIVAN STREET,,
806742,1155,,,,AMSTERDAM AVENUE,,
607012,618,0.0,MASONRY; NATURAL STONE,2010-04-13T00:00:00.000,RIVERSIDE DRIVE,,
806320,448,0.0,,,CENTRAL PARK WEST,,
808014,365,3000.0,,,FORD STREET,,
814565,243,0.0,,,BROOME STREET,,
900122,78,14000.0,,,WALL STREET,,
917408,217,0.0,,,WEST 57 STREET,,
912631,87-20,0.0,,,175 STREET,,
811760,14-50,0.0,,,GATEWAY BOULEVARD,,
809148,186,0.0,,,JORALEMON STREET,,
814345,137-07,0.0,,,NORTHERN BOULEVARD,,
812687,33-25,36400.0,,,81 STREET,,
905305,406,0.0,,,EAST 62 STREET,,
803319,400,255760.0,,,WEST 57 STREET,,
917468,100,0.0,,,GREENWICH STREET,,
906053,210,0.0,,,EAST 102 STREET,,
909968,787,0.0,,,EAST 46 STREET,,
809325,249,1000.0,,,HOPKINSON AVENUE,,
917577,917,0.0,,,WESTCHESTER AVENUE,,
918297,135,0.0,,,WEST 30 STREET,,
911104,61-41,0.0,,,SAUNDERS STREET,,
816435,1885,0.0,MASONRY; OTHER,2017-01-27T00:00:00.000,LEXINGTON AVENUE,,Stucco
903127,919,0.0,,,7 AVENUE,,
812912,401,5000.0,,,WEST 22 STREET,,
901015,63,0.0,,,DOWNING STREET,,
812199,11,0.0,MASONRY,2017-02-06T00:00:00.000,WEST  172 STREET,,
810503,3080,0.0,,,VOORHEES AVENUE,,
918299,131,0.0,,,WEST 45 STREET,,
908880,3299,84600.0,,,CAMBRIDGE AVENUE,,
917224,286,1000.0,,,SPRING STREET,,
807836,1630,0.0,,,MACOMBS ROAD,,
804125,59,395000.0,METAL; STUCCO/EIFS; NATURAL STONE; MASONRY,2021-12-07T00:00:00.000,WEST 46 STREET,,
904919,730,0.0,,,PARK AVENUE,,
917897,1404,0.0,,,OCEAN PARKWAY,,
810097,9524,9000.0,,,FT HAMILTON PARKWAY,,
810818,82-01,0.0,,,BRITTON AVENUE,,
903894,2350,0.0,,,BROADWAY,,
814308,31-18,0.0,,,UNION STREET,,
807944,1571,12000.0,,,SOUTHERN BOULEVARD,,
814133,18,0.0,,,MORNINGSIDE AVENUE,,
917285,503,2000.0,,,CANAL STREET,,
813729,138,0.0,,,READE STREET,,
804808,1076,0.0,,,FIRST AVENUE,,
916775,144-24,5000.0,,,37 AVENUE,,
806572,781,0.0,,,WEST END AVENUE,,
914907,303,0.0,,,10 AVENUE,,
810603,3-10,0.0,,,ASTORIA BOULEVARD,,
