block,owner_state,owner_bus_street_name,sequence_no,owner_city,qewi_state
1527,,,1.0,,
2465,,,1.0,,
1029,,,,,
1412,,,1.0,,
3252,,,1.0,,
3709,,90 CHURCH STREET,1.0,NEW YORK,NY
4649,,,,,
4960,,,1.0,,
1721,,,1.0,,
1456,,,1.0,,
1855,,,6.0,,
1649,,,4.0,,
4959,,,1.0,,
3112,,,1.0,,
3078,,,1.0,,
2290,,,,,
208,,,1.0,,
265,,,1.0,,
5287,,,1.0,,
1152,,,1.0,,
851,,,1.0,,
490,,,4.0,,
1022,,,1.0,,
3315,,,3.0,,
809,,,1.0,,
1011,,,1.0,,
6100,,,1.0,,
740,,200 WEST 55 STREET SUITE 42,1.0,NEW YORK,NY
3253,,,1.0,,
1349,NY,"260 MADISON AVENUE,",1.0,NEW YORK,NJ
3250,,,1.0,,
869,,,1.0,,
1849,,,1.0,,
1210,,,1.0,,
4428,,,1.0,,
1131,,,1.0,,
1262,NY,15 WEST 39TH STREET,1.0,NEW YORK,NY
1982,NY,"25 W 39TH ST, 2ND FL",1.0,NEW YORK,NY
797,,,1.0,,
1066,,,1.0,,
757,,,1.0,,
1233,,,1.0,,
15810,,,1.0,,
2639,,,3.0,,
699,,,1.0,,
2505,,,1.0,,
5785,,,1.0,,
1162,NY,230 WEST 41ST STREET,1.0,NEW YORK,NY
3886,,,2.0,,
2703,,,1.0,,
827,,,1.0,,
2639,,,4.0,,
1419,,,1.0,,
5803,,,1.0,,
1402,,,1.0,,
1292,,,,,
24,,,1.0,,
1259,,,1.0,,
1783,,,1.0,,
2115,,,1.0,,
3515,,,1.0,,
2416,,,2.0,,
2639,,,3.0,,
2993,,,,,
2799,,,,,
426,,355 WEST 54TH STREET,1.0,NY,NY
2139,,,1.0,,
406,,,,,
3532,,,1.0,,
3489,,,8.0,,
2012,,,1.0,,
1294,,,1.0,,
1504,,,1.0,,
3318,,,1.0,,
571,,,1.0,,
1321,,,1.0,,
3154,,,1.0,,
9715,,,1.0,,
1047,,,3.0,,
6684,,,1.0,,
5759,,,,,
577,NY,80 FIFTH AVENUE,1.0,NEW YORK,NY
2215,,,6.0,,
2265,,,1.0,,
2975,,,1.0,,
1260,,,1.0,,
5088,,,,,
2106,,,8.0,,
1832,NY,"1740 BROADWAY, 2ND F",1.0,NEW YORK,NY
885,,,1.0,,
2512,,,1.0,,
702,,,,,
1626,,,2.0,,
1154,,,1.0,,
1067,,,1.0,,
7405,,,6.0,,
498,,,1.0,,
4205,,,4.0,,
2240,,,,,
829,,,1.0,,
1526,,,1.0,,
1350,,,1.0,,
3320,,,,,
1867,,,1.0,,
6241,,,,,
283,,,1.0,,
841,,,1.0,,
774,,,1.0,,
3358,,,1.0,,
1279,NY,3 COLUMBUS CIRCLE,1.0,NEW YORK,NY
5005,,,1.0,,
1185,,,1.0,,
820,,,1.0,,
786,,,1.0,,
1432,,,1.0,,
2458,,,1.0,,
1124,,,1.0,,
5105,,,1.0,,
1007,NY,299 PARK AVENUE,1.0,NEW YORK,NY
5012,,,,,
4597,,,1.0,,
2235,,,,,
2844,,,1.0,,
28,,,1.0,,
187,,105 HUDSON STREET,1.0,NYC,NY
1493,,,1.0,,
127,,,1.0,,
3907,,,2.0,,
16177,,,1.0,,
245,,,1.0,,
8710,,,1.0,,
4222,,,,,
2654,,,4.0,,
8723,,,1.0,,
823,,,1.0,,
5389,,,1.0,,
7433,,,1.0,,
801,,140 FULTON STREET 5TH FL,1.0,NY,NY
848,,,1.0,,
2413,,,5.0,,
1443,,,,,
295,,,1.0,,
1296,,,1.0,,
2139,,,1.0,,
839,,,1.0,,
8680,,,2.0,,
5564,,,4.0,,
2151,,,1.0,,
1271,,,1.0,,
1580,,,2.0,,
2876,,,1.0,,
1528,,,1.0,,
7408,,,8.0,,
1271,,,1.0,,
1362,,,1.0,,
1095,,,1.0,,
1875,,,1.0,,
1227,,,1.0,,
813,,,1.0,,
1526,,,1.0,,
1913,,,,,
903,,,1.0,,
9714,,,1.0,,
762,,,1.0,,
834,NY,370 7TH AVENUE,1.0,NEW YORK,NY
1605,,,5.0,,
2826,,,1.0,,
522,NY,155 EAST 26TH ST,1.0,NEW YORK,NJ
2378,,,1.0,,
2639,,,9.0,,
93,,,1.0,,
823,,,1.0,,
8401,,,2.0,,
2678,,,1.0,,
3326,,,1.0,,
2041,,,6.0,,
2215,NY,931 MORRIS PARK,,BRONX,NY
1874,NY,45 WEST 139TH STREET,1.0,NEW YORK,NY
16,,,1.0,,
3489,,,7.0,,
1938,,,3.0,,
1246,,,1.0,,
2719,,,1.0,,
4597,,,1.0,,
2276,,,1.0,,
2877,,,4.0,,
1553,,,1.0,,
6089,,,1.0,,
3165,,,,,
5928,,,1.0,,
2877,,,1.0,,
1258,,,1.0,,
1129,,,1.0,,
7250,,,1.0,,
832,,,1.0,,
2418,,,1.0,,
5400,,,1.0,,
3058,,,1.0,,
4292,,,5.0,,
1339,NY,375 PEARL STREET,1.0,NEW YORK,NY
179,,,1.0,,
1054,,,1.0,,
1494,NY,770 LEXINGTON AVE,1.0,NEW YORK,NY
1438,,,1.0,,
784,,,1.0,,
222,,,1.0,,
1745,,,1.0,,
8815,,,1.0,,
