job__,bin__,total_est_fee,owner_type,initial_cost,fee_status,sign_dist_from_highway,pre_filing_date,sign_illumination,job_description,job_type,sign_height_curb,sign_non_conforming,sign_sq_footage,sign_projection,house__
520309513,5164798,263.6,3,16500,STANDARD,0,2017-08-25T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,246, ,110,7,185         
421542003,4113289,100.0,2,3000,STANDARD,0,2017-08-17T00:00:00.000,Y,"ERECT ILLUMINATED BUSINESS ACCESSORY SIGN, NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,232, ,23,10,138-02      
421561937,4111794,100.0,3,1000,STANDARD,0,2017-10-05T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING FRANCIS LEWIS BLVD .PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION,SG,201, ,7,0,29-16       
123353487,1088841,140.0,2,4797,STANDARD,0,2017-08-03T00:00:00.000,Y,ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NO CHANGE IN USE EGRESS OR OCCUPANCY.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.,SG,242, ,41,5,855         
123109395,1032645,100.0,2,1872,STANDARD,0,2017-08-31T00:00:00.000,Y,"ERECT AN ILLUMINATED BUSINESS ACCESSORY WALL SIGN. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,144, ,16,4,2239        
421559101,4440113,100.0,2,2800,STANDARD,0,2017-10-03T00:00:00.000,Y,"ILLUMINATED BUSINESS ACCESSORY SIGN, NO CHANGE TO USE, EGRESS OR OCCUPANCY",SG,168, ,45,12,39-07       
421554026,4223565,100.0,3,1000,STANDARD,0,2017-09-14T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-AMOCO FACING 202ND STREET. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION,SG,192, ,24,0,202-06      
123335202,1087745,160.6,2,6201,STANDARD,0,2017-10-11T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,192, ,53,11,130         
321609577,3327490,100.0,2,600,STANDARD,0,2017-09-26T00:00:00.000,Y,"ERECT ILLUMINATED NON ADVERTISING D/F SIGN ON WALL. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",SG,120, ,5,18,3812        
321609648,3414141,100.0,2,1755,STANDARD,0,2017-10-11T00:00:00.000,Y,"ERECT ILLUMINATED NON ADVERTISING SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,270, ,15,0,2859        
123351835,1057837,100.0,2,616,STANDARD,0,2017-08-02T00:00:00.000,,"ERECT A NON-ILLUMINATED BUSINESS ACCESSORY WALL SIGN. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,96, ,14,2,166         
123119785,1013686,479.9,2,37200,STANDARD,0,2017-09-20T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,272, ,248,5,601         
321631579,3424339,100.0,2,2500,STANDARD,0,2017-08-01T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,114, ,19,0,531         
123163548,1087616,100.0,2,1885,STANDARD,0,2017-10-11T00:00:00.000,,"ERECT NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. COPY READING ""READYREFRESH JUST CLICK AND QUENCH BY NESTLE"". NOT WITHIN VIEW/200 FT OF ARTERIAL HGWY OR PUBLIC PARK OF 1/2 ACRE OR MORE. NO CHANGE IN USE, EGRESS OR OCCUPANCY",SG,198, ,29,1,621         
121242048,1090374,100.0,2,1287,STANDARD,0,2017-09-06T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY DOUBLE FACED PROJECTING ACCESSORY SIGN - INSIDE PROPERTY LINE - NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,246, ,11,0,60          
123302853,1015266,150.3,2,5412,STANDARD,0,2017-08-03T00:00:00.000,,"NON ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,176, ,123,2,1400        
421544911,4077915,160.6,2,6450,STANDARD,0,2017-10-10T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,202, ,43,6,71-24       
123179041,1035335,100.0,2,396,STANDARD,0,2017-09-19T00:00:00.000,,"NON ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,163, ,9,3,60          
421562632,4448939,552.0,2,44928,STANDARD,0,2017-10-10T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,270, ,384,5,134-31      
421552876,4169382,120.0,2,3393,STANDARD,0,2017-10-03T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,300, ,29,0,252-29      
321604894,3078952,201.8,2,10062,STANDARD,0,2017-09-28T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,186, ,86,12,1639        
421558665,4238738,150.3,2,5733,STANDARD,0,2017-09-28T00:00:00.000,Y,"INSTALL AN ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,204, ,49,10,208-07      
123188424,1089941,160.6,2,6903,STANDARD,0,2017-10-06T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,174, ,59,12,261         
421541567,4184263,150.3,2,5850,STANDARD,0,2017-08-16T00:00:00.000,Y,"ERECT AN ILLUMINATED NON FLASHING BUSINESS ACCESSORY SIGN ON EXTERIOR WALL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,153, ,50,12,92-18       
123043688,1089782,397.5,2,30000,STANDARD,0,2017-07-28T00:00:00.000,Y,"INSTALLATION OF ACCESSORY ILLUMINATED SIGN ON 8TH AVENUE SIDE OF BUILDING. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,253, ,200,0,301         
421534673,4437222,100.0,3,1755,STANDARD,0,2017-09-19T00:00:00.000,Y,"ERECT INDIRECTLY ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,153, ,15,12,38-01A      
421552135,4449970,181.2,1,8960,STANDARD,0,2017-09-06T00:00:00.000,Y,"INSTALLATION OF AN ILLUMINATED CHANNEL LETTER SIGN. NO CHANGE IN USE, EGRESS OR CERTIFICATE OF OCCUPANCY.",SG,159, ,128,0,135-32      
123119758,1022646,120.0,2,3250,STANDARD,0,2017-10-06T00:00:00.000,Y,"REPLACE EXISTING INDIRECTLY ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,264, ,26,1,134         
123290125,1016123,100.0,2,1989,STANDARD,0,2017-09-22T00:00:00.000,,"ERECT A NON-ILLUMINATED BUSINESS ACCESSORY WALL SIGN. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,144, ,17,0,859         
123079685,1088760,232.7,2,13572,STANDARD,0,2017-08-18T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY LED FLASHING SIGN ON WALL.  NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,789, ,116,95,226         
220614725,2057273,100.0,3,1000,STANDARD,0,2017-09-08T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING EAST GUN HILL RD. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION.,SG,174, ,10,0,641         
520307971,5150289,150.3,2,5850,STANDARD,0,2017-09-25T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING ACCESSORY SIGN - INSIDE PROPERTY LINE. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,151, ,50,0,1756        
520309540,5162340,170.9,2,7500,STANDARD,0,2017-08-17T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE TO USE,EGRESS, OR OCCUPANCY",SG,230, ,50,8,2191        
321567327,3128805,100.0,3,3000,STANDARD,0,2017-10-11T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,206, ,20,5,4714        
123122021,1085682,150.3,3,5499,STANDARD,0,2017-08-29T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,156, ,47,0,4           
421466210,4116510,150.3,2,6000,STANDARD,0,2017-08-28T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,168, ,40,6,46-32       
321649007,3247095,100.0,1,1000,STANDARD,0,2017-09-01T00:00:00.000,Y,"LEGALIZE EXISTING ILLUMINATED SIGN TO SATISFY VIOLATION  NO.35221988X, NO CHANGE IN OCCUPANCY, USE OR EGRESS",SG,144, ,16,0,2003        
421542637,4114132,160.6,2,6201,STANDARD,0,2017-08-18T00:00:00.000,Y,"INSTALL AN ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,240, ,53,10,135-05      
421560787,4208831,100.0,2,1232,STANDARD,0,2017-10-04T00:00:00.000,,"ERECT NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,204, ,28,0,89-14       
321567292,3424727,100.0,3,1800,STANDARD,0,2017-09-20T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON MARQUEE FILED UNDER APPLICATION #320887457. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,137, ,12,0,85          
123163254,1081009,232.7,2,13455,STANDARD,0,2017-10-11T00:00:00.000,Y,"ERECT AN ILLUMINATED NON FLASHING BUSINESS ACCESSORY SIGN ON SIGN BAND. SIGN BAND WILL BE FILED UNDER SEPARATE APPLICATION.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,176, ,115,4,601         
421541317,4146186,100.0,3,1000,STANDARD,0,2017-08-16T00:00:00.000,Y,PROPOSE TO INSTALL SIGN ON EXISTING METAL CANOPY. SIGN-BP HELIOS FACING KISSENA BLVD. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION,SG,189, ,10,0,154-11      
123334944,1088870,100.0,2,1989,STANDARD,0,2017-09-12T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,165, ,17,5,21          
123334980,1088870,100.0,2,234,STANDARD,0,2017-09-12T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS D/F BLADE SIGN.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,167, ,2,18,21          
520309498,5155571,100.0,1,2106,STANDARD,0,2017-08-30T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,134, ,18,0,6420        
123035919,1035053,100.0,2,1408,STANDARD,0,2017-07-28T00:00:00.000,,"NON ILLUMINATED NON ADVERTISING ACCESSORY SIGN - INSIDE PROPERTY LINE. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,300, ,32,0,730         
421554589,4433427,100.0,4,1452,STANDARD,0,2017-09-15T00:00:00.000,,"INSTALL A NEW NON ILLUMINATED BUSINESS ACCESSORY SIGN ON EXTERIOR WALL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,160, ,33,7,213-02      
123327337,1007605,100.0,2,1800,STANDARD,0,2017-08-18T00:00:00.000,Y,"ERECT ILLUMINATED NON ADVERTISING SHADOW BOX SIGN- IBL. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",SG,48, ,15,0,104         
123163913,1030741,120.0,4,3124,STANDARD,0,2017-10-12T00:00:00.000,,"ERECT A NON ILLUMINATED BUSINESS ACCESSORY SIGN ON EXTERIOR WALL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,128, ,71,12,300         
