brooklyn_condominiums_comparable_properties_condo_section,brooklyn_condominiums_comparable_properties_address,comparable_rental_3_total_units,brooklyn_condominiums_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_3_building_classification,brooklyn_condominiums_comparable_properties_estimated_expense,comparable_rental_2_year_built,comparable_rental_1_market_value_per_sqft,brooklyn_condominiums_comparable_properties_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_building_classification,brooklyn_condominiums_comparable_properties_building_classification,comparable_rental_2_total_units,comparable_rental_2_estimated_expense,comparable_rental_3_net_operating_income,brooklyn_condominiums_comparable_properties_net_operating_income
1325-R1,6501 BAY PARKWAY, ,2005.0,3-07023-0021, ,112563,2005.0,62.58,10,10.8,449004,1991, ,D1-ELEVATOR,R4-CONDOMINIUM,41.0,337149.0, ,161981
1883-R1,1765 71 STREET, ,2006.0,3-06245-0006, ,31133,1922.0,56.04,5,9.46,74425,1926, ,C1-WALK-UP,R2-CONDOMINIUM,12.0,104965.0, ,51787
2058-R1,302 2 STREET,45,,3-01081-0043,D1-ELEVATOR,406510,1920.0,76.52,68,9.26,377704,1920,22.86,D1-ELEVATOR,R4-CONDOMINIUM,41.0,317950.0,"341,174",754948
0305-R1,441 7 AVENUE, ,,3-01043-0001, ,90035,1931.0,125.3,11,13.31,112451,1920, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,105359.0, ,110043
0441-R1,63 TIFFANY PLACE,35,1917.0,3-00171-0049,D9-ELEVATOR,734832,1930.0,72.67,70,9.27,214018,1900,19.35,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"298,688",898128
1979-R1,1 NORTH PIER,66,2007.0,3-02785-0001,D1-ELEVATOR,2060011,1991.0,108.36,181,11.38,3635565,2003,24.20,D1-ELEVATOR,R4-CONDOMINIUM,60.0,804272.0,"629,222",2638551
2344-R1,72 STEUBEN STREET, ,2007.0,3-01948-0065, ,101293,1905.0,112.13,10,10.76,155801,1930, ,C1-WALK-UP,R4-CONDOMINIUM,16.0,99206.0, ,145762
1144-R1,"82 ,84,86,88 GREEN STREET", ,2001.0,3-02645-0047, ,190080,1931.0,104.47,16,10.85,392976,1920, ,C1-WALK-UP,R2-CONDOMINIUM,13.0,125372.0, ,232320
2255-R1,414 HICKS STREET,24,2009.0,3-02104-0008,D1-ELEVATOR,346933,1927.0,78.91,3,8.35,298688,1900,14.78,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"132,653",644303
1661-R1,234 SKILLMAN AVENUE,29,2004.0,3-02412-0033,D9-ELEVATOR,465370,1919.0,44.31,62,13.49,218542,1920,21.45,D9-ELEVATOR,R4-CONDOMINIUM,24.0,228216.0,"227,847",669678
0444-R1,908 DRIGGS AVENUE,8,1917.0,3-02139-0014,C1-WALK-UP,175555,1917.0,64.67,19,8.97,228735,1915,17.05,C1-WALK-UP,R2-CONDOMINIUM,41.0,280297.0,"63,572",214568
1624-R1,93 WYCKOFF AVENUE,154,2005.0,3-06264-0029,D9-ELEVATOR,81670,1991.0,52.26,9,16.34,390592,1910,18.32,D9-ELEVATOR,R2-CONDOMINIUM,52.0,555180.0,"1,143,600",151674
1287-R1,268 WALLABOUT STREET,25,2005.0,3-02424-0016,D9-ELEVATOR,276023,1915.0,43.52,28,13.3,178498,1920,21.08,D9-ELEVATOR,R4-CONDOMINIUM,24.0,229306.0,"218,542",397203
1231-R1,102 SKILLMAN STREET,71,2003.0,3-02424-0012,D9-ELEVATOR,67625,1915.0,51.84,4,11.07,277159,1912,18.79,D9-ELEVATOR,R2-CONDOMINIUM,30.0,283683.0,"417,651",97313
2189-R1,1576 EAST 15 STREET,46,2006.0,3-05079-0019,D9-ELEVATOR,85202,1912.0,60.8,8,9.61,921829,1985,17.29,D9-ELEVATOR,R4-CONDOMINIUM,16.0,204184.0,"138,757",119472
0151-R1,555 CROWN STREET,54,1922.0,3-01300-0044,C1-WALK-UP,263995,1923.0,34.94,16,7.8,213966,1924,11.82,C1-WALK-UP,R2-CONDOMINIUM,48.0,253265.0,"252,527",234351
1651-R1,145 PARK PLACE,60,1925.0,3-02108-0021,D1-ELEVATOR,618196,1900.0,110.9,47,13.03,1102334,1982,22.01,D9-ELEVATOR,R4-CONDOMINIUM,35.0,226573.0,"614,045",889599
0022-R1,1845 52 STREET,16,1926.0,3-01042-0059,D9-ELEVATOR,561072,2002.0,53.46,32,4.55,582806,1900,10.27,D1-ELEVATOR,R4-CONDOMINIUM,24.0,178463.0,"60,040",483342
1443-R1,3567 SHORE PARKWAY SR NOR, ,2005.0,3-07444-0023, ,60989,1935.0,61.56,5,7.47,98515,1975, ,C1-WALK-UP,R4-CONDOMINIUM,12.0,61536.0, ,57361
1561-R1,442 SOUTH 5 STREET,24,2004.0,3-02424-0006,D9-ELEVATOR,101807,1920.0,42.18,10,9.76,197187,1915,18.75,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"201,966",119558
1581-R1,728 OCEAN VIEW AVENUE, ,2004.0,3-08676-0055, ,136397,1930.0,68.09,12,8.73,98233,1982, ,C5-WALK-UP,R2-CONDOMINIUM,12.0,34516.0, ,191258
0182-R1,1901 51 STREET, ,1927.0,3-05608-0051, ,244133,1924.0,58.54,26,8.5,141644,1920, ,C1-WALK-UP,R2-CONDOMINIUM,23.0,125294.0, ,251083
1354-R1,136 WALLABOUT STREET,22,2003.0,3-02424-0016,D9-ELEVATOR,209855,1915.0,48.18,16,7.92,204336,1925,18.97,D9-ELEVATOR,R4-CONDOMINIUM,24.0,229306.0,"200,194",246351
0287-R1,1229 PRESIDENT STREET,52,1987.0,3-05079-0021,D9-ELEVATOR,169058,1912.0,50.27,12,7.96,960988,1973,14.89,D9-ELEVATOR,R2-CONDOMINIUM,16.0,138530.0,"582,806",172156
1232-R1,2072 OCEAN AVENUE,62,2003.0,3-06784-0012,D1-ELEVATOR,158449,2006.0,46.76,13,7.17,201230,1963,19.62,D1-ELEVATOR,R4-CONDOMINIUM,13.0,36686.0,"235,351",193230
1678-R1,13 IRVING PLACE,20,2006.0,3-01946-0030,C1-WALK-UP,116898,1905.0,179.94,16,11.36,399464,1905,29.27,C1-WALK-UP,R2-CONDOMINIUM,15.0,93137.0,"182,360",221742
1818-R1,5923 STRICKLAND AVENUE, ,,3-01251-0001, ,151389,1910.0,101.43,20,12.7,225645,1912, ,D9-ELEVATOR,R9-CONDOMINIUM,80.0,890581.0, ,281152
0949-R1,559 FLUSHING AVENUE,24,2002.0,3-02424-0035,D9-ELEVATOR,118818,1915.0,43.52,14,13.3,178498,1920,22.58,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"203,057",170982
0885-R1,262 HEYWARD STREET,12,1999.0,3-03031-0014,C1-WALK-UP,268754,1930.0,121.29,12,4.24,228015,2006,21.89,C1-WALK-UP,R2-CONDOMINIUM,11.0,30484.0,"44,371",268754
0100-R1,141 ATLANTIC AVENUE,10,1900.0,3-00268-0044,C1-WALK-UP,32366,1920.0,81.46,2,7.94,130567,1915,29.34,C1-WALK-UP,R2-CONDOMINIUM,9.0,,"230,964",42953
1082-R1,45 OCEANA DRIVE,52,,3-01251-0001,D9-ELEVATOR,1024062,1910.0,101.43,71,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",1251631
1823-R1,208 SOUTH 3 STREET,20,2006.0,3-02409-0015,D9-ELEVATOR,101752,1911.0,70.34,10,10.17,230180,1912,22.13,D9-ELEVATOR,R4-CONDOMINIUM,24.0,221366.0,"230,182",133051
1161-R1,222 PARK PLACE, ,,3-01158-0016, ,251318,1931.0,132.34,14,9.95,285787,1910, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,179517.0, ,427979
2073-R1,1765 EAST 19 STREET, ,2006.0,3-06781-0061, ,140739,2010.0,70.0,11,3.91,260928,2006, ,D1-ELEVATOR,R4-CONDOMINIUM,12.0,70738.0, ,158161
2268-R1,773 BEDFORD AVENUE,22,2007.0,3-02424-0006,D9-ELEVATOR,177710,1920.0,45.13,12,11.74,227847,1915,19.48,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"197,187",200396
1983-R1,47 NORTH 8 STREET,24,2007.0,3-02409-0008,D9-ELEVATOR,358578,1915.0,67.4,40,9.85,127891,1907,21.45,D9-ELEVATOR,R4-CONDOMINIUM,24.0,231687.0,"108,064",516003
1131-R1,2806 EAST 23 STREET, ,2001.0,3-07415-0001, ,163473,1975.0,68.09,12,8.73,98233,1982, ,C1-WALK-UP,R4-CONDOMINIUM,12.0,67231.0, ,177096
1749-R1,2736 OCEAN AVENUE, ,2005.0,3-08765-0027, ,141046,1967.0,59.54,14,5.54,128271,1976, ,C1-WALK-UP,R4-CONDOMINIUM,37.0,200744.0, ,200702
0948-R1,7902 15 AVENUE, ,2002.0,3-06333-0043, ,86908,1922.0,84.63,23,9.72,124616,1922, ,C1-WALK-UP,R2-CONDOMINIUM,31.0,282880.0, ,151839
1931-R1,11 TERRACE PLACE, ,2006.0,3-01107-0027, ,122716,1935.0,87.24,18,8.22,185761,1920, ,D1-ELEVATOR,R2-CONDOMINIUM,48.0,302841.0, ,184074
1018-R1,57 LORIMER STREET,63,,3-02368-0029,D1-ELEVATOR,225418,1916.0,59.51,16,8.25,299168,1910,21.15,D1-ELEVATOR,R4-CONDOMINIUM,29.0,206745.0,"567,889",264621
0021-R1,131 DIVISION AVENUE,13,1900.0,3-02408-0012,D9-ELEVATOR,331200,1905.0,86.39,19,10.04,312813,1910,25.27,D9-ELEVATOR,R4-CONDOMINIUM,20.0,237870.0,"199,357",320307
1114-R1,937 UNION STREET,35,2003.0,3-01281-0027,D9-ELEVATOR,352344,1915.0,68.13,22,9.31,417651,1927,19.35,D9-ELEVATOR,R4-CONDOMINIUM,16.0,135050.0,"298,688",572312
0629-R1,5120 19 AVENUE, ,,3-06552-0070, ,501600,1931.0,38.46,28,12.79,149591,1924, ,D1-ELEVATOR,R4-CONDOMINIUM,41.0,238298.0, ,454800
1571-R1,2803 OCEAN PARKWAY,58,2006.0,3-08723-0410,D1-ELEVATOR,302087,1951.0,117.03,34,10.7,1564359,1951,15.05,D1-ELEVATOR,R4-CONDOMINIUM,132.0,1053590.0,"261,252",548863
0145-R1,529 CLINTON STREET, ,1900.0,3-00436-0020, ,127812,1900.0,111.64,15,5.25,164196,1920, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,128332.0, ,120367
