latitude,longitude,manhattan_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_year_built,comparable_rental_1_gross_sqft,manhattan_condominiums_comparable_properties_year_built,comparable_rental_3_net_operating_income,comparable_rental_1_boro_block_lot,bbl,manhattan_condominiums_comparable_properties_building_classification,comparable_rental_2_gross_sqft,community_board,comparable_rental_2_year_built,comparable_rental_3_expense_per_sqft,comparable_rental_3_boro_block_lot
40.780284,-73.980401,36.81,36.64,1926,9185,1900.0, ,1-01124-0051,1011467504.0,R4-CONDOMINIUM,12012.0,7.0,1910.0, ,
40.730063,-74.006891,33.2,25.76,1926,14784,1920.0,"611,427",1-00584-0020,1006017501.0,R4-CONDOMINIUM,97290.0,2.0,1900.0,5.9,1-00588-0009
40.726165,-73.993127,40.72,55.29,1986,86746,2006.0,"596,093",1-00521-0001,1005307505.0,R4-CONDOMINIUM,122689.0,2.0,1985.0,11.79,1-00447-0051
40.733944,-74.005037,32.66,29.38,1900,21895,1893.0, ,1-00620-0068,1006207502.0,R2-CONDOMINIUM,23296.0,2.0,1880.0, ,
40.758677,-73.963774,36.0,38.2,1940,107485,1958.0, ,1-01311-0028,1013507501.0,R9-CONDOMINIUM,84000.0,6.0,1959.0, ,
40.757851,-73.965889,46.09,48.92,1982,225154,2003.0,"9,151,489",1-01349-0014,1013477501.0,R4-CONDOMINIUM,253256.0,6.0,1981.0,13.42,1-01332-0029
40.764673,-73.97012,39.5,41.4,1929,41692,1928.0, ,1-01379-0030,1013757501.0,R4-CONDOMINIUM,59701.0,8.0,1926.0, ,
40.719879,-74.007929,29.55,19.0,1900,33400,1915.0,"792,450",1-00180-0029,1001897508.0,R9-CONDOMINIUM,26712.0,1.0,1900.0,9.17,1-00504-0031
40.735209,-74.001086,38.87,50.09,1964,184645,1964.0, ,1-00559-0009,1006127504.0,R4-CONDOMINIUM,101231.0,2.0,1973.0, ,
40.765758,-73.988488,61.11,61.11,1910,12104,2007.0, ,1-01510-0017,1010637502.0,R4-CONDOMINIUM,,4.0,, ,
40.70991,-74.012177,21.88,28.62,1900,31118,1900.0,"368,672",1-00065-0020,1000527501.0,RR-CONDOMINIUM,58354.0,1.0,1900.0,11.5,1-00097-0026
40.763947,-73.966413,36.82,61.11,1910,12104,1915.0,"280,365",1-01510-0017,1013977502.0,R4-CONDOMINIUM,27124.0,8.0,1920.0,6.67,1-01517-0006
40.72109,-74.003745,36.76,39.36,2000,8250,2003.0, ,1-00419-0072,1002287501.0,R4-CONDOMINIUM,44256.0,2.0,1920.0, ,
40.75818,-73.964676,38.99,36.36,1957,204269,1960.0, ,1-01309-0050,1013497501.0,R9-CONDOMINIUM,174273.0,6.0,1968.0, ,
40.781538,-73.975807,38.07,42.8,1926,14680,1988.0, ,1-01150-0051,1011507502.0,R4-CONDOMINIUM,19303.0,7.0,1988.0, ,
40.743546,-73.982656,44.35,43.22,1920,18234,1920.0,"900,033",1-00885-0033,1008857501.0,R4-CONDOMINIUM,13000.0,5.0,1925.0,12.47,1-00885-0066
40.745032,-73.984265,37.78,37.78,1920,34545,1922.0,"1,681,099",1-00860-0015,1008607501.0,R4-CONDOMINIUM,58321.0,5.0,1930.0,16.51,1-00858-0014
40.736782,-73.993039,41.94,44.59,1907,41300,1907.0,"823,877",1-00818-0019,1008437501.0,R9-CONDOMINIUM,49408.0,5.0,1900.0,17.45,1-00846-0041
40.763839,-73.98499,31.23,28.43,1954,38542,1947.0,"608,604",1-01045-0050,1010437501.0,R4-CONDOMINIUM,29422.0,4.0,1920.0,7.35,1-01041-0038
40.756097,-73.964548,32.61,36.21,1930,13000,1941.0, ,1-01347-0034,1013467503.0,R4-CONDOMINIUM,25040.0,6.0,1926.0, ,
40.77554,-73.962685,41.14,44.27,1949,188810,1958.0, ,1-01390-0067,1013927501.0,R4-CONDOMINIUM,155544.0,8.0,1962.0, ,
40.727151,-73.978702,31.8,35.43,1920,10740,2001.0, ,1-00396-0026,1003947503.0,R2-CONDOMINIUM,9385.0,3.0,1900.0, ,
40.725929,-73.988787,37.67,39.83,1925,63158,1920.0, ,1-00469-0030,1004467502.0,R9-CONDOMINIUM,38498.0,3.0,1900.0, ,
40.794839,-73.974285,33.99,39.68,1925,37674,1902.0, ,1-01253-0035,1012537501.0,R4-CONDOMINIUM,31360.0,7.0,1931.0, ,
40.731591,-74.004954,26.56,41.01,1910,28635,1929.0,"151,129",1-00587-0046,1005877501.0,R2-CONDOMINIUM,12349.0,2.0,1910.0,11.6,1-00588-0039
40.727016,-73.993094,25.88,29.99,1900,20634,1900.0, ,1-00575-0013,1005307502.0,R4-CONDOMINIUM,11250.0,2.0,1920.0, ,
40.725173,-73.984191,37.27,39.25,2005,16454,1991.0, ,1-00449-0017,1004327501.0,R4-CONDOMINIUM,36000.0,3.0,2005.0, ,
40.729694,-73.988447,33.05,35.41,1930,12225,1900.0, ,1-00412-0008,1004647501.0,R4-CONDOMINIUM,38520.0,3.0,1920.0, ,
40.726149,-73.999441,35.38,29.55,1920,38880,2003.0, ,1-00504-0031,1005147505.0,R4-CONDOMINIUM,21740.0,2.0,1910.0, ,
40.745294,-73.97708,46.99,45.15,1975,182767,2007.0, ,1-00889-0039,1009157501.0,R4-CONDOMINIUM,251848.0,6.0,1981.0, ,
40.716863,-74.012207,45.58,49.57,2004,278142,2005.0, ,1-00016-0185,1001427502.0,R4-CONDOMINIUM,356483.0,1.0,2004.0, ,
40.751983,-73.967538,62.38,57.5,1975,580480,2000.0, ,1-01348-0049,1013407501.0,R4-CONDOMINIUM,353412.0,6.0,1979.0, ,
40.777053,-73.977928,39.15,35.28,1927,143791,1928.0, ,1-01124-0059,1011257501.0,R4-CONDOMINIUM,111854.0,7.0,1900.0, ,
40.719807,-73.983048,35.5,35.5,1900,38498,1950.0,"270,315",1-00348-0040,1003457502.0,R4-CONDOMINIUM,80500.0,3.0,1997.0,6.47,1-00373-0060
40.741961,-73.997214,39.41,39.27,1959,46812,1980.0, ,1-00767-0043,1007697503.0,R9-CONDOMINIUM,8525.0,4.0,2004.0, ,
40.741901,-73.998069,38.49,39.27,1959,46812,1939.0, ,1-00767-0043,1007687501.0,R4-CONDOMINIUM,22506.0,4.0,1920.0, ,
