queens_condominium_property_condo_section,queens_condominium_property_address,comparable_rental_2_total_units,bbl,comparable_rental_1_est_gross_income,comparable_rental_2_neighborhood,council_district,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_address
420-R1,132-59 41 ROAD,96.0,4050397501.0,947099,JAMAICA,20.0,17.58,90-05 161 STREET
334-R1,99-32 66 ROAD,102.0,4021187501.0,1593664,FOREST HILLS,29.0,12.69,102-50 62 ROAD
213-R1,139-76 35 AVENUE,40.0,4050027501.0,947099,FRESH MEADOWS,20.0,17.58,193-02 HOR HARDING EXPWY
561-R1,144-49 BARCLAY AVENUE,25.0,4050507502.0,1320010,LONG ISLAND CITY,20.0,25.2,10-28 JACKSON AVENUE
542-R1,10-55 47 AVENUE,25.0,4000477501.0,1176751,LONG ISLAND CITY,26.0,25.4,10-28 JACKSON AVENUE
279-R1,41-14 68 STREET,15.0,4013077501.0,175895,WOODSIDE,26.0,14.3,54-01 ROOSEVELT AVENUE
461-R1,116-24 GROSVENOR LANE,66.0,4033217504.0,1320010,REGO PARK,29.0,25.2,66-02 AUSTIN STREET
49-R4,5627A 184 STREET,54.0,4056707501.0,147428,DOUGLASTON,20.0,14.7,56-20 MARATHON PARKWAY
597-R1,50-09 2 STREET,27.0,4000167501.0,11898889,ASTORIA,26.0,25.5,27-10 ASTORIA BOULEVARD
568-R1,21-24 30 AVENUE,29.0,4005497501.0,625842,REGO PARK,22.0,25.6,99-22 67 ROAD
500-R1,178-36 WEXFORD TERRACE,29.0,4099377501.0,1465042,REGO PARK,24.0,26.9,99-22 67 ROAD
292-R1,78-10 153 AVENUE,72.0,4114407501.0,321230,FAR ROCKAWAY,32.0,15.56,29-03 BESSEMUND AVENUE
469-R1,104-19 39 AVENUE,17.0,4017757501.0,550569,REGO PARK,21.0,24.29,68-12 AUSTIN STREET
367-R1,54-09 108 STREET,24.0,4019557501.0,243802,CORONA,21.0,13.54,111-88 43 AVENUE
91-R1,122-15 25 ROAD,30.0,4042597501.0,178363,COLLEGE POINT,19.0,15.93,119-58 27 AVENUE
411-R1,714 SENECA AVENUE,29.0,4034567501.0,519388,REGO PARK,34.0,20.04,99-22 67 ROAD
549-R1,35-06 LEAVITT STREET,71.0,4049607501.0,1320010,FLUSHING-NORTH,20.0,25.2,137-02 NORTHERN BOULEVARD
590-R1,69-45 108 STREET,135.0,4022207501.0,2472884,FOREST HILLS,29.0,14.6,102-40 67 ROAD
489-R1,102-14 LEWIS AVENUE,29.0,4019417501.0,258382,REGO PARK,21.0,17.23,99-22 67 ROAD
56-R1,65-36 WETHEROLE STREET,61.0,4031007501.0,909584,REGO PARK,29.0,14.01,65-41 SAUNDERS STREET
88-R1,83-85 116 STREET,84.0,4033217501.0,2157939,KEW GARDENS,29.0,15.39,83-46 118 STREET
608-R1,2-40 51 AVENUE,52.0,4000157501.0,11898889,ASTORIA,26.0,25.5,31-64 21 STREET
255-R1,144-63 37 AVENUE,50.0,4050147501.0,751370,FLUSHING-NORTH,20.0,15.81,142-27 BARCLAY AVENUE
184-R1,84-10 101 STREET,16.0,4091777501.0,182000,WOODHAVEN,32.0,11.95,94-12 85 ROAD
433-R1,41-28 HAIGHT STREET,63.0,4050627501.0,947099,FLUSHING-NORTH,20.0,17.58,136-14 NORTHERN BOULEVARD
592-R1,30-27 30 STREET,52.0,4005937501.0,1369718,ASTORIA,22.0,22.2,31-64 21 STREET
100-R9,22-31 76 STREET,27.0,4010087501.0,327582,JACKSON HEIGHTS,22.0,12.68,37-33 80 STREET
308-R1,43-30 BEACH 46 STREET,77.0,,635900,SUNNYSIDE,,15.59,43-09 40 STREET
199-R1,36-20 168 STREET,90.0,4052947501.0,972565,FLUSHING-NORTH,19.0,14.56,36-14 165 STREET
211-R1,41-28 71 STREET,16.0,4013107501.0,176037,JACKSON HEIGHTS,26.0,17.47,37-28 75 STREET
251-R1,135-08 82 AVENUE,90.0,4096687501.0,927812,BRIARWOOD,24.0,14.81,142-02 84 DRIVE
93-R1,41-21 42 STREET,60.0,4001597501.0,1186373,SUNNYSIDE,26.0,14.12,41-22 42 STREET
449-R1,76-18 69 PLACE,49.0,4037067501.0,3467465,BRIARWOOD,30.0,20.9,141-24 84 DRIVE
