system,starea,department,volleyball,handball,primary_sport,zipcode,t_ball,nonregulation_soccer,pickleball,dimensions,maintenanceagreement,regulation_soccer,communityboard,track_and_field,surface_type
M220-BASEBALL-1,9730.305404663086,M-07,False,False,SFB,10025,True,False,,"60ft base path, 150-200ft fence",False,False,107,False,Synthetic
Q015-02-HANDBALL-1,1526.5703582763672,Q-16,False,True,HDB,11415,False,False,,Handball,False,False,482,False,Asphalt
Q005-05-HANDBALL-3,1265.695327758789,Q-12,False,True,HDB,11434,False,False,,Handball,False,False,412,False,Asphalt
M104-ZN01-BASEBALL-14,38263.13125610352,M-11,False,False,SFB,10035,False,False,,"60ft base path, 150-200ft fence",False,False,111,False,Natural
Q014-HANDBALL-5,1165.5598449707031,Q-01,False,True,HDB,11103,False,False,,Handball,False,False,401,False,Asphalt
M042-ZN01-TENNIS-3,2781.489501953125,M-12,False,False,TNS,10034,False,False,,Tennis,False,False,112,False,Asphalt
B017-BASKETBALL-2,3534.974838256836,B-04,False,False,BKB,11237,False,False,,Full Court,False,False,304,False,Asphalt
X092-ZN10-BASEBALL-1,38367.72999572754,X-13,False,False,SFB,10470,False,False,,"60ft base path, 150-200ft fence",False,False,226,False,Natural
M047-01-HANDBALL-2,1101.7725830078125,M-11,False,True,HDB,10029,False,False,,Handball,False,False,111,False,Asphalt
B092-TENNIS-6,2811.7588958740234,B-10,False,False,TNS,11228,False,False,,Tennis,False,False,310,False,Asphalt
R065-ZN08-TENNIS-5,2934.6568298339844,R-02,False,False,TNS,10314,False,False,,Tennis,False,False,502,False,Asphalt
B197-BASEBALL-1,4683.10546875,B-15,False,False,SFB,11229,False,False,,"60ft base path, 150-200ft fence",False,False,315,False,Asphalt
B032-ZN01-BASKETBALL-1,2533.710876464844,B-02,False,False,BKB,11201,False,False,,Full Court,False,False,302,False,Asphalt
Q102-02-BASEBALL-1,24506.039978027344,Q-05,False,False,SFB,11379,False,False,,"60ft base path, 150-200ft fence",False,False,405,False,Asphalt
Q099-ZN04-TENNIS-17,2826.012680053711,Q-15,False,False,TNS,11368,False,False,,Tennis,False,False,481,False,Asphalt
Q163-ZN07A-HANDBALL-14,2120.915084838867,Q-14,False,True,HDB,11694,False,False,,Handball,False,False,414,False,Asphalt
R046-06-HANDBALL-4,1199.5442504882812,R-02,False,True,HDB,10306,False,False,,Handball,False,False,595,False,Asphalt
B223J03-BASKETBALL-3,4577.432846069336,B-02,False,False,BKB,11201,False,False,,Full Court,False,False,302,False,Asphalt
X206-BASKETBALL-1,2811.5355072021484,X-03,False,False,BKB,10456,False,False,,,False,False,203,False,
B363-HANDBALL-3,1384.8118591308594,B-16,False,False,HDB,11212,False,False,,Handball,False,False,316,False,Asphalt
Q406-BASKETBALL-2,1097.9703369140625,Q-13,False,False,BKB,11413,False,False,,Half Court,False,False,413,False,Asphalt
Q389-BASKETBALL-7,1505.8702087402344,Q-14,False,False,BKB,11694,False,False,,Half Court,False,False,414,False,Asphalt
Q163-ZN05B-HANDBALL-6,1625.744873046875,Q-14,False,True,HDB,11693,False,False,,Handball,False,False,414,False,Asphalt
Q375-HANDBALL-1,1665.939712524414,Q-07,False,True,HDB,11357,False,False,,Handball,False,False,407,False,Concrete
B082-ZN03-BASEBALL-1,16705.46502685547,B-10,False,False,SFB,11209,True,False,,"45-60ft base path, less than 150ft fence",True,False,310,False,Natural
B258-HANDBALL-2,1201.652359008789,B-03,False,True,HDB,11233,False,False,,Handball,False,False,303,False,Asphalt
X039-ZN17-VOLLEYBALL-2,1754.8360900878906,X-15,True,False,VLB,10464,False,False,,Volleyball,False,False,228,False,Asphalt
B377-BASEBALL-2,19318.28273010254,B-16,False,False,SFB,11212,True,False,,"60ft base path, 150-200ft fence",False,False,316,False,Natural
Q162J01-HANDBALL-3,1307.6402587890625,Q-14,False,True,HDB,11691,False,False,,Handball,False,False,414,False,Asphalt
X163-BASKETBALL-1,960.3514862060548,X-11,False,False,BKB,10461,False,False,,Half Court,False,False,211,False,Asphalt
B125-01-BASKETBALL-2,4346.684875488281,B-13,False,False,BKB,11214,False,False,,Full Court,False,False,313,False,Asphalt
Q092-HANDBALL-4,1021.4454040527344,Q-10,False,True,HDB,11420,False,False,,Handball,False,False,410,False,Asphalt
M069-HANDBALL-1,1940.4041900634768,M-02,False,True,HDB,10012,False,False,,Handball,False,False,102,False,Asphalt
Q131-01-TENNIS-1,2756.759262084961,Q-05,False,False,TNS,11378,False,False,,Tennis,False,False,405,False,Asphalt
Q427-VOLLEYBALL-1,1763.386474609375,Q-12,False,False,VLB,11434,False,False,,Volleyball,False,False,412,False,Asphalt
B331-HANDBALL-3,1357.0838775634766,B-13,False,True,HDB,11224,False,False,,Handball,False,False,313,False,Concrete
Q357B-BASKETBALL-3,3816.4737701416016,Q-06,False,False,BKB,11374,False,False,,Full Court,False,False,406,False,Asphalt
B127-BASKETBALL-2,4291.370422363281,B-01,False,False,BKB,11206,False,False,,Full Court,False,False,301,False,Asphalt
M144-ZN04-BASEBALL-1,38270.35726928711,M-15,False,False,SFB,10002,True,False,,"60ft base path, 150-200ft fence",False,False,103,False,Synthetic
M124-HANDBALL-1,1300.5346069335938,M-03,False,True,HDB,10003,False,False,,Handball,False,False,103,False,Asphalt
Q340-HANDBALL-4,1040.4656982421875,Q-02,False,True,HDB,11104,False,False,,Handball,False,False,402,False,Asphalt
B058-ZN04-TENNIS-9,663.7725219726562,B-01,False,False,TNS,11222,False,False,,Tennis,False,False,301,False,Asphalt
B274-HANDBALL-1,1591.3614044189453,B-18,False,True,HDB,11236,False,False,,Handball,False,False,318,False,Asphalt
X162-HANDBALL-2,1073.1044158935547,X-11,False,True,HDB,10467,False,False,,Handball,False,False,211,False,Asphalt
Q163-ZN07A-HANDBALL-12,1710.7366790771484,Q-14,False,True,HDB,11694,False,False,,Handball,False,False,414,False,Asphalt
Q127-HANDBALL-2,1665.6629791259766,Q-12,False,True,HDB,11433,False,False,,Handball,False,False,412,False,Asphalt
Q300A-01-HANDBALL-4,1330.900619506836,Q-11,False,True,HDB,11365,False,False,,Handball,False,False,411,False,Asphalt
Q082-HANDBALL-1,1190.6283111572266,Q-13,False,True,HDB,11429,False,False,,Handball,False,False,413,False,Asphalt
B166C-ZN02-BASEBALL-4,45700.82537841797,B-13,False,False,BSB,11214,False,False,,"90ft base path, 200+ft fence",False,False,313,False,Natural
Q422-BASKETBALL-3,1167.5873413085938,Q-14,False,False,BKB,11694,False,False,,Half Court,False,False,414,False,Asphalt
Q371-BASEBALL-1,7459.685546875,Q-14,False,False,SFB,11691,False,False,,"60ft base path, 150-200ft fence",False,False,414,False,Natural
B058-ZN02-HANDBALL-3,1056.0412139892578,B-01,False,True,HDB,11211,False,False,,Handball,False,False,301,False,Asphalt
B111A-BASKETBALL-3,2411.9733276367188,B-06,False,False,BKB,11215,False,False,,Full Court,False,False,306,False,Asphalt
M213-HANDBALL-2,1550.2223358154297,M-11,False,True,HDB,10029,False,False,,Handball,False,False,111,False,Asphalt
Q327-HANDBALL-3,940.6659545898438,Q-13,False,True,HDB,11426,False,False,,Handball,False,False,413,False,Asphalt
M037-ZN04-BASKETBALL-1,3541.7754974365234,M-12A,False,False,BKB,10040,False,False,,Full Court,False,False,112,False,Asphalt
M104-ZN02-TENNIS-3,2757.85466003418,M-11,False,False,TNS,10035,False,False,,Tennis,False,False,111,False,Rubber
X113-BASKETBALL-1,4273.760223388672,X-02,False,False,BKB,10474,False,False,,Full Court,False,False,202,False,Asphalt
B192A-TRACK-1,36972.822265625,B-10,False,False,TRK,11209,False,False,,Track,False,False,310,False,Rubber
M033-HANDBALL-1,1833.261657714844,M-03,False,False,HDB,10002,False,False,,Handball,False,False,103,False,Asphalt
X169-BASKETBALL-1,4392.0404052734375,X-12,False,False,BKB,10467,False,False,,Full Court,False,False,212,False,Asphalt
Q347-HANDBALL-2,1525.622589111328,Q-07,False,True,HDB,11354,False,False,,Handball,False,False,407,False,Asphalt
B223P05-BASKETBALL-3,1256.8843841552734,B-01,False,False,BKB,11211,False,False,,Half Court,False,False,301,False,Asphalt
B239-TENNIS-2,1619.6848602294922,B-15,False,False,TNS,11235,False,False,,Tennis,False,False,315,False,Asphalt
B016-02-BASEBALL-1,34413.58850097656,B-04,False,False,SFB,11237,False,False,,"60ft base path, 150-200ft fence",False,False,304,False,Asphalt
R038A-HANDBALL-3,989.8341217041016,R-02,False,True,HDB,10306,False,False,,Handball,False,False,502,False,Asphalt
Q390-TENNIS-3,2881.2511596679688,Q-07,False,False,TNS,11357,False,False,,Tennis,False,False,407,False,Asphalt
B058-ZN02-HANDBALL-11,984.2418670654296,B-01,False,True,HDB,11211,False,False,,Handball,False,False,301,False,Asphalt
Q021-ZN02-TENNIS-17,2723.2516479492188,Q-08,False,False,TNS,11423,False,False,,Tennis,False,False,408,False,Asphalt
M014-02-HANDBALL-1,1170.5199584960938,M-10,False,True,HDB,10039,False,False,,Handball,False,False,110,False,Asphalt
Q007-01-HANDBALL-3,1275.3750457763672,Q-14,False,True,HDB,11691,False,False,,Handball,False,False,414,False,Asphalt
