property_id,property_name,non_refrigerated_warehouse_3,k_12_school_computer_density,parking_gross_floor_area,retail_store_open_or_closed,supermarket_grocery_number_2,onsite_renewable_system,retail_store_walk_in,parking_open_parking_lot,generation_date,council_district,retail_store_cash_register,bin,address_2,senior_care_community_number_4,data_center_it_energy,electricity_onsite_renewable,senior_care_community_number_5,latitude,green_power_offsite_kwh,retail_store_percent_that,hospital_general_medical_6,k_12_school_percent_that,national_median_source_eui,water_alerts,percent_better_than_national_1,residence_hall_dormitory_2,date_property_last_modified,diesel_2_use_kbtu,k_12_school_high_school,medical_office_weekly,non_refrigerated_warehouse_2,metered_areas_energy,residence_hall_dormitory_1,energy_star_score,district_chilled_water_use,indoor_water_intensity_all,estimated_data_flag_fuel_2,energy_star_certification_3,hotel_gross_floor_area_ft,onsite_renewable_system_1,senior_care_community_number_6,hotel_percent_that_can_be,weather_normalized_site_eui,hospital_general_medical_2,hospital_general_medical_1
2503329,Walter & Samuels 419 Park Ave South,Not Available,Not Available,Not Available,Not Available,3,Not Available,Not Available,Not Available,2013-04-27T09:51:21.000,2.0,Not Available,1018236.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.743799,Not Available,Not Available,Not Available,Not Available,308.3,Less than 1 year of data<br>,-29.9,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,80,0,25.95,No,2012,Not Available,Not Available,Not Available,Not Available,94.9,Not Available,Not Available
2550559,30 Vesey Street,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-05-07T16:15:58.000,1.0,0.3,1001237.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.711977,Not Available,100,Not Available,Not Available,164,Less than 1 year of data<br>,Not Available,Not Available,30-APR-12,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2563021,"1480 Popham Realty, L.L.C.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-21T13:51:51.000,13.0,Not Available,2048553.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.852799,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,134.3,Not Available,Not Available
2552853,Sisters of Charity (SEM),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-04T17:18:44.000,50.0,Not Available,5132507.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.598453,Not Available,Not Available,Not Available,Not Available,Not Available,Less than 1 year of data<br>,Not Available,Not Available,03-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70.6,Not Available,Not Available
2600390,Hampton House Company LP,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-04-23T11:00:04.000,40.0,Not Available,3118790.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.640593,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79.4,Not Available,Not Available
2594233,Pepsi Cola Avenue D,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-03-19T14:17:35.000,42.0,Not Available,3000000.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.649985,Not Available,Not Available,Not Available,Not Available,107.5,Not Available,427.4,Not Available,28-FEB-13,Not Available,Not Available,Not Available,0,No Selection Made,Not Available,1,0,58.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,299.9,Not Available,Not Available
2493544,120 Fifth,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-29T13:48:48.000,3.0,0.21,1015419.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.738077,Not Available,100,Not Available,Not Available,247.4,Not Available,-8.7,Not Available,25-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,58,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77.4,Not Available,Not Available
2038377,1544,Not Available,Not Available,Not Available,0,Not Available,Not Available,0,Not Available,2013-04-29T10:43:51.000,29.0,0.18,4050415.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.73017,Not Available,100,Not Available,Not Available,198.6,Not Available,-16.3,Not Available,10-APR-13,Not Available,Not Available,Not Available,Not Available,No Selection Made,Not Available,63,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51.6,Not Available,Not Available
1548267,STATEN ISLAND (2006),Not Available,Not Available,305427,0.31,Not Available,Not Available,0.05,0,2013-04-19T13:10:21.000,51.0,0.23,5149742.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.527705,Not Available,100,Not Available,Not Available,318.9,Less than 1 year of data<br>,-28.6,Not Available,14-APR-13,Not Available,Not Available,Not Available,Not Available,Whole Facility Energy Consumption,Not Available,75,0,11.87,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82.4,Not Available,Not Available
2605879,Brush Ave,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2013-03-19T14:17:35.000,13.0,Not Available,2125844.0,Not Available,Not Available,Not Available,Not Available,Not Available,40.819779,Not Available,Not Available,Not Available,Not Available,122.3,Not Available,50.3,Not Available,27-FEB-13,Not Available,Not Available,Not Available,10,No Selection Made,Not Available,21,0,3.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87.3,Not Available,Not Available
