property_name,address_1,worship_facility_gross_floor,weather_normalized_site_eui,financial_office_gross_floor,performing_arts_gross_floor,alert_data_center_issue_with,office_percent_that_can_be,year_built,office_weekly_operating_hours,weather_normalized_site,electricity_use_generated_1,ambulatory_surgical_center,estimated_values_water,weather_normalized_source_1,last_modified_date_property,national_median_site_eui,annual_maximum_demand_meter,parent_property_name,energy_star_certification_2,residence_hall_dormitory,hotel_percent_that_can_be,fuel_oil_4_use_kbtu,estimated_data_flag_fuel,source_eui_kbtu_ft,generation_date,account_id,water_use_intensity_all_water,direct_ghg_emissions_metric,hospital_general_medical_5,difference_from_national_1,irrigated_area_ft,list_of_all_property_use,difference_from_national,multifamily_housing_resident,number_of_buildings,electricity_use_grid_purchase,estimated_data_flag_district,parking_gross_floor_area,borough,data_center_pdu_input_meter,multifamily_housing_number_3,alert_energy_meter_has_single,annual_maximum_demand_mm,diesel_2_use_kbtu,national_median_reference,source_energy_use_kbtu,weather_normalized_site_3,third_party_certification_2,address_2,national_median_source_energy,hospital_general_medical,source_energy_use_adjusted
322 Partners Pro,322 Eighth Avenue,,62.8,,,Ok,100.0,1925,50.0,10.9,,,No,27052719.5,04/03/2018 02:04 PM EDT,107.5,,,Yes,,,,No,141.2,2018-04-04T00:00:00.000,69538,8.64,306.6,,-44.0,,"Office, Other",-44.0,,1,7147906.8,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,26739453.3,2067119.0,,,47788349.3,,26739453.3
1901 Ocean Parkway - Sephardic Community Center,1901 Ocean Parkway,,210.1,,,Ok,,1981,,22.7,,,Unable to Check (not enough data),33155927.8,02/23/2018 10:39 AM EST,77.5,,,No,,,,,381.1,2018-02-23T00:00:00.000,41987,,605.1,,169.5,,Other - Education,169.5,,1,6712632.4,,,BROOKLYN,,,Ok,,,CBECS - Education,33040548.3,1967359.8,,,12261559.9,,
New York Palace,455 Madison Avenue,,179.9,,,Ok,,1980,,12.2,,,No,253106793.7,03/16/2018 04:35 PM EDT,123.3,,,No,,100.0,,,282.0,2018-03-20T00:00:00.000,4078,74.13,4261.6,,44.3,,Hotel,44.3,,1,37630698.8,No,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,252021300.8,10882361.0,,,174597047.6,,252021300.8
3075 Richmond Terrace,3035 Richmond Terrace,,,,,Ok,100.0,1912,40.0,,,,No,,02/22/2018 11:46 AM EST,25.0,,,No,,,,,15.3,2018-03-09T00:00:00.000,19508,1.38,7.6,,-74.4,,"Non-Refrigerated Warehouse, Office",-74.4,,1,260139.1,,,STATEN IS,,,Possible Issue,,,CBECS - Unrefrigerated Warehouse & Distribution Center,966370.6,,,,3777701.4,,
FDA Queens,158-15 Liberty Ave,,270.6,,,Ok,100.0,1999,115.16,33.6,,,No,144267317.3,03/12/2018 12:06 PM EDT,62.5,,,No,,,,No,516.9,2018-03-12T00:00:00.000,19742,49.92,2197.8,,319.8,,"Non-Refrigerated Warehouse, Office, Other, Parking, Refrigerated Warehouse",319.8,,1,31884092.5,,0.0,QUEENS,,,Ok,,,CBECS - Other,142413987.2,9270584.0,,,33920584.3,,
Duggal Visual Solutions - 27 West 23 St,27 West 23rd Street,,,,,Ok,,1915,,,,,Unable to Check (not enough data),,03/29/2018 05:35 PM EDT,59.6,,,No,,,,,,2018-04-02T00:00:00.000,46448,,0.0,,,,Adult Education,,,1,,,,MANHATTAN,,,Unable to Check (not enough data),,,CBECS - Education,,,,,14370452.0,,
939 Eighth Ave,939 Eigth Avenue,,,,,Ok,,1930,,,,,No,,03/04/2018 01:58 PM EST,80.4,,,No,,,,,254.3,2018-03-04T00:00:00.000,58761,,458.4,,98.8,,"Multifamily Housing, Supermarket/Grocery Store",98.8,,1,2420966.8,,,,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,14284457.1,,,,7185838.7,,
Hollywood Towers,3030 Middletown Rd,,60.6,,,Ok,,2012,,6.0,,,No,5424930.1,03/01/2018 02:09 PM EST,64.8,,,No,,,,,104.2,2018-03-01T00:00:00.000,101857,43.94,103.4,,-9.5,,Multifamily Housing,-9.5,,1,1039704.0,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,5309347.6,306479.9,,,5863552.7,,5309347.6
209 (211) east 43rd street,209 (211) East 43rd Street,,47.6,,,Ok,100.0,1928,65.0,9.8,,,Unable to Check (not enough data),21220724.9,03/12/2018 08:57 PM EDT,98.9,,,Yes,,,,,122.8,2018-03-12T00:00:00.000,53293,,132.6,,-51.0,,Office,-51.0,,1,6085451.0,,,,,,Ok,,,CBECS - Office & Bank/Financial,21729392.9,1736065.1,,,44346460.8,,21729392.9
34-24 Hunters Point Avenue,34-24 Hunters Point Avenue,,68.2,,,Ok,,1954,,0.1,,,No,4727753.5,04/03/2018 05:13 PM EDT,116.3,,,No,,,,,64.4,2018-04-03T00:00:00.000,53293,4.22,210.8,,-47.7,,Other,-47.7,,1,16213.8,,,QUEENS,,,Ok,,,CBECS - Other,4218085.0,4976.5,,,8064427.9,,
