property_id,address_1,natural_gas_use_therms,last_modified_date_gas_meters,data_center_energy_estimates_applied,supermarket_grocery_number_of_open_or_closed_refrigeration_freezer_units,district_chilled_water_use_kbtu,hospital_general_medical_surgical_licensed_bed_capacity,data_center_pdu_input_meter_kwh,estimated_data_flag_district_steam,multifamily_housing_government_subsidized_housing,hospital_general_medical_surgical_number_of_staffed_beds,third_party_certification_date_anticipated,hospital_general_medical_surgical_mri_density_number_per_1_000_sq_ft,social_meeting_hall_gross_floor_area_ft,office_gross_floor_area_ft,multifamily_housing_number_of_residential_living_units_in_a_mid_rise_building_5_9_stories,property_gfa_self_reported_ft,office_percent_that_can_be_heated,senior_living_community_gross_floor_area_ft,fuel_oil_4_use_kbtu,nyc_borough_block_and_lot_bbl,number_of_active_it_meters,weather_normalized_source_eui_kbtu_ft,generation_date,food_service_gross_floor_area_ft,data_center_gross_floor_area_ft,medical_office_weekly_operating_hours,hotel_gross_floor_area_ft,green_power_onsite_and_offsite_kwh,energy_star_score,data_center_ups_system_redundancy,other_gross_floor_area_ft,hospital_general_medical_surgical_laboratory,multifamily_housing_gross_floor_area_ft,municipally_supplied_potable_water_total_use_all_meter_types_kgal,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,financial_office_number_of_workers_on_main_shift,estimated_values_energy,weather_normalized_site_electricity_kwh,occupancy,electricity_use_generated_from_onsite_renewable_systems_kwh,multifamily_housing_number_of_laundry_hookups_in_common_area_s,restaurant_gross_floor_area_ft,fuel_oil_1_use_kbtu,outdoor_water_use_all_water_sources_kgal,latitude,weather_normalized_source_energy_use_kbtu,ambulatory_surgical_center_gross_floor_area_ft,_3rd_largest_property_use_type,source_energy_use_kbtu,data_center_it_equipment_input_meter_kwh,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kwh,construction_status,property_gfa_calculated_buildings_ft,district_steam_use_kbtu,medical_office_number_of_computers,estimated_data_flag_electricity_grid_purchase,third_party_certification,longitude,retail_store_number_of_walk_in_refrigeration_freezer_units
1634643,4140 Hutchinson River Park East,348.0000001,04/12/2021 02:33 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,147600,Not Available,Not Available,Not Available,2051350200,0,103.8,2021-05-28T17:13:14.000,Not Available,Not Available,Not Available,Not Available,0.0,76,Not Available,Not Available,Not Available,Not Available,Not Available,64.4,70.5,Not Available,No,514599.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.864196,15324680.5,Not Available,Not Available,14234284.1,Not Available,Not Available,Existing,147600.0,Not Available,Not Available,No,Not Available,-73.817352,Not Available
1633653,149-11 Melbourne Avenue,36606.99987,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,210100,Not Available,Not Available,Not Available,4065070200,0,98.8,2021-05-28T17:12:38.000,Not Available,Not Available,Not Available,Not Available,0.0,78,Not Available,Not Available,Not Available,Not Available,Not Available,45.1,49.7,Not Available,No,1642399.8,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.73439,20754807.8,Not Available,Not Available,19748794.6,Not Available,Not Available,Existing,210100.0,Not Available,Not Available,No,Not Available,-73.821392,Not Available
1634117,8 Henry Street,31762.00171,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87680,Not Available,Not Available,Not Available,1002790040,0,93.2,2021-05-28T17:12:57.000,Not Available,Not Available,Not Available,Not Available,0.0,83,Not Available,Not Available,Not Available,Not Available,Not Available,52.6,61.5,Not Available,No,420799.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.71276,8170281.4,Not Available,Not Available,7355165.0,Not Available,Not Available,Existing,87680.0,Not Available,Not Available,No,Not Available,-73.997489,Not Available
1633195,93-11 101 1st Avenue,41629.99847,04/12/2021 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,187325,Not Available,Not Available,0,4090670001,0,69.3,2021-05-28T17:13:10.000,Not Available,Not Available,Not Available,Not Available,0.0,87,Not Available,Not Available,Not Available,Not Available,23.2,37.8,39.6,Not Available,No,869180.2,100,Not Available,Not Available,Not Available,Not Available,Not Available,,12976602.6,Not Available,Not Available,12522281.7,Not Available,Not Available,Existing,187325.0,Not Available,Not Available,No,Not Available,,Not Available
1677104,1301 Avenue of the Americas,621761.886,05/11/2021 01:13 PM EDT,100% Yes,Not Available,Not Available,Not Available,0,No,Not Available,Not Available,Not Available,Not Available,Not Available,1994933,Not Available,2030239,100,Not Available,Not Available,1-01005-0029,1,140.8,2021-05-14T12:33:13.000,Not Available,16957,Not Available,Not Available,0.0,76,N+1,Not Available,Not Available,Not Available,16088.7,87.3,87.3,Not Available,No,15054869.4,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.761244,285860794.1,Not Available,Data Center,285860794.1,0,Not Available,Existing,2030239.0,63794643.8,Not Available,No,Not Available,-73.979457,0
1836464,250 West 18th Street,10506.99991,04/12/2021 02:42 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48953,Not Available,Not Available,Not Available,1007670068,0,135.7,2021-05-28T17:12:02.000,Not Available,Not Available,Not Available,Not Available,0.0,45,Not Available,Not Available,Not Available,Not Available,0.9,59.9,65.1,Not Available,No,551999.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.741657,6641439.7,Not Available,Not Available,6376822.3,Not Available,Not Available,Existing,48953.0,Not Available,Not Available,No,Not Available,-73.999307,Not Available
1633395,850 Grand Street,335.0000174,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,504000,Not Available,Not Available,18050563.8,3030160001,0,75.3,2021-05-28T17:11:37.000,Not Available,Not Available,Not Available,Not Available,0.0,92,Not Available,Not Available,Not Available,Not Available,Not Available,47.7,53.6,Not Available,No,1749600.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.712184,37952729.6,Not Available,Not Available,34981224.7,Not Available,Not Available,Existing,504000.0,Not Available,Not Available,No,Not Available,-73.939722,Not Available
1836696,160 Beach 29th Street,66583.99816,04/12/2021 02:53 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,167480,Not Available,Not Available,Not Available,4158200001,0,100.6,2021-05-28T17:11:44.000,Not Available,Not Available,Not Available,Not Available,0.0,82,Not Available,Not Available,Not Available,Not Available,1314.5,59.2,63.4,Not Available,No,954319.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.593834,16846033.6,Not Available,Not Available,16108511.7,Not Available,Not Available,Existing,167480.0,Not Available,Not Available,No,Not Available,-73.76174,Not Available
1836498,400 Pennsylvania Avenue,144121.0012,04/12/2021 02:50 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,274800,Not Available,Not Available,Not Available,3037880001,0,97.3,2021-05-28T17:12:47.000,Not Available,Not Available,Not Available,Not Available,0.0,76,Not Available,Not Available,Not Available,Not Available,967,65.5,71,Not Available,No,1047599.9,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.667456,26741772.8,Not Available,Not Available,25141057.2,Not Available,Not Available,Existing,274800.0,Not Available,Not Available,No,Not Available,-73.894747,Not Available
1819837,15-30 Petracca Place,24662.72058,03/24/2021 12:17 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92705,Not Available,Not Available,Not Available,4-04125-0001,0,127.6,2021-03-28T14:41:55.000,Not Available,Not Available,Not Available,Not Available,0.0,Not Available,Not Available,Not Available,Not Available,Not Available,1037.5,60.5,65.1,Not Available,No,920156.4,100,Not Available,Not Available,Not Available,Not Available,Not Available,40.783399,11831327.1,Not Available,Not Available,11380392.9,Not Available,Not Available,Existing,92705.0,Not Available,Not Available,No,Not Available,-73.827742,Not Available
