uid,latitude,longitude,ct2020,servarea,policeprct,facdomain,facname-opabbrev
001f05131cec6b8bdc655e1a08aca598,40.6865384374,-73.9865146468,4100.0,Local,84,"PARKS, GARDENS, AND HISTORICAL SITES",CUYLER PRESBYTERIAN CHURCH-nan
04ac4d8bfb0725c35eee1eb8f71a82a2,40.5153830244,-74.2089362433,19800.0,Regional,123,"PARKS, GARDENS, AND HISTORICAL SITES",BLOESSER'S POND STATE TIDAL WETLAND-NYSDEC
0044dad9cc9ef9acc1effbba08afa229,40.8751930398,-73.8616360226,37200.0,Local,47,"EDUCATION, CHILD WELFARE, AND YOUTH",BRONX ACADEMY OF HEALTH CAREERS-NYCDOE
00818df79a4d77c7e35df01f44be0dcc,40.8621662422,-73.9063475742,25500.0,Local,52,"EDUCATION, CHILD WELFARE, AND YOUTH",ST. DOMINIC'S TORCH-Non-public
039882df6dd280d31053a818b5ddead4,40.792808,-73.965908,18100.0,Local,24,"EDUCATION, CHILD WELFARE, AND YOUTH",RELLA'S SPIELHAUS-Non-public
013a63a688a996dc13507d96ea89800b,40.7489953875,-74.0002031727,9700.0,Local,10,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 033 CHELSEA PREP-NYCDOE
03e365d4d37361394ee0120868345524,40.749941648,-74.0007282581,9700.0,Local,10,"PARKS, GARDENS, AND HISTORICAL SITES",CHELSEA PARK-NYCDPR
0276f679ea32af0c3cf96cf50b4b198f,40.8282056722,-73.9090901612,18501.0,Local,42,"EDUCATION, CHILD WELFARE, AND YOUTH",DREAMYARD PROJECT INC-nan
044b70ab9de04c2d5edddbc07831754f,40.735168,-73.909116,24300.0,Regional,108,ADMINISTRATION OF GOVERNMENT,QUEENS CENTRAL REPAIR SHOP-NYCDSNY
00f3ff72a56df18198010578ad6c0ec5,40.8728550589,-73.9305900174,29700.0,Local,34,"EDUCATION, CHILD WELFARE, AND YOUTH",EMERSON PLAYGROUND-Non-public
00eaf452f583b3ece71d891002a9aaec,40.5962539337,-74.1305722192,18100.0,Local,122,"EDUCATION, CHILD WELFARE, AND YOUTH",JEWISH COMMUNITY CENTER OF STATEN ISLAND INC-nan
04c7dacf5ef23d3edd11b2d7d01ad299,0.0,0.0,,Local,0,"EDUCATION, CHILD WELFARE, AND YOUTH",POLICE ATHLETIC LEAGUE INC-nan
00c3e465c183122a472d300bdf99852d,40.5742642431,-73.9924418708,34200.0,Local,60,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 288 THE SHIRLEY TANYHILL-NYCDOE
001502a4cc9bdab567a0da8d6debdf9b,40.8454726638,-73.9122583107,22701.0,Local,46,"PARKS, GARDENS, AND HISTORICAL SITES",WALTON WALK-NYCDPR
03b0bde80e6dcc757f7886a59b936441,40.6915422392,-73.9898420622,900.0,Local,84,"EDUCATION, CHILD WELFARE, AND YOUTH",BRIDGE STREET DEVELOPMENT CORPORATION-nan
