final_x,hearing_public_dd,building,app_sq_ft,cb,hearing_public,cc,dohmh
985948,,372,240,Review Period Expired,,Review Period Expired,50057051.0
983863,,89,420,Recommend Approval,,Review Period Expired,50034098.0
984995,,119,355,Review Period Expired,,Review Period Expired,41529148.0
983108,,47,735,Pending Review,,Pending Review,
991437,,584,427,Review Period Expired,,Review Period Expired,41239252.0
980999,,88,178,Review Period Expired,,Review Period Expired,50054344.0
987083,2020-01-01T00:00:00.000,929,126,Recommend Approval,SWC Public Hearing,Pending Review,41652335.0
990579,,441,224,Pending Review,,Pending Review,41326189.0
986795,,665,364,Review Period Expired,,Review Period Expired,41151163.0
1010773,,6002,342,Review Period Expired,,Review Period Expired,40673089.0
982273,2020-03-18T00:00:00.000,78,237,Pending Review,SWC Public Hearing,Pending Review,50002454.0
1030692,,3000,511,Review Period Expired,,Review Period Expired,41249600.0
998659,2020-04-01T00:00:00.000,2007,623,Recommend Approval,SWC Public Hearing,Pending Review,50001013.0
985648,2019-11-13T00:00:00.000,349,149,Pending Review,SWC Public Hearing,Pending Review,41022886.0
989020,,545,162,Review Period Expired,,Review Period Expired,41364268.0
982213,2020-04-29T00:00:00.000,63,245,Pending Review,SWC Public Hearing,Pending Review,50002488.0
984412,,151,172,Pending Review,,Pending Review,41478531.0
983868,,206,150,Review Period Expired,,Review Period Expired,50060498.0
1004377,,223,438,Pending Review,,Pending Review,41477055.0
990345,,2309,139,Recommend Approval,,Review Period Expired,50056586.0
993873,,348,300,Review Period Expired,,Review Period Expired,50056175.0
993768,,2895,168,Recommend Approval,,Review Period Expired,40512129.0
985022,,167,133,Review Period Expired,,Review Period Expired,40384188.0
986190,,94,292,Review Period Expired,,Review Period Expired,41618840.0
9.85054E+5,,173,110,Review Period Expired,,Review Period Expired,40812973.0
985973,,1,560,Review Period Expired,,Review Period Expired,41703928.0
979956,,259,1253,Review Period Expired,,Review Period Expired,50001750.0
984835,,4902,191,Pending Review,,Pending Review,50049907.0
1005641,,18,216,Review Period Expired,,Review Period Expired,50057006.0
987394,,200,340,Pending Review,,Pending Review,500879778.0
990354,,50,183,Pending Review,,Pending Review,50095456.0
99849200.00%,,3612,180,Review Period Expired,,Review Period Expired,41645852.0
993101,,2791,548,Pending Review,,Pending Review,50088153.0
989170,2019-02-27T00:00:00.000,2061,288,Pending Review,SWC Public Hearing,Pending Review,41174407.0
997163,,1584,230,Recommend Approval,,Review Period Expired,50037443.0
991907,,636,328,Review Period Expired,,Review Period Expired,
986711,,49,140,Review Period Expired,,Review Period Expired,41568107.0
1.024802E+6,,1082,154,Review Period Expired,,Review Period Expired,41545054.0
992381,2020-03-04T00:00:00.000,20,176,Pending Review,SWC Public Hearing,Pending Review,50001109.0
991087,,64,60,Pending Review,,Pending Review,50007363.0
990326,2020-04-01T00:00:00.000,416,98,Pending Review,SWC Public Hearing,Pending Review,50064117.0
1033048,,6926,508,Pending Review,,Pending Review,50070069.0
995356,,1152,333,Pending Review,,Pending Review,40803550.0
975539,,8622,346,Recommend Approval,,Review Period Expired,41035072.0
990511,2020-02-26T00:00:00.000,442,180,Pending Review,SWC Public Hearing,Pending Review,40551234.0
988792,,111,200,Review Period Expired,,Review Period Expired,40983698.0
995718,,301,296,Pending Review,,Pending Review,41236517.0
997941,,1700,312,Review Period Expired,,Review Period Expired,50072534.0
996437,,1485,346,Pending Review,,Pending Review,50073006.0
975674,,9402,212,Review Period Expired,,Review Period Expired,50018845.0
983235,,470,762,Pending Review,,Pending Review,50052392.0
983382,,195,175,Review Period Expired,,Review Period Expired,50052263.0
983225,,305,253,Pending Review,,Pending Review,50057094.0
988207,,879,191,Pending Review,,Pending Review,41634004.0
991396,2020-01-08T00:00:00.000,267,641,Pending Review,SWC Public Hearing,Pending Review,50000229.0
979926,2020-04-15T00:00:00.000,28,320,Pending Review,SWC Public Hearing,Pending Review,41380930.0
995660,,142,266,Review Period Expired,,Review Period Expired,40858996.0
1005153,,3202,253,Review Period Expired,,Review Period Expired,50060606.0
987888,,824,275,Review Period Expired,,Review Period Expired,40698537.0
995986,,1417,481,Review Period Expired,,Review Period Expired,41204031.0
999482,2019-10-30T00:00:00.000,310,493,Pending Review,SWC Public Hearing,Pending Review,41543410.0
991062,,87,161,Pending Review,,Pending Review,41270972.0
981512,2019-07-24T00:00:00.000,412,178,Recommend Denial,SWC Public Hearing,Review Period Expired,50079734.0
1003733,,3102,289,Pending Review,,Pending Review,40551807.0
985162,2019-10-30T00:00:00.000,178,171,Pending Review,SWC Public Hearing,Pending Review,41561855.0
987951,,129,611,Pending Review,,Pending Review,40369810.0
1009880,,3713,140,Review Period Expired,,Review Period Expired,40370409.0
988754,,109,229,Review Period Expired,,Review Period Expired,40381720.0
997192,,1495,280,Pending Review,,Pending Review,40746574.0
992962,,945,105,Review Period Expired,,Review Period Expired,41671961.0
982757,,636,80,Review Period Expired,,Review Period Expired,40573715.0
1020539,,6320,412,Pending Review,,Pending Review,41379215.0
995226,,1149,269,Pending Review,,Pending Review,
986782,,356,117,Review Period Expired,,Review Period Expired,50054454.0
999284,2020-04-22T00:00:00.000,280,110,Pending Review,SWC Public Hearing,Pending Review,50075824.0
989309,2020-04-29T00:00:00.000,1900,604,Pending Review,SWC Public Hearing,Pending Review,41649130.0
987220,,401,108,Review Period Expired,,Review Period Expired,41347045.0
