latitude,longitude,cenblock20,permityear,bbl,floorsprop,centract20,addressst,dcpedited,:@computed_region_sbqj_enih,occ_init,zoningdst2,zoningdst1,geomsource,landmark,the_geom,job_desc
40.67041751015073,-73.98753670249168,360470137003001.0,2023.0,3010040015,3.0,36047013700.0,8 STREET,,50.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98753670249168, 40.670417510150585]}",CONVERT A TWO FAMILY TO ONE FAMILY DWELLING. PROPOSED VERTICAL ENLARGEMENT AND INTERIOR ALTERATION.
40.71667129891158,-73.95702805682456,360470553001001.0,2024.0,3023280023,4.0,36047055300.0,NORTH 6 STREET,,57.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.95702805682457, 40.716671298911436]}",THIS APPLICATION IS FILED FOR A 1 FAMILY 4 STORY RESIDENCE.
40.73577610902447,-74.00271643230043,360610073006000.0,2021.0,1006130038,5.0,36061007300.0,PERRY STREET,,3.0,Residential: Not Specified (RES),,R6,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-74.00271643230043, 40.735776109024314]}",
40.738186377234285,-73.98416139038302,360610068003000.0,,1008770052,4.0,36061006800.0,EAST 22 STREET,,7.0,Residential: Not Specified (RES),,C2-8A,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98416139038302, 40.73818637723414]}",
40.72368680388384,-73.98488158011072,360610032005000.0,2023.0,1003990001,5.0,36061003200.0,AVENUE A,,5.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98488158011072, 40.72368680388368]}",PROPOSED CHANGE OF USE & INTERIOR RENOVATION AT FIRST FLOOR AND CELLAR OF EXISTING 6 STORY BUILDING WITH CELLAR
40.7445032282996,-73.98936239283535,360610058001002.0,,1008280056,18.0,36061005800.0,WEST 27 STREET,,7.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.98936239283535, 40.744503228299465]}",APPLICATION FOR CHANGE OF USE AND OCCUPANCY ON THE 16TH FLOOR AS PER PLANS FILED HEREWITH.   WORK INCLUDES INTERIOR RENOVATION OF NON-LOAD BEARING PARTITIONS CEILINGS AND FINISHES.
40.556881,-73.920731,360810916036031.0,2022.0,4163500400,2.0,36081091603.0,BEACH 220 STREET,,58.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.920731, 40.55688099999984]}",Proposed new two story single family dwelling.
40.73751398115434,-74.00230638210697,360610077005000.0,2022.0,1006150027,4.0,36061007700.0,WEST 12 STREET,,3.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-74.00230638210697, 40.737513981154194]}",Conversion of multi-family to single family dwelling.
40.612253,-74.145498,360850189011006.0,2025.0,5004830010,3.0,36085018901.0,STEWART AVENUE,,75.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-74.145498, 40.61225299999986]}",CONSTRUCTION OF 3-STORY DETACHED TWO FAMILY DWELLING.
40.69408191053618,-73.94917847164434,360470253001001.0,2025.0,3017580053,4.0,36047025300.0,MARCY AVENUE,,51.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94917847164434, 40.694081910536035]}",VERTICAL AND HORIZONTAL ENLARGEMENT OF AN EXISTING 2 FAMILY 2 STORY BUILDING. ADDRESS STOP WORK ORDERs 3959840 AND 3959841 . ADDRESS VIOLATIONS 39113944L AND 39113940Y
40.83082354520827,-73.90037244022469,360050151003003.0,,2026630027,8.0,36005015100.0,BOSTON ROAD,,25.0,Empty Site,,R6,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.90037244022469, 40.83082354520811]}",
40.635968787657255,-73.90915511994938,360470956002004.0,,3080200066,3.0,36047095600.0,EAST 84 STREET,,42.0,Empty Site,,,BBL DOB MapPLUTO,,"{'type': 'Point', 'coordinates': [-73.90915511994938, 40.63596878765712]}",new 2 stories with basement and cellar residential building for 2 families
40.74689382200618,-73.9823741955421,360610074001000.0,,1008637501,28.0,36061007400.0,EAST 33 STREET,,8.0,Empty Site,C5-3,C5-2,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9823741955421, 40.74689382200603]}",NEW BUILDING
40.66439995,-73.88011366,360471116001009.0,,3043360013,3.0,36047111600.0,ELTON STREET,latitude/longitude,47.0,Empty Site,,,Lat/Lon DCP,,"{'type': 'Point', 'coordinates': [-73.88011366, 40.66439994999987]}",NEW (3) CLASS A APARTMENT
40.72952957357023,-73.97883676646,360610034001000.0,,1004070025,5.0,36061003400.0,EAST 14 STREET,,5.0,Residential: Not Specified (RES),,C1-6A,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.97883676646, 40.729529573570076]}",
40.75655538620473,-73.7759448896723,360811447001006.0,2022.0,4073070004,2.0,36081144700.0,206 STREET,,69.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.7759448896723, 40.756555386204575]}",Propose horizontal enlargement for existing one family building as per plan. Converting one family to two families. Obtain new C of O.
40.752730379872894,-73.88794715421686,360810285002001.0,,4012650011,6.0,36081028500.0,79 STREET,,73.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.88794715421686, 40.75273037987273]}",Adding laundry room to cellar of existing building. Plumbing work filed under separate DOB  Now application.
40.83308160534527,-73.92885621833321,360050189004001.0,,2025120004,4.0,36005018900.0,OGDEN AVENUE,,27.0,Empty Site,,R7-1,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.92885621833321, 40.833081605345114]}",
40.73229275294902,-73.98222268589781,360610048005001.0,,1009220020,5.0,36061004800.0,FIRST AVENUE,,7.0,Residential: Not Specified (RES),,C1-6A,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.98222268589781, 40.73229275294888]}",
40.626988,-73.986829,360470470002000.0,2023.0,3054850035,3.0,36047047000.0,54 STREET,,39.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.986829, 40.62698799999984]}",NEW THREE-STORY AND CELLAR - 1 FAMILY BUILDING
40.59815535858717,-73.79162165083534,360810964001003.0,,4160050104,2.0,36081096400.0,HILLMEYER ROAD,,58.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.79162165083534, 40.59815535858701]}",PROPOSED NEW 2-FAMILY DWELLING
40.74646569749698,-73.9067492043734,360810257001008.0,2022.0,4012280017,3.0,36081025700.0,57 STREET,,66.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.9067492043734, 40.746465697496824]}",PROPOSED NEW 3-STORY RESIDENCE FOR 3-DWELLING UNIT. OBTAIN A NEW CERTIFICATE OF OCCUPANCY.
40.823978,-73.900403,360050129012000.0,,2026780036,,36005012901.0,EAST 165 STREET,,25.0,Residential: Not Specified (RES),,R6,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.900403, 40.82397799999984]}",FILING FOR APPROVAL TO DEMOLISH EXIST. 2-STORY BUILDING
40.64354227221224,-73.94767512585204,360470826002004.0,,3049310042,2.0,36047082600.0,CLARENDON ROAD,,40.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94767512585204, 40.64354227221209]}",
40.803175065303726,-73.95782046483252,360610197021000.0,,1018470042,6.0,36061019702.0,MANHATTAN AVENUE,,18.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.95782046483252, 40.803175065303584]}",renovation of accessory recreation room on basement floor.  Amend certificate of occupancy on basement floor to add accessory recreation room.
40.78316218742739,-73.81369875744495,360811033001001.0,,4046860003,2.0,36081103300.0,150 STREET,,67.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.81369875744495, 40.78316218742726]}",CONVERT ONE FAMILY INTO TWO FAMILY DWELLING UNITS.  HORIZONTAL EXTENSION TO EXISTING BUILDING. OBTAIN A NEW C. OF. O
40.698152035481215,-73.91090248018136,360470439002004.0,2025.0,3033630017,4.0,36047043900.0,RIDGEWOOD PLACE,,53.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.91090248018136, 40.69815203548105]}",Proposed Extension for 4 story 2 dwelling units from a 1 story building to Obtain new C of O.
40.84726616216965,-73.89313915790956,360050375043002.0,2006.0,2030680138,3.0,36005037504.0,ARTHUR AVENUE,,31.0,Empty Site,,R7-1,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.89313915790956, 40.847266162169504]}",
40.686526,-73.803827,360810194002005.0,,4119270001,2.0,36081019400.0,141 STREET,,61.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.803827, 40.68652599999985]}",NEW TWO STORY AND CELLAR TWO FAMILY BUILDING.
40.67316101,-73.88306221,360471166003003.0,,3040180004,3.0,36047116600.0,ELTON STREET,latitude/longitude,47.0,Empty Site,,,Lat/Lon DCP,,"{'type': 'Point', 'coordinates': [-73.88306221, 40.67316100999985]}",HEREWITH FILING NEW BUILDING THREE STORIES WITH CELLAR TOTAL OF THREE DWELLING UNITS
40.863437118628944,-73.91760869371942,360610299003001.0,2022.0,1022037501,17.0,36061029900.0,WEST 206 STREET,,22.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.91760869371942, 40.863437118628795]}",New 17 story building.
40.6911429387912,-73.73539540723843,360810606002003.0,,4127630013,2.0,36081060600.0,227 STREET,,63.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.73539540723843, 40.69114293879106]}",FILING FOR ENLARGEMENT OF EXISTING ONE FAMILY RESIDENCE
40.69907910267958,-73.94444397911472,360470257003003.0,2025.0,3017260132,6.0,36047025700.0,THROOP AVENUE,,51.0,Empty Site,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94444397911474, 40.69907910267944]}",Proposed six (6) story + cellar and penthouse residential use building. (Tax lots 131 and 132 have been declared as one zoning lot).
40.635816,-73.944363,360470784001003.0,2024.0,3050080053,5.0,36047078400.0,EAST 34 STREET,,40.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.944363, 40.63581599999985]}",Proposed 5 story residential and community facility new buliding.
40.89710944275792,-73.87037463593597,360050449022002.0,,2033750008,2.0,36005044902.0,EAST 235 STREET,,30.0,Residential: Not Specified (RES),,R5,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.87037463593599, 40.897109442757774]}",
40.69246407049499,-73.99512442408367,360470007003001.0,2024.0,3002630022,4.0,36047000700.0,HENRY STREET,otherb_prop/classa_init/hotel_init/otherb_init/hotel_prop/classa_prop,54.0,,,,BIN DOB buildingfootprints,Yes,"{'type': 'Point', 'coordinates': [-73.99512442408367, 40.69246407049483]}",NEW CERTIFICATE OF OCCUPANCY FOR COMBINED APARTMENTS. NO CHANGE TO USE EGRESS OR OCCUPANCY
,,,,1000010001,7.0,,TEST STREET,,,,,,,,,testing for TFS ID 102084 { To Remove Text from System Generated Email For No Good Check}
40.7033965749146,-73.91983416261752,360470445002003.0,2023.0,3032480019,3.0,36047044500.0,DEKALB AVENUE,,53.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.91983416261752, 40.70339657491442]}",INTERIOR RENOVATION TO CONVERT EXISTING SIX (6) FAMILY HOUSE TO SEVEN (7) DWELLING UNITS.
40.712956,-73.940872,360470481003004.0,2024.0,3029190003,6.0,36047048100.0,BUSHWICK AVENUE,,56.0,Empty Site,,,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.94087200000001, 40.71295599999985]}",THIS APPLICATION IS FILED TO BUILD 6 FAMILY RESIDENCE 6 STORY BUILDING WITH CELLAR.
40.81318351815265,-73.94602407804793,360610226003003.0,,1019370027,5.0,36061022600.0,WEST 131 STREET,,20.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94602407804793, 40.8131835181525]}",ALT-CO FILED TO INCREASE THE TOTAL NUMBER OF DWELLING UNITS FROM NINE TO TEN UNITS. PROPOSED INTERIOR RENOVATION AS PER PLANS FILED. NEW C OF O TO BE OBTAINED.
40.59947253944317,-73.94394690658893,360470574002002.0,,3073600017,2.0,36047057400.0,GRAVESEND NECK ROAD,,36.0,,,,BIN DOB buildingfootprints,,"{'type': 'Point', 'coordinates': [-73.94394690658893, 40.59947253944302]}",Converting existing one family to two family with  Horizontal Enlargement. Obtain new C of O.
40.687816,-73.910158,360470413001002.0,2023.0,3034220065,,36047041300.0,SCHAEFER STREET,,53.0,Residential: 1-2 Family Houses (J-3),,R6,Lat/Lon geosupport,,"{'type': 'Point', 'coordinates': [-73.910158, 40.68781599999984]}",DEMO OF TWO FAMILY DWELLING
