des_addres,date_combo,bbl,build_oth,mat_third,mat_sec,style_prim,borough,shape_area,own_devel,build_type,use_orig
279 Clinton Street,1847,3003070001,0,0,0,Greek Revival,BK,690.55755939,Thomas Sullivan,Row House,Residential
495 East 16th Street,Not determined,3051800066,0,0,0,Not determined,BK,276.39995632,Not determined,Garage,"Outbuilding, garage"
547 10th Street,c. 1882,3010920071,0,0,0,Stripped neo-Grec,BK,1269.98422533,Daniel Doody,Row House,Residential
185 6th Avenue,1874 - 1875,3009510005,0,0,0,Italianate (late),BK,875.992036205,William Maguire,Row House,Residential
1254 Dean Street,c. 1895,3012130036,0,0,Sandstone,Queen Anne,BK,906.50794252,John A. Bliss,Row House,Residential
690 East 18th Street,c. 1920,3052380056,0,Asphalt Shingles,Clapboard,Not determined,BK,226.66057398,Carrie D. Macomber,Garage,"Outbuilding, garage"
904 President Street,c. 1880,3010680013,0,Terra Cotta,Brownstone,Queen Anne,BK,1037.22916783,Not determined,Row House,Residential
178 Clinton Street,1848,3002670041,0,0,0,Greek Revival,BK,1073.7315268,Lyman Sears,Row House,Residential
689 East 17th Street,c. 1910 - 1929,3052380023,0,Wood,Asphalt Shingles,Not determined,BK,456.981755753,Not determined,Garage,"Outbuilding, garage"
160 Washington Park,1874,3020720018,0,0,0,neo-Grec,BK,1401.99618334,Not determined,Multiple Dwelling,"Residential, multi-family"
644 10th Street,1887 - 1888,3010950012,0,0,0,Not determined,BK,1058.59613344,Thomas Brown,Row House,Residential
181 Stratford Road,1906,3051150055,0,0,Shingles,Medieval,BK,1974.18730966,Not determined,Free-standing House,"Residential, single-family"
256 Hancock Street,c. 1892,3018390015,0,0,Metal Cornice,Romanesque Revival,BK,1301.62383365,William H. Reynolds,Flats Building,"Residential, multi-family"
69 Hancock Street,c. 1880,3018320090,0,0,0,neo-Grec,BK,1122.3715662,Susanna E. C. Russell,Row House,Residential
819 Marcy Avenue,c. 1883,3018190007,0,0,0,Second Empire with alterations,BK,1007.01174395,Frederick C. Vrooman,Row House,Residential
990 St. John's Place,c. 1909,3012560026,0,0,0,Renaissance Revival,BK,1237.95083074,Frederick L. Hine,Two-family Residence,"Residential, multi-family"
136 Halsey Street,c. 1884,3018440029,0,0,0,neo-Grec,BK,702.887993333,John Fraser,Row House,Residential
988 Park Place (aka 190-200 Brooklyn Avenue),Not determined,3012420043,0,0,0,Not determined,BK,366.757893014,Not determined,Garage,"Outbuilding, garage"
138 Amity Street,c. 1850,3002960019,0,0,0,Italianate,BK,1252.43505987,Not determined,Row House,Residential
814 East 18th Street (aka 812-814 East 18th Street),Not determined,3066920074,0,0,0,Not determined,BK,238.971308005,Not determined,Garage,"Outbuilding, garage"
178 Halsey Street (aka 912 Marcy Avenue),c. 1888,3018440050,0,0,0,Queen Anne,BK,1687.93592031,John S. Frost,Store and Flats,"Mixed-use, commercial & residential"
574 11th Street,c. 1890,3010970010,0,Terra Cotta,Brownstone,Queen Anne,BK,840.45570589,Norris & Company,Row House,Residential
290 Lafayette Avenue,1878,3019470018,0,0,0,neo-Grec,BK,844.889480751,Nathan Stephens,Row House,Residential
106 Marlborough Road,Not determined,3050950036,0,0,0,Not determined,BK,413.105791066,Not determined,Garage,"Outbuilding, garage"
148 Gates Avenue,1877,3019820038,0,0,Rusticated Brownstone,Italianate,BK,914.57697998,Joseph A. Weeden,Row House,"Residential, single-family"
186 Maple Street,1909 - 1910,3050320036,0,0,Limestone,neo-Renaissance,BK,919.749009808,Realty Associates,Row House,Residential
107 Halsey Street,c. 1880 - 1882,3018380084,0,0,0,neo-Grec,BK,793.09705383,James Roper,Row House,Residential
388 Stuyvesant Avenue,1899,3016800039,0,0,Rough-faced Limestone,Italian Renaissance,BK,1343.2233427,Eli H. Bishop,Row House,Residential
384 Pacific Street (aka 110 Bond Street),c. 1852,3001890033,0,0,0,Vernacular,BK,1085.95699553,Not determined,Row House,Residential
131 Rutland Road,1898,3050350087,0,0,Brownstone,Romanesque Revival,BK,1085.68021701,Archibald McDicken,Row House,Residential
936 St Mark's Avenue,c. 1914,3012300017,0,0,Stone,Renaissance Revival,BK,5204.28765052,Novelty Building Company,Apartment Building,"Residential, multi-family"
991 St. John's Place (aka 987-997 St. John's Place; 1004 Sterling Place),c. 1921,3012490037,0,Granite,Stone,Neoclassical,BK,6147.54549578,St. Gregory Roman Catholic Church,School,"Religious, school, Roman Catholic"
187 Bainbridge Street,1884,3016810065,0,0,Stone,neo-Grec,BK,686.911084209,Kate Acor,Row House,Residential
298 Jefferson Avenue,c. 1889,3018340014,0,0,Metal Cornice,Romanesque Revival,BK,998.609361196,Arthur G. Stone,Row House,Residential
418 MacDonough Street,1901,3016760030,0,0,0,Renaissance Revival,BK,1029.92832094,Walter F. Clayton,Row House,Residential
1076 Lincoln Place,c. 1904,3012650025,0,0,Brick,Renaissance Revival,BK,990.994364501,Kingston Realty Company,Two-family House,"Residential, multi-family"
405 14th Street,1881 - 1882,3011000062,0,Wood,Stone,neo-Grec,BK,1024.29069345,Mary Wood & Charles Orville,Row House,Residential
121 St. Felix Street,c. 1859,3021120014,0,0,0,Italianate,BK,666.7859634,Not determined,Row House,Residential
1017 Lincoln Place,c. 1910,3012570085,0,0,0,Renaissance Revival,BK,1164.32529717,Michael F. Gleason,Two-family House,"Residential, multi-family"
137 Gates Avenue,c. 1864,3019650078,0,0,0,Italianate,BK,820.947647886,Not determined,Row House,Residential
504 8th Street,1908 - 1909,3010910011,0,0,0,neo-Italian Renaissance,BK,965.35348056,Louis Levy,Row House,Residential
834 Lincoln Place,c. 1902,3012620023,0,0,0,Renaissance Revival,BK,945.381685866,Thomas F. Martin,Row House,Residential
9 College Place (aka 48 Love Lane),1923,3002367503,0,0,0,Not determined,BK,6741.95833194,Not determined,Garage,"Commercial, garage"
416 Vanderbilt Avenue,c. 1872,3019590061,0,0,0,Italianate,BK,757.53502744,Thomas B. Jackson,Row House,Residential
1351 Bergen Street,c. 1902,3012160072,0,0,Metal Cornice,Renaissance Revival,BK,984.321606883,Wilfred Burr,Two-family House,"Residential, multi-family"
56 Decatur Street,1884,3018570059,0,0,0,Queen Anne,BK,494.000937068,Samuel S. Booth,Row House,Residential
153 Columbia Heights,1844,3002340032,0,0,0,Greek Revival,BK,1364.9842015,James & John Elwell,Row House,Residential
182 St. Mark's Avenue,c. 1889,3011510023,0,0,Brownstone,neo-Grec,BK,1194.84581145,Peter Kenney,Flats Building,"Residential, multi-family"
284 Sterling Street,1908 - 1910,3013200031,0,0,Limestone,neo-Renaissance,BK,857.12332182,Not determined,Row House,Residential
1388 Dean Street,c. 1876,3012150028,0,0,Wood Cornice,neo-Grec,BK,820.066376573,Stephen Newell,Row House,Residential
40 Orange Street,1880 - 1899,3002250015,0,0,0,Eclectic,BK,710.623629898,Not determined,Row House,Residential
885 St. John's Place,c. 1904,3012480053,0,0,0,Renaissance Revival,BK,1864.47341116,Julius Strauss & Samuel Charig,Flats Building,"Residential, multi-family"
25 Chester Court,c. 1911 - 1912,3050260172,0,Wood,Stucco,Tudor Revival,BK,828.78543517,Brighton Building Company,Row House,Residential
166 Columbia Heights,1844,3002080326,0,0,0,Greek Revival,BK,1698.24747905,Henry Pierrepont,Row House,Residential
1105 Lincoln Place,c. 1908,3012580080,0,0,0,Renaissance Revival,BK,1208.57685549,Michael F. Gleason,Two-family House,"Residential, multi-family"
43 Cheever Place,1873,3003220009,0,0,Stone,Italianate,BK,1472.87362968,Thomas Clyne,Apartment House,"Residential, multi-family"
449 14th Street,1890,3011010069,0,0,Brownstone,Not determined,BK,954.129811173,William Hawkins,Row House,Residential
55 Waldorf Court,c. 1907 - 1908,3066890055,0,Concrete Block,Asphalt Shingles,Colonial Revival with alterations,BK,1693.94652414,John R. Corbin Company,Free-standing House,"Residential, single-family"
118 St. Mark's Avenue,c. 1869 - 1880,3011500029,0,0,0,Italianate,BK,698.602372086,Not determined,Row House,Residential
304 Washington Avenue (aka 300-310 Dekalb Avenue),1875 - 1877,3019310022,0,0,0,French Second Empire,BK,1250.62821671,Joseph Townsend,Row House,Residential
810 Prospect Place,c. 1901,3012340007,0,0,Limestone,Renaissance Revival,BK,1632.90144455,John Fraser,Flats Building,"Residential, multi-family"
294 Washington Avenue,1876,3019170056,0,0,0,Italianate,BK,1331.33951949,Thomas Cassin,Row House,Residential
270 Clinton Avenue,c. 1910,3019150006,0,Wood Cornice,Stone,neo-Federal,BK,1477.86112326,Not determined,Row House,Residential
773 Carroll Street,1887,3010670063,0,0,0,neo-Grec,BK,1096.88806136,John Magilligan,Row House,Residential
414 Clermont Avenue,c. 1856,3019580039,0,0,Brownstone,Transitional Greek Revival / Italianate,BK,1094.43710418,Aquila B. England,Residential Structure,Residential
219 Congress Street,1852 - 1853,3002970035,0,0,Brownstone,Italianate,BK,1321.6396982,Henry Hungerford,Row House,Residential
531 11th Street,c. 1891 - 1893,3010940063,0,0,Brownstone,Romanesque Revival,BK,1006.96251281,Annie Benton,Flats Building,"Residential, multi-family"
899 Sterling Place,c. 1894,3012410060,0,0,Stone,Romanesque Revival,BK,800.111165379,Faustino Lozano,Row House,Residential
151 Decatur Street,c. 1888,3016740078,0,0,Pressed Metal Cornice,Queen Anne,BK,1065.93044997,Hannah E. Stoutenburg,Flats Building,"Residential, multi-family"
123 6th Avenue,c. 1880,3009420007,0,0,0,Italianate with alterations,BK,841.250205428,Not determined,Row House,Residential
241 Clermont Avenue,c. 1867 - 1868,3020920010,0,0,0,Italianate,BK,1057.6165999,Joseph H. Townsend,Row House,Residential
435 Washington Avenue,c. 1864,3019630016,0,0,Stone,Italianate,BK,824.188628134,Not determined,Row House,Residential
535 1st Street,1915,3010750062,0,0,0,Not determined,BK,1318.05967787,Louis Bonert,Row House,Residential
51 7th Avenue,1871 - 1872,3010590004,0,0,0,French Second Empire,BK,1111.54160565,Philip I. Cootey,Row House,Residential
1200 Dean Street (aka 1198-1200 Dean Street; 593-607 Nostrand Avenue),c. 1897,3012130005,0,0,Terra Cotta,Romanesque Revival,BK,11276.3783162,Bedford Presbyterian Church,Church,"Religious, church, Presbyterian"
98 Greene Avenue,c. 1862,3019600036,0,0,0,Italianate,BK,884.68322218,Jeremiah Paine,Row House,Residential
410 Vanderbilt Avenue,c. 1872,3019590058,0,0,0,Italianate,BK,772.424304359,Thomas B. Jackson,Row House,Residential
272 Vanderbilt Avenue,c. 1871,3021050035,0,Slate,Wood Cornice,French Second Empire,BK,875.142414534,Not determined,Row House,Residential
82 Henry Street,Not determined,3002260026,0,0,0,Not determined,BK,1789.58867683,Not determined,Commercial Building,Commercial
597 4th Street,1908,3010810048,0,0,0,Not determined,BK,1197.5978071,Otto Singer,Town House,Residential
471 East 16th Street,1901,3051800074,0,Synthetic Siding,Wood Siding,Colonial Revival,BK,1716.43636245,William Frederick Steinmetz,Free-standing House,"Residential, single-family"
305 Hicks Street,1880 - 1899,3002610006,0,0,0,Eclectic,BK,1264.81883434,Not determined,Row House,Residential
271 Clinton Street,1847,3003070005,0,0,0,Greek Revival,BK,697.969679498,Thomas Sullivan,Row House,Residential
234 Decatur Street,1894 - 1897,3016800011,0,0,0,Italian Renaissance,BK,1353.98404062,Not determined,Row House,Residential
852 Prospect Place,c. 1895,3012340026,0,0,Roman Brick,Romanesque Revival,BK,1113.94135808,J. G. Butler,Row House,Residential
471 9th Street,c. 1880,3010900058,0,0,Wood Cornice,neo-Grec,BK,728.443521772,Henry Lansdell,Row House,Residential
123 Berkeley Place,1874,3009510066,0,0,Rusticated Brownstone,neo-Grec,BK,999.102232749,Robert S. Bussing,Row House,Residential
78 MacDonough Street,1888,3018550009,0,0,0,French neo-Grec,BK,994.3632083,Augusta M. C. Young,Row House,Residential
484 Henry Street,c. 1868,3003220062,Commercial Building,0,0,Not determined,BK,871.814066064,Not determined,Garage,"Outbuilding, garage"
844 Union Street,1884 - 1885,3010650018,0,0,0,neo-Grec,BK,1020.26025925,Not determined,Row House,Residential
490 9th Street,c. 1891,3010920024,0,0,Brownstone,Queen Anne with alterations,BK,951.07884183,D. Doody,Row House,Residential
133 MacDonough Street,1903,3018520049,0,0,Rusticated Stone,French Beaux-Arts,BK,2064.10802508,Chauncey G. Cozine,Apartment House,"Residential, multi-family"
884 Sterling Place,c. 1889,3012480020,0,0,Pressed Metal,neo-Grec,BK,829.934695913,Joseph P. Puels,Row House,Residential
124 Hancock Street,c. 1883,3018370045,0,0,0,neo-Grec,BK,998.677076253,Susanna E. C. Russell,Row House,Residential
239 Jefferson Avenue,c. 1884,3018280066,0,0,Wood Cornice,neo-Grec,BK,1067.34048571,George Phillips,Row House,Residential
21 Maple Street,1922,3050280094,0,0,Wood,neo-Georgian,BK,934.766225054,Stephen Woris,Semi-detached House,Residential
510 Halsey Street,c. 1886,3016650025,0,0,Brownstone,neo-Grec,BK,927.283962914,Gilbert De Revere,Row House,Residential
127 Fort Greene Place,c. 1857,3021130011,0,0,0,Not determined,BK,1023.12534869,Not determined,Row House,Residential
130 State Street,1846,3002750036,0,0,0,Greek Revival,BK,1386.98611924,Alfred Hoyt,Row House,Residential
