project_name,project_description_type,expected_construction_end_date_op,latest_permit_extension_amendment_issuance_date,permit_amendment_content,modified,scoping_response_due_date_op,conditional_letter_issued,created,actual_construction_end_date_op,forestry_permit_id_number,borough,impacted_park_name_s,address_intersection,original_permit_expiration_date,exploratory_permit_id,construction_manager_company_op,contract_value_op,scoping_initiated_kick_off_op,construction_kickoff_op
"Complex Pedestrian Ramps Upgrades, Boroughs of Brooklyn and Manhattan","Sidewalk corner quadrant modification for installation of new pedestrian ramps along with pavement restoration along the curb, relocation of street light poles, traffic signals, drainage structures and other incidental work.",,,,2020-10-05T16:24:00.000,,,2020-10-05T16:24:00.000,,,Brooklyn;#Manhattan,,Multi-site,,,,,,
School Safety Program 4 - Rochester Avenue at Carroll street and at East New York Avenue,Pedestrian safety sidewalk improvements along school routes.,,,,2019-12-29T16:49:00.000,,,2018-02-16T17:28:00.000,,I17-012E2,Brooklyn,Lincoln Terrace / Arthur S. Somers Park;GREENSTREET;,Rochester Avenue and East New York Avenue,2018-09-30T00:00:00.000,,,,,
New Gate Station at Ditmars Boulevard,"Construction of a new gate station on the Grand Central Parkway, below Overlook Park. Slight impact to Overlook Park. GCP is NYSDOT-owned.",,2018-01-23T00:00:00.000,,2019-11-05T15:29:00.000,,,2017-09-19T17:07:00.000,,QP17-427,Queens,Overlook Park;,Ditmars Blvd & 96 St,2017-12-15T00:00:00.000,,,,,
Highline 76 11th Avenue,"Excavation and column extension under Highline 18th Street & 17th Street, 10th Avenue",,,,2019-11-05T14:57:00.000,,,2018-08-04T11:19:00.000,,,Manhattan,The High Line;,"76 11th Avenue, New York NY",2019-01-01T00:00:00.000,,,,,
"New Storm Sewer & Sanitary Sewer Extension, Sanitary Sewer & Water Main Replacement in Amboy Road (Underpass) & South Railroad Ave., etc.",Sewer and Water Mains,2019-09-10T00:00:00.000,2020-07-07T00:00:00.000,Amendment 2: installation of pedestrian cut-through in greenstreet.,2020-07-07T13:34:00.000,,,2017-10-09T11:28:00.000,,,Staten Island,,Amboy Rd and South Railroad Ave,2019-12-13T00:00:00.000,,,10000000.0,,
Maximization of Wet Weather Flow to Tallman Island Wastewater Treatment Plant,"Installation of a new and increased capacity sewer interceptor and regulator in Powell's Cove Park, and associated wetland and upland restoration.",,2015-11-06T00:00:00.000,Warranty and Maintenance of Plantings only,2019-11-05T15:09:00.000,,2015-09-09T00:00:00.000,2017-11-15T15:47:00.000,,QP12-221,Queens,Powell's Cove Park;,130 St & 11 Ave,2013-12-31T00:00:00.000,,,,,
Coney Island Rail Yard Flood Mitigation Project,New Cable Bridge & Replacement of Traction Power & Communication Cables / Ancillary Site Work,,,,2020-08-27T18:00:00.000,,,2019-03-12T16:33:00.000,,,Brooklyn,Belt Parkway/Shore Parkway;,,2021-03-26T00:00:00.000,,,310000000.0,,
Reconstruction of Victory Boulevard and Manor Road,Road Reconstruction,,,,2020-12-17T14:33:00.000,,,2020-12-17T14:33:00.000,,,Staten Island,,Victory Boulevard and Manor Road,,,,,,
DDC Contract PW348-71,Payson Avenue Playground - 269 Dyckman Street at West 207th Street and Seaman Avenue * one (1) geotechnical soil boring,,,,2019-11-05T15:07:00.000,,,2019-07-11T10:58:00.000,,,Manhattan,Inwood Hill Park;,,2019-10-01T00:00:00.000,,,,,
"Landscape Planting on Grand Central Parkway from 82nd to 111th Street for Visual Enhancement of the Corridor and Mitigation Impacts from the Rehabilitation of 94th Street Interchange in Queens County, NYC","Follow-up landscaping of parkway verges after X051.54, as well as Planeview Park. Associated fences and landscape features.",,,,2019-11-05T15:17:00.000,,2016-03-31T00:00:00.000,2016-06-23T14:20:00.000,2016-03-31T00:00:00.000,,Queens,Grand Central Parkway Extension;Planeview Park;,Grand Central Parkway & 94th Street,2016-03-15T00:00:00.000,,,2436325.0,,
Reconstruction of Rockaway Beach Boulevard between Beach 49th and Beach 54th,Roadway reconstruction plus some sewer work,,,,2020-08-31T08:55:00.000,,,2017-03-07T18:00:00.000,,,Queens,,Rockaway Beach Blvd & Beach 54 Street,,,,,,
Build (2) two retaining walls at the south side of building,Build (2) two retaining walls at the south side of building,,,,2019-11-05T15:08:00.000,,,2017-11-09T13:41:00.000,,,Queens,Rockaway Beach and Boardwalk;,,2017-05-15T00:00:00.000,,,,,
Installing companion seating steps in (2) locations High Line (22nd street / 23rd street),Installing companion seating steps in (2) locations High Line (22nd street / 23rd street),,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Manhattan,The High Line;,,2017-05-25T00:00:00.000,,,,,
"Replacement of Distribution Water Mains and Appurtenances in 61st Street between Maspeth Avenue and Borden Avenue, etc.","Replacement of Distribution Water Mains and Appurtenances in 61st Street between Maspeth Avenue and Borden Avenue, etc.",,,,2020-10-20T15:57:00.000,,,2020-10-20T10:27:00.000,,,Queens,,64th Street and Borden Avenue,,,,,,
PSAC II Temporary Parking Lot,Access and work to resurface existing Item 4 within an area used as a temporary parking lot for PSAC II staffers within a portion of Pelham Parkway.,,,,2019-11-05T15:11:00.000,,,2019-03-09T08:59:00.000,,BX-101,Bronx,Pelham Parkway;,,2018-12-31T00:00:00.000,,,,,
Roosevelt Island Tramway Roof Replacement,"Roof Replacement of Roosevelt Island tramway station, Manhtattan Side",,,,2020-03-17T11:43:00.000,,,2016-05-12T11:36:00.000,,,Manhattan,Tramway Plaza;,E 60 St and 2nd Av,2016-09-15T00:00:00.000,,,,,
