unique_key,incident_address,additional_details,resolution_description,intersection_street_1,status,incident_zip,:@computed_region_92fq_4b7q
67153548,1579 FLATBUSH AVENUE,Parked In 'No Standing' Area,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",HILLEL PLACE,Closed,11210,26
67214447,5-47 50 AVENUE,Parked On Sidewalk,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",5 STREET,Closed,11101,33
67277542,5-47 50 AVENUE,Parked On Sidewalk,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",5 STREET,Closed,11101,33
67271408,5-47 50 AVENUE,Parked On Sidewalk,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",5 STREET,Closed,11101,33
67205471,168-01 UNION TURNPIKE,Parked On Sidewalk,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",168 STREET,Closed,11366,24
67209052,34-25 109 STREET,Blocking Driveway,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",34 AVENUE,Closed,11368,21
67243568,771 48 STREET,Parked In Front Of Fire Hydrant,"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",7 AVENUE,Closed,11220,7
67201842,90-34 201 STREET,Blocking Driveway,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",90 AVENUE,Closed,11423,16
67263468,826 EAST 16 STREET,Parked In 'No Standing' Area,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",AVENUE H,Closed,11230,26
67222935,728 BARTHOLDI STREET,Blocking Driveway,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",CRUGER AVENUE,Closed,10467,2
