latitude,longitude,building,itin,wednesdayclose,tuesdayclose,citycouncildistrict,phone,isundayclose,:@computed_region_sbqj_enih,extension,communitydistrict,closedateiso,ithursdayopen,isaturdayopen,sundayopen,imondayclose,ycoordinate,tuesdayopen,saturdayopen
40.82657108860151,-73.84980176988991,947,Non-CAA ITIN,,2:00 PM,18,(718) 824-3838,,26,,209,2019-04-15T00:00:00.000,10.0,,,18.0,240455,10:00 AM,
40.6917476801098,-73.9880857572883,356,Non-CAA ITIN,7:00 PM,5:00 PM,33,(646) 981-6111,,54,,302,2019-04-15T00:00:00.000,12.0,9.0,,19.0,191299,10:00 AM,9:00 AM
40.745189638042966,-73.92590931000171,43-31,,5:00 PM,,26,(718) 784-0877,,66,7,402,2019-04-10T00:00:00.000,,,,,210778,,
40.7482120685223,-73.98197273525273,40,,,,2,(212) 683-4988,,9,,106,2019-04-11T00:00:00.000,9.5,,,,211871,,
40.74338530448636,-73.99391556232348,135,,,,3,(646) 486-4444,,7,,104,2019-04-12T00:00:00.000,,,,,210112,,
40.65022887206683,-73.95865764521642,885,Non-CAA ITIN,,,40,(718) 287-0010,,43,,314,2019-04-15T00:00:00.000,10.0,,,16.0,176175,,
40.69472459110605,-73.93518996690639,400,Non-CAA ITIN,,9:00 PM,36,(718) 919-5623,,52,,303,2019-04-15T00:00:00.000,19.0,13.0,,,192390,7:00 PM,1:00 PM
40.87487166904558,-73.86706003035614,3377,,,,12,(718) 881-5589,,30,,212,2019-04-12T00:00:00.000,,,,,258045,,
40.82764281911602,-73.89575424286306,1158,Non-CAA ITIN,,,17,(718) 882-4000,18.0,24,208,202,2019-04-10T00:00:00.000,,11.0,11:00 AM,,240827,,11:00 AM
40.71353618651898,-73.99634952937042,33,,,,1,(212) 964-6598,,2,,103,2019-04-13T00:00:00.000,,10.5,,,199237,,10:30 AM
40.65576192134303,-73.94458035788318,451,,6:00 PM,,40,(347) 682-5606,,44,,309,2019-04-15T00:00:00.000,,,,18.0,178193,,
40.744416063816544,-73.88609724376178,79-01,,7:00 PM,7:00 PM,25,(718) 784-0877,,68,7,404,2019-04-13T00:00:00.000,,10.0,,,210508,12:00 PM,10:00 AM
40.6963240221726,-73.97578040340693,101,Non-CAA ITIN,,8:00 PM,35,(718) 943-6956,,55,,302,2019-04-10T00:00:00.000,19.0,,,,192967,7:00 PM,
40.60389797077937,-73.75224733182567,1920,Non-CAA ITIN,,,31,(718) 327-5300,,59,,414,2019-04-15T00:00:00.000,10.0,,,,159390,,
40.83351218363294,-73.85824214443788,1985,,,,18,(718) 829-7830,,26,,209,2019-04-15T00:00:00.000,,,,14.5,242980,,
40.638890244516816,-73.95887725593367,961,Non-CAA ITIN,3:00 PM,3:00 PM,40,(347) 435-3287,,43,,314,2019-04-10T00:00:00.000,8.0,,,15.0,172044,8:00 AM,
40.703178732186544,-73.94076119664058,50,Non-CAA ITIN,,,34,(718) 453-8116,,56,,301,2019-04-15T00:00:00.000,,12.0,,,195469,,12:00 PM
40.67288811617305,-73.95428156585479,1476,Non-CAA ITIN,8:00 PM,,35,(718) 636-4938,,49,,308,2019-04-10T00:00:00.000,,11.0,,,184431,,11:00 AM
40.70644855960819,-74.01276086158806,50,Non-CAA ITIN,5:00 PM,5:00 PM,1,(212) 422-4430,,1,2190 or 2114,101,2019-04-15T00:00:00.000,9.0,,,17.0,196655,9:00 AM,
40.79574058253402,-73.93691911350425,333,Non-CAA ITIN,,,8,(646) 672-5200,,16,,111,2019-04-10T00:00:00.000,,,,,229193,,
40.59982719350412,-73.94745000210673,2401,,,,48,(347) 682-5606,17.0,36,,315,2019-04-15T00:00:00.000,,,12:00 PM,,157814,,
40.70652619626892,-73.94394663828676,153,Non-CAA ITIN,,3:00 PM,34,(718) 388-3176,,56,,301,2019-04-10T00:00:00.000,9.0,,,,196688,9:00 AM,
40.76502473111499,-73.99152739327033,742,,,,3,(212) 586-5098,,10,,104,2019-04-13T00:00:00.000,,10.0,,,217996,,10:00 AM
40.76516547320827,-73.8278904510837,35-01,No,,,20,,,67,,407,2019-02-09T00:00:00.000,,10.0,,,218094,,10:00 AM
40.699962821425096,-73.94844940068975,630,Non-CAA ITIN,7:30 PM,5:00 PM,36,(917) 267-5575,,51,,303,2019-04-10T00:00:00.000,,,,17.0,194296,9:30 AM,
