building,l1,xcoordinate,fridayopen,amendedreturn,:@computed_region_92fq_4b7q,selfemployed,iwednesdayclose,mappedaddress,showonmap,isundayopen,saturdayclose,ianydayclose,mondayclose,show311
1301,"""English, Spanish""",996080,,Yes,23,Yes,,"""1301 AMSTERDAM AVENUE, Manhattan NY, 10027""",Yes,11.0,6:00 AM,14.0,2:00 PM,Yes
2471,"""English, Spanish""",1011989,10:00 AM,No,29,Yes,,"""2471 Morris Avenue , Bronx NY, 10468""",Yes,,,16.0,,Yes
2010,English,1007084,9:00 AM,No,17,Yes,17.0,"""2012 Fulton Street, Brooklyn NY, 11233""",No,,,17.0,5:00 PM,No
12-15,"""English, Spanish, Chinese - Cantonese, Chinese - Mandarin, Bengali, Russian, Arabic""",1000146,9:00 AM,Yes,33,Yes,19.0,"""12-15 40th Avenue, Queens NY, 11101""",Yes,,5:00 PM,19.0,,Yes
207,"""English, Spanish""",992361,10:00 AM,Yes,23,Yes,,"""207 West 96th Street, Manhattan NY, 10025""",Yes,,2:00 PM,14.0,,Yes
519,"""English, Chinese - Cantonese""",1009174,,Yes,17,Yes,,"""519 Rockaway Ave,, Brooklyn NY, 11212""",Yes,,3:00 PM,18.0,,Yes
5711,English,1009879,,Yes,25,Yes,18.0,"""5711 Shore Front Parkway, Queens NY, 11692""",Yes,,3:00 PM,18.5,6:30 PM,Yes
50,"""English, Spanish, French""",1006994,,Yes,17,Yes,12.0,"""50 Legion Street, Brooklyn NY, 11212""",No,,,12.0,12:00 PM,No
227,English,987461,,Yes,32,Yes,,"""227 Madison Street, Manhattan NY, 10009""",Yes,,3:00 PM,18.0,,Yes
595,English,1009296,,Yes,43,Yes,21.0,"""595 Trinity Avenue, Bronx NY, 10455""",Yes,,1:00 PM,21.0,,Yes
451,English,999627,11:00 AM,Yes,11,Yes,18.0,"""451 Clarkson Ave, Brooklyn NY, 11203""",Yes,,,18.0,6:00 PM,Yes
290,"""English, Spanish""",984376,,Yes,10,Yes,,"""290 Ninth Avenue, Manhattan NY, 10001""",Yes,,,13.5,,Yes
876,English,1016911,,Yes,25,Yes,17.0,"""876 Schenck Avenue, Brooklyn NY, 11207""",No,,,17.0,5:00 PM,No
3350,"""English, Spanish""",1011698,,Yes,29,Yes,,"""3350 BAILEY AVENUE, Bronx NY, 10463""",Yes,,,14.0,,Yes
142-01,English,1040048,,No,46,Yes,,"""142-01 Rockaway Boulevard, Queens NY, 11436""",Yes,,4:00 PM,16.0,,Yes
1866,English,1012335,10:00 AM,No,22,Yes,,"""1866 Washington Avenue, Bronx NY, 10457""",Yes,,,13.0,1:00 PM,Yes
7708,"""English, Spanish""",984124,10:00 AM,Yes,44,Yes,18.0,"""7708 New Utrecht Avenue, Brooklyn NY, 11214""",Yes,,,18.0,5:00 PM,Yes
228,English,989307,11:00 AM,Yes,48,Yes,14.0,"""228 York Street, Brooklyn NY, 11201""",Yes,,,14.0,,Yes
106-01,"""English, Spanish""",1023839,,No,21,Yes,,"""106-01 Corona Avenue, Queens NY, 11368""",Yes,,,16.5,,Yes
201,English,1006885,,Yes,35,Yes,18.0,"""201 St. Anns Avenue, Bronx NY, 10454""",Yes,,,18.0,,Yes
630,English,998544,9:30 AM,Yes,49,Yes,19.5,"""632 Flushing Avenue, Brooklyn NY, 11206""",No,,,19.5,5:00 PM,No
54,"""English, Spanish""",1003854,,Yes,39,Yes,15.0,"""54 Nagle Avenue, Manhattan NY, 10040""",Yes,,,15.0,3:00 PM,Yes
115,"""English, Spanish""",1027079,,Yes,2,Yes,,"""1150 EAST 229 STREET, Bronx NY, 10466""",Yes,,,21.0,9:00 PM,Yes
3679,English,1000729,,Yes,8,Yes,,"""3679 Nostrand Avenue, Brooklyn NY, 11229""",Yes,,,20.5,,Yes
164-25,English,1039166,,No,20,Yes,,"""164-25 Northern Boulevard, Queens NY, 11358""",Yes,,,16.0,,Yes
546,"""English, Spanish""",998167,,Yes,1,Yes,,"""546 Main Street, Manhattan NY, 10044""",Yes,,,13.0,,Yes
5518,English,1005057,,Yes,17,Yes,,"""5518 Church Avenue, Brooklyn NY, 11203""",Yes,,,16.0,,Yes
2945,"""English, Spanish""",984425,6:00 PM,Yes,45,Yes,,"""2945 West 33rd Street, Brooklyn NY, 11224""",Yes,,3:00 PM,21.0,,Yes
45,"""English, Spanish""",1001508,9:00 AM,Yes,39,Yes,16.0,"""45 Wadsworth Avenue, Manhattan NY, 10033""",Yes,9.0,4:00 PM,19.0,,Yes
1474,English,1006581,10:00 AM,Yes,17,Yes,19.0,"""1474 Eastern Parkway, Brooklyn NY, 11233""",Yes,,,19.0,7:00 PM,Yes
524,English,987426,9:00 AM,Yes,19,Yes,18.0,"""524 West 59th Street, Manhattan NY, 10019""",No,,,18.0,4:00 PM,No
4100,"""English, Spanish""",1023002,,No,2,Yes,,"""4100 Lowerre Place, Bronx NY, 10466""",Yes,10.0,,16.0,,Yes
3450,"""English, Spanish""",1017094,11:00 AM,Yes,40,Yes,20.0,"""3450 DEKALB AVENUE, Bronx NY, 10467""",Yes,,,20.0,,Yes
20,"""English, Spanish""",984886,10:00 AM,Yes,32,Yes,,"""20 Washington Square North, Manhattan NY, 10011""",Yes,,,14.0,,Yes
4-25,"""English, Spanish, Arabic""",1002730,,Yes,4,Yes,,"""4-25 Astoria Boulevard, Queens NY, 11102""",Yes,,3:00 PM,18.0,,Yes
95-18,"""English, Spanish, Cantonese, Mandarin""",1019473,,Yes,21,Yes,19.0,"""95-18 Northern Boulevard, Queens NY, 11372""",Yes,,4:00 PM,19.0,7:00 PM,Yes
1000,"""English, Spanish""",1017262,,Yes,22,Yes,,"""1000 East 178th Street , Bronx NY, 10460""",Yes,,,19.0,,Yes
43-31,"""English, Spanish""",1004780,,Yes,33,Yes,17.0,"""43-31 39th Street, Queens NY, 11104""",Yes,,,17.0,,Yes
335,"""English, Spanish""",1001263,,No,35,Yes,,"""335 East 111th Street, Manhattan NY, 10029""",Yes,,4:00 PM,18.0,,Yes
121-18,"""English, Spanish, Hindi, Punjabi""",1033600,10:00 AM,No,46,Yes,,"""121-18 Liberty Ave, Queens NY, 11418""",Yes,,,17.0,5:00 PM,Yes
140,"""English, Spanish""",961156,,No,13,Yes,,"""140 Palma Drive, Staten Island NY, 10304""",Yes,,4:00 PM,16.0,,Yes
238,"""English, Spanish""",983526,,Yes,10,Yes,,"""238 Bleecker Street, Manhattan NY, 10014""",Yes,,,14.0,,Yes
2401,"""English, Spanish, Russian""",998843,,Yes,15,Yes,,"""2401 Avenue U,, Brooklyn NY, 11229""",Yes,12.0,,17.0,,Yes
337,"""English, Spanish""",1005430,,No,35,Yes,,"""341 Alexander Avenue, Bronx NY, 10454""",Yes,10.0,,16.0,,Yes
