fy_1998,fy_2020,fy_1993,fy_1999,fy_2013,fy_2014
16342323.0,22632222.0,2148507.0,8986370.0,17457928.0,"21,564,955"
192517023.0,367475387.0,252380574.0,228009297.0,588327500.0,"550,968,715"
13131332.0,30670351.0,0.0,17996076.0,19016176.0,"22,544,544"
588920652.0,1340847798.0,340612406.0,635531173.0,1031069008.0,"902,117,375"
7212069.0,36047008.0,3355005.0,8351174.0,55613084.0,"32,042,695"
300880329.0,437231370.0,141835269.0,342366516.0,519114661.0,"214,780,468"
22885913.0,18732228.0,28081639.0,17783651.0,110982239.0,"32,693,144"
4100219768.0,9773791536.0,3617041554.0,4819122315.0,8385332248.0,"7,902,710,745"
1227866940.0,2853275322.0,754288465.0,1558877623.0,1803434753.0,"2,106,963,730"
71019550.0,363424127.0,166724767.0,40707831.0,286065610.0,"196,990,071"
36356133.0,251882256.0,27932327.0,58176708.0,344075152.0,"301,331,069"
11192538.0,54151119.0,376302.0,3738232.0,58819493.0,"1,063,254"
154380497.0,449428385.0,228966665.0,248921961.0,485325755.0,"435,921,047"
