organizationname,phone,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude,N with address1,Y with address1
Veterans of Foreign Wars,8167563390.0,N,N,N,N,Y,N,N,N,Y,"Main Location: Kansas City, Missouri ",N,,,
Tourette Syndrome Association,7182242999.0,N,N,N,N,N,N,Y,N,N,,N,,42-40 Bell Blvd,
"YM & YWHA of Washington Heights and Inwood, Inc.",212569620000.00%,N,Y,Y,N,Y,Y,Y,Y,N,,N,-73.929129,54 Nagle Avenue,
Americans for UNFPA,6466499100.0,N,N,N,N,Y,N,N,N,N,"Seattle, WA",N,-73.976641,370 Lexington Ave,
"Loisaida, Inc.",2123530272.0,Y,N,N,N,Y,N,N,N,N,,N,-73.978369,12 Avenue D,
Kurdish Library,7187837930.0,N,N,N,N,Y,N,N,N,N,,N,-73.966775,345 Park Place,
AAUW Manhattan,5.1631813130E+9,N,N,N,N,Y,N,N,Y,N,,N,,Planetarium Station,
City Year New York,2126758881.0,N,N,N,Y,Y,N,N,Y,N,,N,-73.990978,20 W 22nd street,
"Families First, Inc.",7182371862.0,N,Y,N,N,N,N,Y,N,N,,N,-73.994671,250 Baltic Street,
NYC Media Group,2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
The Children's Aid Society,2129494800.0,N,Y,Y,Y,Y,Y,N,Y,N,,N,-73.986215,,105 E. 22nd Street
Service Corps of Retired Executives. New York Chapter.,2122644507.0,N,N,N,Y,Y,N,N,N,N,,N,,"26 Federal Plaza, RM 3100",
NYC Children's Services,2126399675.0,Y,Y,N,N,Y,N,N,Y,N,,N,,,
International League for Human Rights,2126610480.0,N,N,N,N,Y,N,N,N,N,,N,-73.967954,"823 UN Plaza, Suite 717",
"Women's Project & Productions, Inc.",2127651706.0,N,N,N,Y,Y,N,N,Y,N,,N,-73.988681,55 West End Avenue,
"NYC Mayor's Office of Film, Theatre and Broadcasting",2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
Latin American Integration Center,7185658500.0,N,N,Y,N,N,N,N,N,N,,N,-73.915056,49-06 Skillman Avenue,
New York Presbyterian Hospital,2123268540.0,N,N,N,N,Y,N,N,N,N,,N,-73.971204,"16 East 60th St., Suite 321",
Edith and Carl Marks Jewish Community House of Bensonhurst,7183316800.0,N,Y,Y,Y,N,N,Y,Y,N,,Y,-73.989235,7802 Bay Parkway,
"Action Center for Education and Community Development, Inc",7183375040.0,Y,N,N,N,N,N,N,Y,N,,N,,1414 Wheatley Ave,
Savvy Ladies,6462168988.0,N,N,N,Y,Y,N,N,Y,N,,Y,-74.005764,"111 John Street, Suite 240",
Bronx River Art Center,7185895819.0,N,N,N,N,N,N,N,Y,N,,N,-73.878633,1087 East Tremont Avenue,
Global Action Project,212594957700.00%,N,N,N,N,Y,N,N,Y,N,,N,-73.983708,4 West 37th St,
Women of Color Quilters Network,2123165394.0,N,N,N,N,N,N,N,N,N,,N,-73.952907,113 Rogers Ave,
Queens Borough Public Library (Central),7189900809.0,N,N,N,N,N,N,N,Y,N,,N,-73.795295,89-11 Merrick Boulevard,
Scenarios USA,7182305125.0,N,N,N,N,N,N,N,Y,N,"Cleveland, OH and Madison Wisconsin",N,-73.974421,"80 Hanson Place, Suite 305",
"Jackson Heights-Elmhurst Kehillah, Inc.",7184574591.0,Y,N,Y,Y,N,Y,Y,Y,N,,Y,,"33-47 91st Street, FLR GND",
SHARE: Self-Help for Women with Breast or Ovarian Cancer,2129375573.0,N,N,N,N,Y,N,Y,Y,N,,N,-73.986193,1501 Broadway,
Queers For Economic Justice,2125643608.0,N,N,N,N,Y,N,N,N,N,,N,-73.986426,,16 W. 32nd Street
International Sheet Metal Workers Local Union 28,2127328199.0,N,N,N,N,Y,N,N,N,N,,N,-73.982515,"470 Park Avenue South, 3rd Fl",
"Inwood Community Services, Inc.",2129420043.0,N,N,N,N,Y,N,Y,N,N,,N,-73.924777,651 Academy Street,
New York Coalition of 100 Black Women,2125175700.0,N,N,N,N,Y,N,N,N,N,,N,,208 E. 79st.- Suite 250,
Henry Street Settlement Neighborhood Resource Center,2124712400.0,N,N,Y,N,Y,Y,Y,N,N,,Y,-73.984171,281 East Broadway,
Queens College/Asian/American Center,7189973050.0,N,N,Y,N,N,N,N,Y,N,,N,-73.814703,65-30 Kissena Blvd.,
"Sexuality Information & Education Council of the U.S., Inc.",2128199770.0,N,N,N,N,Y,N,N,Y,N,,N,,"130 West 42 St., Suite 350",
The Brecht Forum--New York Marxist School,212242420100.00%,N,N,N,N,Y,N,N,Y,N,,N,-74.009995,451 West St.,
Desmond Tutu Peace Foundation,2127505504.0,N,N,N,N,Y,N,N,Y,N,,N,-73.963893,205 E 64th St Rm 404,
"Ukrainian National Women's League of America, Inc.",2125334545.0,N,N,Y,N,Y,N,N,N,N,,Y,,203 Second Ave.,
Jewish Association for Services for the Aged (JASA),,N,N,Y,N,N,N,Y,Y,N,,N,,,
"MADRE, Inc.",2126270444.0,N,N,N,N,Y,N,N,N,N,,N,,"121 West 27 St., #301",
"Legal Outreach, Inc",2126909989.0,N,N,N,N,Y,N,N,Y,N,,N,-73.945426,402 West 145th Street,
ACCION New York,2123870377.0,N,N,N,N,Y,N,N,N,N,,Y,-73.993508,"115 West 23rd Street, 7th Fl",
