respondent_address_house,decision_location_borough,hearing_result,charge_3_code,charge_7_code,charge_4_code_description,violation_details,violation_location_borough,charge_2_code_description,charge_8_infraction_amount,violation_location_zip_code,charge_7_code_section,violation_location_house,charge_7_infraction_amount
,,,,,,Batch Insert,NOT NYC,,,11101.0,,,
,,,,,,Batch Insert,NOT NYC,,,11779.0,,,
2118,,,,,,,BRONX,,,10462.0,,,
,,,,,,Batch Insert,NOT NYC,,,10461.0,,,
1093,,,,,,,MANHATTAN,,,10022.0,,,
,,,,,,AT TIME OF INSPECTION OBSERVED JOB SITE CLOSED. THE SIDEWALK SHED INSTALLED ON WALKWAY AT EXPOSE ONE WITH MISSING INFORMATION PANEL AS REQUIRED. CREATED AN UNSAFE CONDITION. PROVIDE SIDEWALK SHED INFORMATION PA,QUEENS,,,11354.0,,131-28,
541,,,,,,,BROOKLYN,,,11205.0,,,
79-09,,,,,,"FTM: AT THE TIME OF INSPECTION, OBSERVED GROUND FLOOR COMMERCIAL SPACEOCCUOIED AND OPERATING AS A LAUNDROMAT. MULTIPLE AREAS OF THE CEILINGOBSERVED WATER-SOAKED AND STAINED DUE TO ACTIVE OR ONGOING WATER LEAK",QUEENS,,,11366.0,,79-09,
12613,,,,,,,QUEENS,,,11434.0,,,
,,,,,,AT TIME OF INSPECTION OBSERVED FACADE IN STATE OF DISREPAIR WITH METALTRIM MOLDING HANGING AND IN DANGER OF FURTHER COLLAPSE TO PEDESTRIANSIDEWALK AND BUS STOP AT EXP.2 LEFT SIDE OF BUILDING . ALSO DAMAGED P,BROOKLYN,,,11234.0,,2064,
290,,,,,,,MANHATTAN,,,10012.0,,,
141,,,,,,20260323N,MANHATTAN,,,,,989,
,,,,,,Batch Insert,NOT NYC,,,10455.0,,,
,,,,,,"AT TIME OF INSPECTION OBSERVED: CONSTRUCTION FENCE IN PLACE AT EXPOSURE 1-4. UPON REVIEW DEPARTMENT RECORD IT APPEARS WORK PERMIT HAS NOT YET BEEN ISSUED, CREATING AN UNSAFE CONDITION, NO SUPERVISION, NOT SAFE",BROOKLYN,,,11238.0,,927,
,,,,,,"ATOI OF AN ACTIVE NB, AN 11-STORY BUILDING, THE MAIN ENTRANCE THAT EXPO 1 WAS OBSERVED TO BE UNSECURED, NOT PADLOCKED, LEFT OPEN WITH NO SECURITY GUARD PRESENT.THE SITE WAS ACCESSIBLE TO THE PUBLIC WITH NO SA",MANHATTAN,,,10018.0,,489,
130,,,,,,"AT TIME OF INSPECTION, OBSERVED ACTIVE CONSTRUCTION WORK AFTER AUTHORIZED HOURS WITH STREET AREA BLOCKED OFF AND NO VALID DOT PERMIT POSTED.CONTRARY TO 3307.2.1 OBSTRUCTION OF STREETS, INCLUDING BICYCLE LANES",BRONX,,,10458.0,,354,
1127,,,,,,20260323N,BRONX,,,10462.0,,11,
11507,,,,,,,QUEENS,,,11418.0,,,
,,,,,,"AT THE TIME OF MY INSPECTION OF A 14-STORY NEW BUILDING, I OBSERVED CONSTRUCTION FENCING AT EXPOSURES 1 AND 3 WAS NOT MAINTAINED, WITH MISSING SECTIONS. THIS CONDITION CREATED A HAZARD TO WORKERS AND THE PUBLIC",QUEENS,,,11436.0,,144-06,
347,,,,,,20260323N,MANHATTAN,,,10002.0,,243,
20-22,,,,,,AT THE TIME OF MY INSPECTION OBSERVED SUPPORTED SCAFFOLD INSTALLE AT EXP 3 NEXT TO ADJ PROPERTY AT EXP 4 WORK NOT COMPLETE AT BALCONY AT EXP3 ABOVE ADJ PROPERTY-NO ADJ PROPERTY PROTECTION PROVIDED WHILE WORK O,QUEENS,,,11102.0,,28-08,
,,,,,,Batch Insert,NOT NYC,,,11105.0,,,
715,,,,,,,BRONX,,,10462.0,,,
,,,,,,"AT THE TIME OF MY INSPECTION OF A 14-STORY NEW BUILDING, I OBSERVED INADEQUATE HOUSEKEEPING AND MULTIPLE UNCOVERED FLOOR OPENINGS THROUGHOUTTHE JOB SITE, CREATING TRIPPING, FALLING, AND FALLING-DEBRIS HAZARDS",QUEENS,,,11436.0,,144-06,
2595,,,,,,,BRONX,,,10458.0,,,
396,,,,,,,BROOKLYN,,,11249.0,,,
358,,,,,,,BRONX,,,10454.0,,,
,,,,,,AT TIME OF INSPECTION OF A 4 STORY OCCUPIED BUILDING SIDEWALK SHED ERECTED EXPOSURE 1 UPON REVIEW DOB NOW AND BIS SYSTEM PERMIT EXPIRED SINCE 08 28 2025 AND HAS NOT RENEW AS PER CODE REQUIRED PERMIT NUMBER: X0,BRONX,,,10468.0,,2323,
65,,,,,,"NOTE: AT THE TIME OF INSPECTION OF AN ACTIVE CONSTRUCTION SITE, ONGOING FACADE OPERATIONS AND SUPPORTED SCAFFOLD DISMANTLING WERE OBSERVED.UPON REQUESTING THE SITE SAFETY COORDINATOR, A WORKER STATED THAT THE C",BROOKLYN,,,11205.0,,67,
1,,,,,,20260326N,BROOKLYN,,,,,86,
416,,,,,,,STATEN IS,,,10310.0,,,
11244,,,,,,,QUEENS,,,11368.0,,,
,,,,,,"ACTIVE 8-STORY NB, WITH ONGOING FACADE WORK. I OBSERVED EXTERIOR EXPOSURE 1, LARGE PIECES OF STYROFOAM MATERIAL ON THE PUBLIC SIDEWALK ROADWAY, SAME EXPOSURE. NEIGHBORING PROPERTY AT EXP 2 STYROFOAM PARTICLE",BRONX,,,10461.0,,3109,
5925,,,,,,"NEW 8 STORY BUILDING .OBSERVED SUPPORTED PIPE SCAFFOLD DEBRIS NETTINGNOT SECURED OBSERVED ON EXPOSURE 1 AND 2 AND 3,4 CORNER CREATING HAZARDS TO WORKERS AND PUBLIC IT IS CONTRARY TO BUILDING CODE BC 3314.",QUEENS,,,11377.0,,43-12,
460,,,,,,20260319N,BROOKLYN,,,,,,
81,,,,,,,BROOKLYN,,,11201.0,,,
4,,,,,,20260325N,MANHATTAN,,,,,,
594,,,,,,"FAILURE TO COMPLY WITH ZONING RESOLUTION FROM FRONT YARD PLANTING REQUIREMENTS . NOTED : AT TIME OF INSPECTION ,OBSERVED AT FRONT YARD 95 PERCENT OF THE PLANTING WAS REMOVED,AND REPLACED WITH CONCRETE AND BRICK",BROOKLYN,,,11234.0,,2368,
15310,,,,,,,QUEENS,,,11432.0,,,
480,,,,,,20260323N,MANHATTAN,,,10002.0,,27,
,,,,,,Case Edited,NOT NYC,,,33414.0,,,
,,,80-1,,,New Mail Request Received,NOT NYC,,,11377.0,,,
130,,,,,,"AT TIME OF INSPECTION, OBSERVED REQUIRED CONSTRUCTION AND SAFETY DOCUMENTS NOT MAINTAINED AT SITE AS REQUIRED. CONTRARY TO BC 3301.7, FAILURE TO HAVE REQUIRED DOCUMENTS AVAILABLE FOR REVIEW PREVENTS VERIFICATIO",BRONX,,,10458.0,,354,
,,,,,,"14-STORY BUILDING, I OBSERVED AN ACTIVE PARKING LOT AT EXP 1 IN CLOSEPROXIMITY TO THE STRUCTURE WITHOUT REQUIRED OVERHEAD PROTECTION OR ACONTROLLED ACCESS ZONE. THIS CONDITION CREATES A HAZARD TO THE PUBLIC",QUEENS,,,11436.0,,144-06,
3521,,,,,,,BRONX,,,10456.0,,,
,,,,,,20031105N,MANHATTAN,,,10016.0,,,
,,,,,,AT TIME OF INSPECTION OBSERVED JOB SITE CLOSED. THE SIDEWALK SHED ROOFPARAPET DAMAGE CONDITIONS. CREATED AN UNSAFE CONDITION FOR PEDESTRIANS. MAINTAIN SIDEWALK SHED. COMPLY WITH CODE,QUEENS,,,11354.0,,131-28,
75,,,,,,20260330N,MANHATTAN,,,,,,
,,,,,,NO NOTIFICATION OF INCIDENT WHERE MECHANICAL DEMOLITION CAUSED MATERIAL AND DEBRIS TO CRASH THROUGH CONSTRUCTION FENCE AND DAMAGING NEIGHBORING PROPERTY WAS MADE TO THE DEPARTMENT NOTIFY THE DEPARTMENT AS PER C,QUEENS,,,11101.0,,38-18,
70,,,,,,20260330N,MANHATTAN,,,,,1290,
563,,,,,,20260320N,BROOKLYN,,,,,,
12 60,,,,,,,MANHATTAN,,,10001.0,,,
1136,,,,,,20260323N,MANHATTAN,,,10013.0,,161,
520,,NONE,,,,,QUEENS,,,,,,
,,,,,,Batch Insert,NOT NYC,,,11420.0,,,
,,,,,,Batch Insert,NOT NYC,,,11226.0,,,
,,,,,,FAILURE TO PROVIDE ADEQUATE SAFETY MEASURE FOR ALL PERSONS. NEEDLE BEAM INSTALLED ON STAIRS LOBBY VERY CLOSED TO STEPS CREATED A TRIPPED HAZARD CONDITIONS. STOP USE OF EGRESS AT 3RD TO 4 FLOOR LEVEL. PROVIDE SA,QUEENS,,,11355.0,,132-15,
142-22,,,,,,NEW 9 STORY BUILDING . UPON EXTERIOR INSPECTION NOTED : HORIZONTAL NETTING HAS BEEN INSTALLED ON SITE . BUT NOT RETRACTED DURING NOT WORKINGHOURS CONTRARY TO BUILDING CODE 3308.6,QUEENS,,,11101.0,,25-08,
515,,,,,,"ADDITIONAL CLASS A APARTMENT CREATED AT BASEMENT INCLUDING RESIDENTIALGRADE KITCHEN SINK W FAUCET, BATHTUB W FAUCET, BATHROOM SINK AND LAVATORY INCLUDING PLUMBING WATER SUPPLY AND DRAIN PIPES, FITTINGS AND HAR",BRONX,,,10458.0,,275,
3297,,,,,,,STATEN IS,,,10312.0,,,
1217,,,,,,,BROOKLYN,,,11226.0,,,
,,,,,,Batch Insert,NOT NYC,,,11364.0,,,
3708,,,,,,20260323N,MANHATTAN,,,10022.0,,235,
75-35,,,,,,20260323N,QUEENS,,,11354.0,,37-20,
16,,,,,,,BRONX,,,10452.0,,,
,,,,,,Case Edited,NOT NYC,,,11378.0,,,
4,,,,,,20260401N,MANHATTAN,,,,,,
54-08,,,,,,20260323N,MANHATTAN,,,,,,
2166,,,,,,,MANHATTAN,,,10026.0,,,
,,,,,,Batch Insert,NOT NYC,,,11361.0,,,
,,,,,,Batch Insert,NOT NYC,,,11580.0,,,
282,,,,,,"INACTIVE JOBSITE, UPON INSPECTION, OBSERVED SUPPORTED SCAFFOLD BUILT ON TOP SIDEWALK SHED DECK, AFTER REVIEW OF BIS DEPARTMENT OF BUILDINGS DOB SYSTEM RECORDS CONFORM NO PERMIT WAS OBTAIN ON FILE FOR SCAF",BROOKLYN,,,11217.0,,282,
49,,,,,,ERECTING A RESIDENTIAL BUILDING AS PER PLAN .OBSERVED SUPPORTED PIPESCAFFOLD DEBRIS NETTING NOT SECURED ON EXPOSURE 1 3 ON DIFFERENT LOCATIONS CREATING HAZARDS FOR WORKERS AND PUBLIC IN CASE OF FALLING OBJ,QUEENS,,,11377.0,,58-01,
6847,,,,,,,QUEENS,,,11385.0,,,
,,,,,,Batch Insert,NOT NYC,,,11358.0,,,
