fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
PN4J-2023922-30114,NJ,,10017,2020,2023-09-22T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
I55I-202182-20226,GA,,10128,2014,2021-08-02T10:59:00.000Z,,13.0,45.06,4,24350,10250,34.0
NDC9-20221214-46660,NJ,,10017,1994,2022-12-14T05:30:00.000Z,19500.0,13.0,50.0,8,151400,19800,4.06
AEG7-2022929-35916,,,22222,2020,2022-09-29T07:00:00.000Z,21647.0,12.08,,8,156664,17798,5.05
E56Q-2023126-36397,NJ,,22222,2000,2023-12-06T15:00:00.000Z,6000.0,13.0,53.0,5,35000,6500,4.06
D82U-2022322-9444,PA,,10013,2022,2022-03-22T04:59:00.000Z,9477.0,13.06,40.0,5,44197,10076,30.1
TG9X-202331-9129,WA,,20000,2022,2023-03-01T15:00:00.000Z,6125.0,13.06,53.0,5,36500,6125,4.06
J3SK-2023929-30747,ME,5.0,22222,2007,2023-09-29T05:30:00.000Z,13807.0,13.06,73.0,12,164380,13810,4.02
DPAP-2021122-34871,GA,,11206,2015,2021-12-02T02:59:00.000Z,12447.0,13.06,53.0,5,56834,11620,4.06
C6BC-20221130-44313,PA,,11111,2023,2022-11-30T15:00:00.000Z,3000.0,9.03,58.0,5,32000,9000,4.06
MVY4-20221021-39416,NY,,10475,2006,2022-10-21T16:00:00.000Z,,8.06,50.0,4,55000,16000,36.06
M7M8-2022419-13696,GA,,11105,2021,2022-04-19T01:59:00.000Z,5080.0,13.06,45.0,5,34900,13660,32.0
I1CU-202323-5111,ME,,11111,2019,2023-02-03T05:30:00.000Z,5000.0,13.06,53.0,6,41000,10000,4.02
ZK8W-2022627-23142,PA,,22222,2018,2022-06-27T16:00:00.000Z,5000.0,12.08,48.0,6,42000,8000,4.04
IUB4-2021816-22014,NJ,,22222,2019,2021-08-16T05:30:00.000Z,18332.0,13.06,53.0,9,161660,18332,4.05
UAQ4-2023119-2323,ME,,11232,2020,2023-01-19T15:00:00.000Z,16750.0,13.05,53.0,5,79000,16750,4.06
C54X-2022117-41529,,,10459,2018,2022-11-07T21:00:00.000Z,,13.0,,2,27500,17500,
