pivot-metric,pivot-value,time_first_observed,days_parking_in_effect,violation_precinct,date_first_observed,house_number,from_hours_in_effect,meter_number,violation_post_code
plate_id,HHG8976,,Y,5,0,125,0800A,,022
unregistered_vehicle,,,Y,102,0,10505,0800A,,34
plate_id,GGK6604,,YYYYYYY,61,0,1303,,,46 3
unregistered_vehicle,,,Y,10,0,251,0800A,,20 6
unregistered_vehicle,,,,0,0,,,,
plate_id,48657JA,,,0,0,,,,
plate_id,89193MG,0502P,Y,19,0,1296,1000A,119-3004,56 7
unregistered_vehicle,,,YYYYY,19,0,680,0700A,,01 7
unregistered_vehicle,,,YYYYYYY,19,0,348,,,C
plate_id,PME5727,,YBBYBBB,42,0,1810,0800A,-,
unregistered_vehicle,,,,0,0,,,,
plate_id,EKU9602,,,0,0,,,,
unregistered_vehicle,,,,0,0,,,,
plate_id,DTZ584,,,0,0,,,,
plate_id,GJP6086,,,70,0,S,,,05 3
plate_id,HJJ7962,,YYYYYYY,19,0,344,,,29
unregistered_vehicle,,,Y,19,0,1605,0830A,,53
unregistered_vehicle,,,YYYYYYY,18,0,S,,,01 6
plate_id,2XG884,,,30,0,760,,,CCC
unregistered_vehicle,0.0,,BBBBBBB,71,0,602,ALL,-,
plate_id,AT785G,,Y,19,0,119,0700A,,CC1
plate_id,JH7410,,BBBBBBB,70,0,708,ALL,-,
plate_id,EMK6746,,BBBBBBB,109,0,142-38,ALL,-,
plate_id,T664076C,,YYYYYYY,42,0,412,,,A 21
unregistered_vehicle,,,YYYYYYY,79,0,414,,,CC2
unregistered_vehicle,,,,23,0,323,,,C 77
unregistered_vehicle,,,,0,0,,,,
plate_id,HLG4784,,YYYYYYY,110,0,86-22,,,G 41
plate_id,FHN6409,0424P,Y,104,0,58-12,0830A,409-3053,26
plate_id,GPJ6404,,YYYYY,19,0,175,0800A,,14
plate_id,GAM5437,1226P,Y,68,0,8413,0800A,309-1488,21
unregistered_vehicle,,1200P,,1,0,10,,,06 1
plate_id,19195MH,,YYYYY,18,0,1745,0700A,,05 6
unregistered_vehicle,,,Y  Y,83,0,2,0800A,,V
plate_id,88562MA,,YYYYYYY,115,0,35-50,,,20
plate_id,BEP3083,,Y  Y,67,0,111,0830A,,11
plate_id,FTW6423,,Y,114,0,29-17,0830A,,31-A
plate_id,L77ATD,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,113,0,123-08,,,R
unregistered_vehicle,,,YYYYYYY,26,0,400,,,CC8
plate_id,K86GLM,0318P,Y,19,0,1065,0900A,118-3051,37
plate_id,JKZ3905,,YYYYY,1,0,49,0700A,,069
plate_id,GCE6667,,YYYYYYY,52,0,45,,,06 2
unregistered_vehicle,,,,14,0,,,,99 6
unregistered_vehicle,,,YYYYYY,14,0,S,,,64 6
plate_id,FLX4291,0418P,YYYYY,71,0,1237,0200P,316-3009,16 3
unregistered_vehicle,,,Y,115,0,94-01,0830A,,22
plate_id,GTA7581,,YYYYYYY,109,0,49-15,,,A-AM
unregistered_vehicle,,,Y,88,0,150,0930A,,06
unregistered_vehicle,,,YYYYYYY,115,0,98-02,,,21 4
unregistered_vehicle,,,,0,0,,,,
unregistered_vehicle,,,YYYYYYY,47,0,W,,,03 2
unregistered_vehicle,,,Y,13,0,141,0700A,,99 6
unregistered_vehicle,,,,0,0,,,,
plate_id,FFM1902,,BYBBYBB,43,0,1744,1130A,-,
