street_name,violation_legal_code,street_code3,issuing_agency,law_section,plate_type,intersecting_street,feet_from_curb,issuer_command,street_code2
NB UTICA AVE @ DEAN,T,0,V,1111,PAS,ST,0,,0
Nostrand Ave,,85530,T,408,COM,,0,T302,12330
W 29th St,,11110,T,408,COM,,0,T501,10065
E 97th St,,24890,T,408,PAS,,0,T103,27790
Skillman St,,0,T,408,PAS,300ft S/of Flushing,5,T301,0
Hoyt Ave South,,8140,T,408,PAS,,0,T401,10270
14th Ave,,0,T,408,OMT,,0,T302,0
Driggs Ave,,0,T,408,PAS,45ft W/of N 12th St,0,T301,0
Crosby St,,0,T,408,COM,100ft S/of W Houston,0,T101,0
34th St,,7790,T,408,PAS,,0,T401,7540
Atlantic Ave,,27530,T,408,PAS,,0,Broo,48830
WHITESTONE EXPWY SVC,T,0,V,1111,PAS,RD (N/B) @ 20TH AVE,0,,0
5th Ave,,8580,T,408,PAS,,0,T302,8530
4 AVE,,10780,P,408,COM,,0,0068,10730
15th St,,0,T,408,PAS,,0,T302,0
W 86th St,,11710,T,408,PAS,,0,T103,15710
E 25th St,,10110,T,408,COM,,0,T102,10210
Decatur Ave,,29320,T,408,PAS,,0,T201,27900
69th Ave,,24290,T,408,PAS,,0,T402,24240
38th St,,0,T,408,PAS,50ft N/of Broadway,0,T401,0
Mott St,,14010,T,408,PAS,,0,T105,12810
Greenpoint Ave,,10540,T,408,PAS,,0,T401,10390
E 85th St,,40404,T,408,PAS,,8,T103,40404
3rd Ave,,18790,T,408,SRF,,0,T103,18770
W Broadway,,45490,T,408,COM,,0,T105,32580
Roosevelt Ave,,18090,T,408,PAS,,0,T401,17990
10th Ave,,34050,T,408,PAS,,0,T501,34030
E 54th St,,40404,T,408,COM,,0,T102,40404
Jerome Ave,,40404,T,408,PAS,,0,T801,40404
3rd Ave,,19370,T,408,PAS,,0,T103,19350
S/O 210,,0,P,408,OMT,W 153 ST,0,0032,0
37th Ave,,15640,T,408,PAS,,0,T401,15540
NB FRANCIS LWS BV. C,T,0,V,1180,PAS,ANEY LN- 245 ST,0,,0
W 12 ST,,10610,S,408,PAS,,0,MW02,10510
VANDERVEER,,40404,S,408,PAS,,0,KN04,40404
W 142 ST,,13610,P,408,PAS,,2,0030,22190
6th Ave,,14490,T,408,PAS,,0,T106,34930
W 106th St,,11710,T,408,PAS,,0,T103,15710
BWAY,,29290,P,408,PAS,,0,0406,30790
E 18th St,,10010,T,408,PAS,,0,T102,10110
Roosevelt Ave,,16990,T,408,IRP,,0,T401,16890
Myrtle Ave,,63790,T,408,PAS,,0,T402,67990
Dekalb Ave,,27990,T,408,PAS,,0,T201,29320
Lexington Ave,,18750,T,408,COM,,0,T103,18730
QUEENS BLVD (E/B) @,T,0,V,1111,PAS,39TH ST,0,,0
E Fordham Rd,,0,T,408,PAS,Marion Ave,0,T201,49420
Westchester Ave,,30120,T,408,PAS,,0,T201,58420
E 14th St,,12110,T,408,COM,,0,T101,10010
155th St,,20385,T,408,PAS,,0,T402,36990
Lexington Ave,,18290,T,408,PAS,,0,T103,18270
Bogart Ave,,12550,T,408,PAS,,0,T202,78515
Broadway,,7940,T,408,PAS,,0,T401,7740
5th ave,,10830,T,408,PAS,,0,T302,10780
214th Pl,,8690,T,408,PAS,,0,T401,8590
S OXFORD ST,,54130,P,408,COM,,0,0088,31530
Grace Court Aly,,32600,T,408,PAS,,0,T301,49630
5th Ave,,17170,T,408,COM,,0,T101,17150
43rd St,,7990,T,408,PAS,,0,T401,7790
2nd Ave,,18830,T,408,COM,,0,T103,18820
E 39th St,,27790,T,408,PAS,,0,T106,25390
Castle Hill Ave,,35720,T,408,PAS,,0,T202,59220
Atlantic Ave,,51030,T,408,PAS,,0,T802,77730
WB LINDEN BLVD @ ROC,T,0,V,1180,PAS,KAWAY AVE,0,,0
12th Ave,,9180,T,408,PAS,,0,T302,9130
NB MAIN ST @ REEVES,T,0,V,1180,COM,AVE,0,,0
CER S,,21690,P,408,COM,,0,0161,23130
88th St,,0,T,408,PAS,,0,T401,0
W 121st St,,0,T,408,OMT,,0,T103,0
47th Ave,,0,T,408,PAS,35ft W/of 80th St,5,T401,0
3rd Ave,,19090,T,408,PAS,,0,T103,19070
THROOP AVENUE,,72830,S,408,PAS,,0,KN03,47630
WB WILLOWBROOK RD BI,T,0,V,1180,PAS,RCHARD AV - FOREST H,0,,0
W 35th St,,10510,T,408,COM,,0,T102,10410
CLASSON AVE (N/B) @,T,0,V,1111,PAS,FLUSHING AVE,0,,0
89th St,,51090,T,408,PAS,,0,T402,17490
W 55th St,,10510,T,408,PAS,,0,T106,10410
NB 1ST AVE @ E 23RD,T,0,V,1111,OML,ST,0,,0
CONEY ISLAND AVE (S/,T,0,V,1111,PAS,B) @ DORCHESTER RD,0,,0
NB KINGS HWY @ E 94T,T,0,V,1180,PAS,H ST,0,,0
Jewel Ave,,24240,T,408,PAS,,0,T402,24090
WB LINDEN BLVD @ SCH,T,0,V,1180,PAS,ENCK AVE,0,,0
SB KINGS HWY @ NEW Y,T,0,V,1180,OMS,ORK AVE,0,,0
3 AVE,,18370,P,408,COM,,0,0019,18350
Lenox Rd,,73690,T,408,PAS,,0,T302,18630
E 59th St,,0,T,408,COM,25ft W/of Madison Av,0,T103,0
WB UNION TPK. 262 ST,T,0,V,1180,PAS,- 255 ST,0,,0
W 27th St,,10610,T,408,PAS,,0,T102,10510
63rd Dr,,68690,T,408,PAS,,0,T402,19540
S/E C/O 66 ROAD,,40404,P,408,999,,0,0112,40404
College Point Blvd,,6440,T,408,PAS,,0,T401,6190
Dekalb Ave,,0,T,408,PAS,45ft E/of Clinton Av,0,T301,0
E 93rd St,,0,T,408,PAS,,0,T103,0
41st Ave,,40404,T,408,PAS,,5,T401,40404
Dekalb Ave,,41630,T,408,OMT,,0,T301,80030
61 ST,,11020,S,408,PAS,,0,KS07,5130
NORTHERN BLVD (E/B),T,0,V,1111,PAS,@ 114TH ST,0,,0
147th St,,10140,T,408,PAS,,0,T401,43790
ATLANTIC AVE,,29830,P,408,PAS,,0,0084,27530
W 37th St,,13610,T,408,COM,,0,T106,10510
E 14th St,,32633,T,408,COM,,0,T102,10410
Story St,,82325,T,408,PAS,,0,T302,57430
Bond St,,13460,T,408,PAS,,0,T101,24390
W 143rd St,,29690,T,408,PAS,,7,T103,13610
NB 164TH ST @ 71ST A,T,0,V,1180,PAS,VE,0,,0
Broome St,,11610,T,408,PAS,,0,T101,27590
d St,,29900,T,408,PAS,,0,T303,22255
18th Ave,,17380,T,408,IRP,,0,T302,9980
186th St,,19720,T,408,PAS,,0,T402,49210
E 46th St,,0,T,408,PAS,20ft E/of Park Ave,0,T106,0
York Ave,,18670,T,408,PAS,,0,T103,18650
Essex St,,21690,T,408,PAS,,0,T101,22890
162nd St,,51090,T,408,PAS,,0,T402,18040
Hudson St,,27290,T,408,PAS,,0,T105,20890
Bedell St,,0,T,408,PAS,300ft N/of 134th Rd,5,T402,0
E 51st St,,0,T,408,SRF,20ft N/of Avenue N,0,T302,0
Harman St,,65162,T,408,PAS,,0,T402,60590
