issuing_agency,issuer_code,violation_time-date_first_observed
C,109977,0746A-0
P,358563,0600A-0
K,161310,0941P-0
R,0,0232A-0
P,951605,0316A-0
Y,0,0110P-20220615
C,109752,0618P-0
K,160569,0453A-0
P,951686,0900P-0
P,937728,0250P-0
P,964696,0332P-0
P,969744,0215A-0
M,267107,0250P-0
P,970423,0905A-0
P,938830,0150A-0
P,944161,1102A-0
K,160110,1140A-0
K,161134,0307P-0
M,265952,1044A-0
P,939948,0513P-0
P,960571,0943A-0
C,100221,0610P-0
P,948096,1051P-0
P,965960,0717A-0
P,963507,1239P-0
P,958360,0911P-0
P,940525,1114A-0
P,954151,0602P-0
P,951003,1029A-0
Y,101207,0150A-0
4,100242,0427P-0
P,772247,0303A-0
P,371705,1010A-0
P,970435,0600P-0
P,970520,0605P-0
W,825541,1219P-0
B,553389,0937P-0
P,968324,0452P-0
K,160073,0148P-0
U,62,0406P-0
N,160107,0528P-0
P,279504,0308P-0
P,970131,0024A-0
P,161269,1050A-0
P,965035,0047A-0
K,161119,0701P-0
P,966407,0532P-0
P,971657,1115A-0
P,972251,0847P-0
P,959294,0345P-0
P,970435,0635P-0
P,969090,0243A-0
C,109971,0437A-0
P,939799,1050A-0
P,946454,1213P-0
P,972276,1057A-0
K,161201,0902A-0
C,109970,0455A-0
C,100223,0141P-0
C,109752,1101P-0
P,970423,0912A-0
P,964328,0252P-0
P,934318,0510P-0
K,160941,0329P-0
P,962623,0433A-0
P,168350,0902P-0
P,971154,1205P-0
P,964399,0215P-0
P,966325,0146P-0
P,934579,0740P-0
P,970757,1021P-0
P,963068,1256P-0
P,934548,1110P-0
Y,101387,0936A-20220608
P,963177,0208P-0
P,370322,0908A-0
P,970423,0817A-0
R,0,1235P-0
K,160110,1135A-0
P,971652,0837A-0
N,161315,1107A-0
P,958792,0115A-0
P,370322,0852A-0
P,962519,0139A-0
P,952644,0223P-0
P,962408,0646A-0
P,370322,0130P-0
P,969014,1256P-0
K,160110,0303P-0
P,968191,0135A-0
X,50533,1050P-0
T,370322,1138A-0
C,100309,0559A-0
P,367363,0842A-0
T,371769,0145P-0
P,937675,0756P-0
P,953900,0643A-0
P,970423,0825A-0
T,370322,0928A-0
P,939911,1148A-0
P,969307,0913P-0
P,931001,0156P-0
4,100447,0440P-0
P,101820,0933A-0
K,160448,0613P-0
Q,422286,1209P-0
A,49938,0015A-0
P,972197,0520A-0
P,355151,0202A-0
K,160468,0848A-0
P,966414,0140A-0
Y,101783,1044A-0
P,938279,1127P-0
C,109971,0235A-0
P,950977,1159A-0
K,161261,0859P-0
K,180326,0921A-0
P,960359,1205A-0
P,954151,0740P-0
P,970423,0831A-0
T,371769,0237P-0
P,961688,0620P-0
P,972580,0841P-0
P,965093,0101A-0
P,972677,0305A-0
P,940600,0133A-0
M,267107,0110P-0
P,939138,0855P-0
P,969404,1030P-0
P,962369,0954A-0
P,955866,0945P-0
P,959294,0450P-0
C,109982,0920P-0
P,963177,0225P-0
P,966325,1147A-0
P,951412,0608P-0
C,100309,0325A-0
P,942899,0711P-0
P,957766,0948P-0
P,967323,1024P-0
M,271446,0900A-0
K,160390,1038A-0
K,161045,1150A-0
P,971812,1045A-0
K,160076,0828P-0
K,160110,1255P-0
P,968646,0416A-0
C,100213,0600P-0
Y,101621,0650P-0
Q,523279,0835A-0
P,958913,0718P-0
K,160561,1250P-0
P,370322,0911A-0
P,972147,0143A-0
P,952297,1010P-0
P,968636,0710P-0
P,969832,0855P-0
P,949996,0732P-0
P,969090,0504A-0
K,160699,0417P-0
P,972801,1252A-0
P,969350,0810P-0
P,958839,0820A-0
C,109971,0456A-0
P,970894,0517P-0
N,600067,0645P-0
M,267107,1248P-0
K,160563,0502P-0
P,963980,0016A-0
K,160544,0533P-0
P,370322,1230P-0
P,927337,1037A-0
P,970953,0503P-0
P,160350,0914P-0
K,161261,0813P-0
K,160695,0749P-0
U,62,0410P-0
R,0,0647A-0
R,0,1031A-0
P,936381,0220P-0
B,0,0947A-0
P,100770,0815A-0
P,965820,1029A-0
P,963263,0223P-0
P,961044,1100P-0
P,968324,0520P-0
P,968152,0835P-0
Y,101207,0345A-0
P,940525,1130A-0
N,160695,0405A-0
P,950362,0702P-0
K,160955,0222P-0
P,962846,1145P-0
P,972507,1102P-0
N,600157,0959A-0
M,274474,1115A-0
P,960894,1056A-0
N,161331,1102A-0
K,161241,1151A-0
P,969406,1150P-0
C,108018,0142A-0
C,100309,0305A-0
R,0,0736A-0
K,160695,0206A-0
K,160693,1233P-0
P,945059,0459A-0
C,109752,0624P-0
P,946985,0410P-0
P,969896,0750P-0
V,0,0243P-0
K,160110,0438P-0
T,355323,1110A-0
P,963781,1127P-0
K,160620,0928A-0
P,973178,0907A-20220701
P,946985,0855P-0
P,951069,1123P-0
P,962924,0041A-0
N,160695,0430A-0
P,958517,0723P-0
K,160699,0524P-0
P,160195,1037A-0
P,939911,0322P-0
P,963456,0116P-0
C,109752,0614P-0
P,967646,0451P-0
P,968646,0549P-0
P,949737,0204P-0
C,108018,0151A-0
P,972505,0317P-0
M,267107,0609P-0
N,600173,0444P-0
U,252,0935A-0
P,965035,0607A-0
P,942183,0846A-0
N,160553,0450P-0
P,963192,0702A-0
K,160933,0100P-0
P,951605,0152A-0
P,972507,1030P-0
