building_address_with_zip,:@computed_region_efsh_h5xi,size_required,building_constructed,amenities_required
"1633 BROADWAY, New York, NY 10019",12081.0,Special Permit Arcade 8033.20 sf; Special Permit Plaza 23666.00 sf; Underground Concourse 6420.00 sf,Completed,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees within Space
"171 EAST 84 STREET, New York, NY 10028",12425.0,Residential Plaza 4249.74 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space; Water Feature
"1809 EMMONS AVENUE, Brooklyn, NY 11235",13826.0,,,
"33 MAIDEN LANE, New York, NY 10038",13096.0,Covered Pedestrian Space 4441.00 sf; Public Pedestrian Circulation Area 935.00 sf,Completed,Escalator; Lighting; Retail Frontage; Seating; Subway; Trees within Space
"88 PINE STREET, New York, NY 10005",11726.0,Special Permit Plaza 9907.00 sf,Completed,Artwork; Planting; Seating; Subway; Trees within Space; Water Feature
"418 EAST 59 STREET, New York, NY 10022",12419.0,Residential Plaza 2612.50 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"401 EAST 84 STREET, New York, NY 10028",12425.0,Open Plaza 846.00 sf,Completed,Other Required; Planting; Trees on Street; Trees within Space
"1250 BROADWAY, New York, NY 10001",11722.0,Arcade 1035.72 sf; Plaza 8562.55 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space
"360 EAST 57 STREET, New York, NY 10022",12419.0,Plaza 1500.00 sf,Completed,
"499 PARK AVENUE, New York, NY 10022",12419.0,Glass-Enclosed Urban Plaza Equivalent 1450.00 sf; Open Urban Plaza Equivalent 525.00 sf; Sidewalk Widening Equivalent 487.00 sf; Through Block Arcade Equivalent 1540.00 sf,Completed,Lighting; None; Plaque/Sign; Seating; Trees within Space
"825 EIGHTH AVENUE, New York, NY 10019",12081.0,Elliptical Arcades 0.00 sf; Plaza 26806.00 sf; Subway Access Areas 0.00 sf,Completed,Bicycle Parking; Drinking Fountain; Escalator; Food Service; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Subway; Tables; Trees on Street; Trees within Space; Water Feature
"1991 BROADWAY, New York, NY 10023",12420.0,Covered Plaza 1518.00 sf,Completed,Climate Control; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees within Space
"909 THIRD AVENUE, New York, NY 10022",12419.0,Arcade 7020.15 sf; Plaza 4622.08 sf,Completed,
"300 EAST 75 STREET, New York, NY 10021",12083.0,Arcade 1560.00 sf; Landscaped Park 0.00 sf; Plaza 8556.48 sf,Completed,Artwork; Planting; Seating; Water Feature
