caseno,pyincrpct3,condo_number,tenexmptrn,tenexmptot,boro,curexmptot,lline,j51_prev_exmpt_act,status,pyexmptrn
26590372,0.0,101902.0,128245,126395,1,126395,1,0,A,127741
26594392,0.0,100385.0,72794,78273,1,78273,1,0,A,72495
26590760,0.0,101902.0,225445,225445,1,225445,1,0,A,228077
26587527,0.0,100308.0,123419,126778,1,126778,1,0,A,122024
26591854,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26587534,0.0,100308.0,133564,137130,1,137130,1,0,A,132083
26591947,0.0,101902.0,373080,367695,1,367695,1,0,A,371613
26587718,0.0,100308.0,165155,169564,1,169564,1,0,A,163325
2.66e+07,0.0,101902.0,209858,206829,1,206829,1,0,A,209032
26591790,0.0,101902.0,571279,563033,1,563033,1,0,A,569033
26591674,0.0,101902.0,273981,270026,1,270026,1,0,A,272903
26592845,0.0,100313.0,228765,236849,1,236849,1,0,A,225577
26589704,0.0,101623.0,177451,178037,1,178037,1,0,A,177505
26587371,0.0,,167584860,171570600,1,171570600,1,0,AL,171182700
26592985,0.0,100313.0,158618,164223,1,164223,1,0,A,156407
26588137,0.0,100308.0,65212,66953,1,66953,1,0,A,64489
26591752,0.0,101902.0,273981,270026,1,270026,1,0,A,272903
26587660,0.0,100308.0,223447,229411,1,229411,1,0,A,220969
26589169,0.0,101623.0,245336,246149,1,246149,1,0,A,245412
26589465,0.0,101623.0,172305,172875,1,172875,1,0,A,172358
26591782,0.0,101902.0,268151,264281,1,264281,1,0,A,267096
26618633,0.0,,6101910,6156000,2,6156000,1,0,A,6218370
26587634,0.0,100308.0,124362,127682,1,127682,1,0,A,122983
26587484,0.0,100308.0,135045,138651,1,138651,1,0,A,133549
26588713,0.0,101623.0,119241,119637,1,119637,1,0,A,119277
26593974,0.0,100385.0,106822,115042,1,115042,1,0,A,106373
2658745300.00%,0.0,100308.0,132612,136153,1,136153,1,0,A,131142
26594722,0.0,100385.0,116117,124856,1,124856,1,0,A,115639
26588270,0.0,100308.0,112201,115197,1,115197,1,0,A,110958
26593107,0.0,100313.0,238473,246899,1,246899,1,0,A,235149
26588751,0.0,101623.0,157944,158468,1,158468,1,0,A,157993
26591485,0.0,101902.0,215686,212574,1,212574,1,0,A,214838
26590266,0.0,101902.0,157392,155121,1,155121,1,0,A,156774
26589043,0.0,101623.0,214514,215224,1,215224,1,0,A,214580
26588261,0.0,100308.0,110751,113708,1,113708,1,0,A,109523
26593618,0.0,100313.0,110596,114504,1,114504,1,0,A,109056
26588309,0.0,100308.0,123869,127175,1,127175,1,0,A,122496
