title,acquisition,borough,architecture_firm,managing_city_agency,landscape_architect_middle,landscape_architect_first,alternate_title,date_created_approximation,secondary_architect_last,zip_code,foundry
Joseph H. Lyons Plaque,"Gifted by James S. Slosson Post, American Legion",Staten Island,,Department of Parks and Recreation,,,,N,,10301,
Mathematical Star,Commissioned through Department of Cultural Affairs Percent for Art Program,Brooklyn,,Department of Transportation,,,Quilt,N,,11216,
Pete McArdle,Gift of Pete McArdle Memorial Committee,Bronx,S. Puma Co. Inc.,Department of Parks and Recreation,,,,N,,10471,
City Employees War Memorial,Gift of Mrs. Charles Augustine Robinson,Manhattan,,Department of Parks and Recreation,,,,Y,,10019,
Clinton War Memorial,Gift of Clinton District Monument Association,Manhattan,,Department of Parks and Recreation,,,Flanders Field Statue,Y,,10019,Gorham
Timecast,Commissioned through Department of Cultural Affairs Percent for Art Program,Brooklyn,Mathews Nielsen Landscape Architects,Department of Transportation,,,,N,,11201,
Eagles and Prey,Gift of Gordon Webster Burnham,Manhattan,,Department of Parks and Recreation,,,,N,,10019,
Tomorrow's Wind,Commissioned through Department of Cultural Affairs Percent for Art Program,Manhattan,Miceli Kulik Williams,Department of Parks and Recreation,,,,N,,10029,
Carroll Park Memorial,Gift of Eighth Assembly District Memorial Committee,Brooklyn,,Department of Parks and Recreation,,,Soldiers and Sailors Monument,N,,11231,
Rockaway Veterans Memorial,Gift of Rockaway Beach Memorial Committee,Queens,,Department of Parks and Recreation,,,,N,,11693,
Father Capodanno Memorial,Gift of the Knights of Columbus/ Madonna Council,Staten Island,"Ring Monuments, Inc.",Department of Parks and Recreation,,,,N,,10305,
Knights of Pythias Memorial,Gift of The Grand Lodge-Knights of Pythias,Manhattan,,Department of Parks and Recreation,,,,Y,,10022,Phil Madonick Monuments Inc.
Design Team Project,Commissioned through Department of Cultural Affairs Percent for Art Program,Brooklyn,Koenen Associates,New York City Economic Development Corporation,,,,N,,11235,
General Josiah Porter,Gift of New York State National Guard Association,Bronx,,Department of Parks and Recreation,,,,Y,,10471,Gorham Mfg. Co. Founders
Alamo,"Gifted by Knoedler & Company, Tony Rosenthal, and an anonymous donor",Manhattan,,Department of Parks and Recreation,,,,Y,,10003,Donald Lippincott
The Army: Genius of Patriotism Urging American Soldiers On To Victory,Commissioned by The City of Brooklyn,Brooklyn,,Department of Parks and Recreation,,,,N,,11238,LeBlanc Barbedienne
Boar,Gift of Salute to the Seasons Fund from donation by Hugh Trumbull Adams,Manhattan,Levine & Blumberg,Department of Parks and Recreation,,,"Wild Boar, Porcellino",N,,10022,
Little Dances,Commissioned through Department of Cultural Affairs Percent for Art Program,Queens,Dattner Architects,Department of Parks and Recreation,,,,N,,11368,
Athena,"Gift of City of Athens, Greece (sculpture); Gift of Athens Square, Inc. (installation)",Queens,,Department of Parks and Recreation,,,,N,,11102,"Dimitrus Gavalas, Patmou 3, Marousi, Atiki, Greece"
Carmine Liotti and Lloyd Ikefugi,Gift of Granito-Smith Post No. 1296,Staten Island,,Department of Parks and Recreation,,,,N,,10301,
Netherland Monument,Gift of the People of the Netherlands,Manhattan,,Department of Parks and Recreation,,,,N,,10004,
Wild Geese,Purchased with Works Progress Administration Funds,Bronx,,Department of Parks and Recreation,,,,Y,,10457,
Lower East Side War Memorial,Gift of The Morris Dickstein Post #462,Manhattan,"H.K. Peacock Memorials, Inc.",Department of Parks and Recreation,,,Straus Square War Memorial,N,,10002,
Inside Out,Commissioned through Department of Cultural Affairs Percent for Art Program,Manhattan,1100 Architects,Department of Design and Construction,,,,N,,10025,
Greenpoint World War II Memorial,Gift of The Twenty-Seventh Memorial Post-American Legion # 1751,Brooklyn,,Department of Parks and Recreation,,,,N,,11211,
Balto,"Gift of The ""Balto Monument Committee""",Manhattan,,Department of Parks and Recreation,,,,N,,10022,
Diagonal Sonata,Commissioned through Department of Cultural Affairs Percent for Art Program,Queens,Helpern Architects Raymond Gomez,Queens Borough Public Library,,,Asymmetric Inversion,N,,11101,
Blockhouse,Gift of The Women's Auxiliary to the American Scenic and Preservation Society,Manhattan,,Department of Parks and Recreation,,,,N,,10026,
Job,Gift of Dr. and Mrs. Murray Fuhrman,Queens,,Department of Parks and Recreation,,,,N,,11418,Modern Art Foundry
McNally Plaza Memorial,"Gift of McNally Post 263, American Legion",Manhattan,,Department of Parks and Recreation,,,,N,,10033,Eagle Bronze Works
Wave Hill Landmarks Plaque,Gift of New York Community Trust,Bronx,,Department of Parks and Recreation,,,,N,,10471,
